dataset1_id,dataset2_id,matching_topic
1520,1525,1
23,1499,0
1065,1070,1
164,562,0
561,573,1
315,1557,0
1053,1070,1
570,576,1
1066,1070,1
24,473,1
1525,4552,0
1503,4563,1
187,578,0
18,1501,1
29,285,0
1461,1518,0
1097,1490,1
1069,1071,1
570,1090,1
1075,1471,0
179,212,0
16,1038,1
381,1490,0
216,571,1
179,544,0
22,1526,0
308,489,0
679,1557,0
189,1525,1
307,576,0
40,552,0
20,1510,0
1516,1525,1
1027,1462,0
12,1497,0
150,343,1
10,1523,1
172,205,0
511,679,1
179,561,0
1517,1518,1
1056,1067,1
41,1483,0
1516,1520,1
537,1045,0
327,483,0
180,1596,1
1114,1499,0
208,1089,1
354,1042,0
212,679,1
1070,1523,0
343,473,1
25,34,1
230,562,1
573,1037,0
179,329,1
34,1495,0
1049,1053,1
36,505,0
1045,1070,1
16,20,1
1051,1557,0
1045,1069,1
1067,1075,1
232,507,0
1472,1503,0
1093,1464,1
12,1089,0
381,1091,1
577,1099,0
1490,1526,0
55,1505,0
1096,1523,0
1056,1466,0
1053,1066,1
315,1111,0
483,1027,0
1490,1501,0
28,150,0
1478,1518,0
327,378,0
575,1526,0
8,511,1
23,232,0
1510,1523,1
1056,1066,1
22,552,0
230,573,1
1478,1483,1
473,1510,0
34,1464,1
1464,4135,0
164,552,0
17,328,1
354,1487,0
1056,1071,1
1168,1505,1
25,489,0
164,1505,0
1516,1519,1
301,493,1
1510,1557,0
327,328,1
573,1567,0
1056,1066,1
554,1042,1
189,1520,1
224,300,0
1030,1481,0
16,32,1
510,1516,0
55,285,0
25,510,0
22,30,0
1070,1075,1
1478,1499,0
16,1501,1
30,1071,0
29,1029,0
480,1520,0
29,544,0
1065,1497,0
224,1462,0
25,493,0
179,1524,0
1063,1463,0
1049,1056,1
577,1090,1
554,1040,0
534,1590,1
1029,1168,0
567,570,1
1497,1520,1
315,1089,1
164,4548,0
343,1524,0
29,1490,0
44,1029,0
1463,1470,0
1071,1517,0
1064,1065,1
1071,1075,1
20,1501,1
666,1503,0
212,232,0
287,1503,0
510,1511,0
1053,1056,1
18,22,1
1056,1065,1
480,1038,0
510,1557,1
1040,1056,0
1503,4563,1
1518,1519,1
230,4548,0
554,1038,1
378,576,0
32,537,0
329,1037,1
575,577,1
32,196,0
301,488,0
189,1517,1
300,1044,0
1053,1067,1
534,578,0
172,1056,0
1049,1065,1
1037,1590,1
1503,4675,0
55,1470,0
1,1510,0
1044,1567,0
493,1053,0
179,378,0
164,534,0
381,1091,1
534,1470,0
1035,1510,0
4532,4552,0
1045,1070,1
1596,4534,0
43,1510,1
327,1516,0
224,315,0
20,22,1
203,511,1
25,483,1
1059,1070,1
1053,1071,1
211,1523,0
196,1489,0
1063,1075,1
1478,4675,1
208,552,1
22,1065,0
203,511,1
1056,4534,0
1067,1071,1
1067,1075,1
343,473,1
507,1477,0
1500,1567,0
505,4544,0
1095,1511,0
576,578,1
1064,1065,1
211,1064,0
203,483,1
1067,1590,0
205,510,1
505,1037,0
1168,1489,0
18,1501,1
1065,1066,1
567,1463,0
570,576,1
679,1464,1
1045,1071,1
1517,1525,1
8,1097,1
10,208,0
1509,1520,0
1523,1567,0
679,1462,0
1075,1462,0
20,1059,0
537,1044,0
230,686,0
1054,1066,1
541,1596,0
151,1051,0
570,1090,1
222,1466,1
511,1093,1
1067,1071,1
25,1098,0
544,1066,0
172,300,0
23,1037,1
510,1064,0
180,1036,1
1045,1071,1
563,1487,1
151,1590,0
534,1590,1
308,1520,1
8,212,1
43,1524,1
562,573,1
329,541,1
477,1044,0
24,180,1
313,505,1
172,488,0
20,578,0
381,1037,0
1114,1520,0
534,552,0
12,172,0
203,313,0
1056,1070,1
56,1038,0
1499,1503,0
164,489,0
189,1520,1
212,511,1
1590,4532,0
287,541,0
1064,1067,1
1030,1035,1
1045,1054,1
150,1502,0
8,1464,1
511,1035,0
493,544,0
189,1526,1
511,679,1
43,1510,1
189,208,0
151,686,0
1059,1075,1
567,1471,0
1053,1071,1
205,1509,0
470,473,0
1053,1065,1
537,1461,0
1054,1069,1
1044,1501,0
1059,1070,1
1049,1056,1
1045,1049,1
12,1520,0
1518,1520,1
8,203,1
541,1037,1
212,483,1
308,1520,1
570,577,1
1510,1523,1
1049,1069,1
224,378,0
1567,4534,0
172,1483,0
451,1497,0
1053,1071,1
1495,1524,0
679,1097,1
1053,1056,1
301,493,1
1069,1075,1
22,1042,1
224,1524,1
189,1520,1
1481,1497,0
327,328,1
505,1054,0
327,1097,0
34,489,0
576,578,1
315,1466,0
562,1063,0
8,25,1
22,1096,0
189,1516,1
12,1038,1
29,150,0
575,1090,1
1049,1067,1
1053,1064,1
12,20,1
20,230,0
1483,1489,0
378,1091,1
1516,1517,1
55,1524,1
561,1503,0
1478,1487,0
172,578,0
1049,1075,1
554,1093,0
343,576,0
1053,1067,1
1481,1502,0
567,578,1
20,55,0
1063,1066,1
679,1093,1
43,4548,0
230,573,1
1059,1071,1
36,507,0
17,567,0
179,541,1
185,189,0
1056,1059,1
1516,1519,1
1063,1489,0
22,679,0
185,1516,0
208,1089,1
10,4675,0
212,1097,1
537,541,0
577,1090,1
230,573,1
1464,1525,0
8,285,0
477,1520,0
343,561,0
300,1503,1
1064,1095,0
1501,1503,0
328,1054,0
1049,1070,1
1489,4563,1
1054,1064,1
211,1511,0
1059,1075,1
1049,1511,0
1517,1526,1
1027,1030,1
22,554,1
577,1097,0
187,686,0
1059,1066,1
538,552,0
1059,1065,1
1049,1059,1
488,1089,0
34,541,0
1470,1524,0
577,1090,1
1461,4549,0
1040,1596,1
1030,1035,1
8,1590,0
180,343,1
8,34,1
534,4549,0
44,1461,0
1038,1054,0
1067,1464,0
44,1059,0
343,1051,0
150,343,1
507,4544,0
212,679,1
18,28,1
1065,1070,1
308,1497,1
577,1090,1
