dataset1_id,dataset2_id,matching_topic
483,1525,0
43,208,0
511,8,1
6,197,0
55,1524,1
307,1478,0
511,679,1
1526,1516,1
1066,1045,1
287,1567,0
329,179,1
301,542,0
230,573,1
300,375,1
32,56,0
16,378,0
180,1036,1
1075,1050,1
538,451,1
1056,1053,1
493,1487,1
18,1038,1
43,1040,0
1464,483,1
492,212,1
187,1477,0
576,1090,1
562,197,1
185,507,0
1464,25,1
570,578,1
1516,225,1
1509,1478,1
197,1471,0
1059,1064,1
59,203,0
23,1463,0
41,232,0
12,1481,0
171,473,0
56,1471,0
381,1036,0
470,1478,0
1523,224,1
1064,1097,0
492,203,1
225,1518,1
1095,287,1
212,1093,1
19,17,1
1071,1526,0
1049,1065,1
1053,1477,0
171,1099,0
483,1036,0
1523,1524,1
1050,1478,0
18,1461,0
227,1091,0
4675,1483,1
59,205,0
381,1111,0
382,470,0
1489,1502,0
25,196,0
1590,23,1
14,20,1
492,1499,0
534,1119,1
14,1511,0
1095,1557,0
451,538,1
212,203,1
150,24,1
22,1053,0
1075,1053,1
567,577,1
1059,1056,1
55,503,0
179,1590,1
1036,150,1
328,19,1
20,1495,0
1091,382,1
511,4534,0
14,1501,1
679,1089,0
1064,4549,0
1510,224,1
4549,4548,1
56,1037,0
1069,1070,1
1510,1523,1
1520,225,1
1070,1053,1
382,1063,0
17,328,1
150,180,1
571,1478,0
179,1504,0
1495,1509,0
489,1567,0
563,1520,0
378,1499,0
6,1027,0
1035,1027,1
570,568,1
211,492,0
313,1472,0
150,1070,0
571,4552,0
196,1490,0
313,382,0
343,537,0
43,44,0
1097,679,1
541,1505,0
1065,1557,0
28,22,1
568,1518,0
382,4675,0
1071,1067,1
480,554,0
1070,1065,1
16,14,1
1070,1477,0
28,1501,1
1089,208,1
4563,375,1
1524,55,1
1054,4544,0
34,230,0
1050,1045,1
573,4135,0
510,1168,0
1069,1056,1
1050,1059,1
1038,1502,0
542,1119,0
1093,492,1
285,375,0
1030,1478,0
1066,1510,0
16,1065,0
40,1036,0
203,1097,1
1069,1059,1
44,381,0
1597,4544,0
34,505,0
43,171,1
23,534,1
1063,1050,1
1093,212,1
55,541,0
1049,1466,0
1075,1067,1
230,354,0
8,43,0
44,1466,0
25,8,1
1523,55,1
1050,1505,0
492,1464,1
1059,1097,0
507,1487,0
12,1505,0
212,1525,0
308,225,1
18,505,0
187,1503,0
538,1464,0
20,32,1
511,1490,1
492,34,1
20,16,1
32,1516,0
378,381,1
36,534,0
328,451,0
40,225,0
225,1525,1
537,1497,0
1049,1075,1
32,12,1
1503,4563,1
197,1481,0
1597,4549,0
577,578,1
203,1066,0
1040,1111,0
1526,1497,1
1066,1059,1
1071,1064,1
1067,1050,1
1502,36,1
1056,1066,1
1035,1464,0
8,1093,1
552,1526,0
537,1050,0
679,1510,0
686,4548,0
300,493,0
187,1093,0
1497,1505,0
308,1525,1
216,313,0
1114,1500,0
172,1051,0
307,1097,0
40,381,0
541,23,1
1053,1089,0
328,17,1
22,4549,0
568,1111,0
285,1045,0
1520,1518,1
32,208,0
150,1094,1
563,1505,0
1518,1525,1
18,1501,1
23,1478,0
1065,1567,0
1069,1064,1
1075,1070,1
10,224,1
18,329,0
14,16,1
16,554,1
1064,1056,1
1075,1470,0
1029,1502,0
171,1464,0
1036,1096,0
510,1523,0
24,1596,1
577,1095,0
205,1089,0
164,1463,0
1093,483,1
679,1526,0
34,1464,1
542,4552,0
32,20,1
375,561,0
40,308,0
473,24,1
307,1067,0
36,375,0
575,1503,0
1510,55,1
507,1463,0
1464,1509,0
189,1525,1
3,503,0
578,568,1
1096,1097,0
503,1089,0
230,227,1
1050,1501,0
473,1071,0
1520,1525,1
14,503,0
1054,1070,1
1487,563,1
189,1517,1
1030,1071,0
183,1098,0
1053,1065,1
25,4544,0
354,1567,1
537,1518,0
32,14,1
1461,1471,0
1059,1119,0
196,573,0
483,212,1
25,1093,1
1071,1054,1
1065,1066,1
180,473,1
1053,1503,0
164,1502,0
562,227,1
1510,43,1
227,4534,0
307,1489,1
1069,1049,1
679,25,1
483,679,1
32,28,1
212,225,0
1472,1510,0
1518,1520,1
17,1501,0
1503,375,1
187,1095,1
505,313,1
1066,1050,1
1090,1096,0
544,1035,0
378,1098,1
56,489,0
1070,1071,1
477,1070,0
224,4549,0
232,1510,0
1119,23,1
1056,1490,0
183,686,0
6,4552,0
183,1476,0
561,1597,0
203,511,1
196,1557,0
22,28,1
216,451,0
1094,1510,0
315,208,1
354,1499,0
1042,12,1
172,554,0
1093,679,1
14,18,1
1524,171,1
196,197,0
1497,1518,1
328,1045,0
1053,1054,1
343,1596,1
1064,1075,1
6,1476,0
1111,1465,0
32,576,0
301,1037,0
180,24,1
1030,1049,0
492,1504,0
24,343,1
1071,1075,1
567,575,1
1065,1045,1
329,4552,0
378,1093,0
1044,1093,0
23,313,0
56,211,0
179,541,1
1490,1596,0
180,1094,1
1096,488,1
40,1597,0
1045,1465,0
1067,1063,1
12,20,1
1098,1091,1
16,1038,1
561,197,1
1070,1066,1
483,492,1
505,1483,0
1069,1067,1
1526,1518,1
34,8,1
212,8,1
492,1168,0
4548,4549,1
577,576,1
343,1471,0
189,1520,1
32,1478,0
1505,151,1
224,1516,0
1481,1505,0
23,205,0
300,328,0
578,567,1
1519,189,1
1094,1501,0
1069,1045,1
22,568,0
554,561,0
562,561,1
1038,18,1
44,1090,0
354,1051,0
1050,1119,0
1520,4135,0
1487,1504,0
1094,343,1
8,537,0
1065,1067,1
503,563,1
29,562,0
493,577,0
1056,1064,1
552,1089,1
315,1590,0
208,510,0
36,1069,0
16,1501,1
41,287,0
1097,492,1
30,1462,0
287,1070,0
36,1070,0
59,1476,0
17,19,1
1045,1053,1
4563,307,1
577,1597,0
578,577,1
1059,1066,1
32,22,1
1089,552,1
308,1517,1
1518,189,1
1038,1114,0
40,59,1
1519,1516,1
1098,4135,0
1516,1525,1
577,1504,0
470,1477,0
212,1464,1
542,666,1
354,1502,0
232,183,1
480,1090,0
34,480,0
203,1464,1
179,329,1
480,4563,0
230,1063,0
1037,4675,0
1490,203,1
315,552,1
567,578,1
1075,1045,1
573,1038,0
1525,1526,1
1518,225,1
41,1097,0
1483,1509,1
492,8,1
679,492,1
1524,224,1
10,1524,1
473,1091,0
488,1096,1
1027,1045,0
224,43,1
1049,1499,0
25,285,0
44,1525,0
354,541,0
1499,1520,0
1497,1520,1
483,1097,1
1,328,0
1065,1071,1
10,381,0
227,1040,0
287,1502,0
307,1503,1
1066,1053,1
25,34,1
679,1490,1
14,28,1
34,492,1
577,1035,0
285,1051,0
205,232,1
1027,1035,1
43,1510,1
1066,1067,1
8,511,1
34,483,1
1054,1066,1
1516,1517,1
208,1089,1
1520,1526,1
196,1462,0
59,212,0
343,666,0
480,1502,0
1065,1053,1
571,1477,0
575,576,1
36,1035,0
493,1517,0
19,493,0
1042,22,1
1064,1069,1
354,1464,0
1501,22,1
1497,1526,1
507,1520,0
1517,4675,0
489,1500,0
1050,1054,1
1065,1064,1
554,32,1
232,537,0
8,208,0
477,1519,0
34,1490,1
1557,205,1
1519,1517,1
1464,1465,0
1065,1059,1
1045,1067,1
1063,1049,1
28,20,1
1066,1049,1
571,216,1
329,1590,1
1053,1070,1
537,1089,0
3,171,0
20,150,0
44,1489,0
1063,1056,1
1476,1477,1
573,1091,0
41,285,0
473,1036,1
171,1490,0
164,4549,0
576,1511,0
32,567,0
1481,3,1
187,329,0
8,1097,1
492,1097,1
1071,1066,1
1063,1070,1
24,1119,0
1027,1070,0
1056,1045,1
308,4548,0
151,164,0
1089,4544,0
483,203,1
1490,1097,1
24,679,0
541,1525,0
1050,4534,0
212,1490,1
1049,1070,1
541,1042,0
1059,1075,1
511,552,0
227,230,1
208,1526,0
25,1490,1
308,1516,1
567,1090,1
576,1477,0
375,4532,0
41,59,0
230,562,1
197,1483,0
20,28,1
1067,1066,1
6,222,0
23,1119,1
381,1091,1
507,1490,0
1053,1071,1
55,1503,0
230,1518,0
17,36,0
1478,1509,1
1038,1466,0
573,227,1
503,1036,0
473,180,1
1489,300,1
1064,1059,1
1071,1065,1
1516,189,1
1097,8,1
473,1027,0
505,1524,0
212,1097,1
1045,1590,0
1059,4548,0
576,1095,0
1027,1511,0
568,1567,0
216,1505,0
492,1093,1
1049,1059,1
1064,1065,1
562,1071,0
1094,1596,1
451,511,0
150,1596,1
1064,1054,1
187,1051,0
25,227,0
183,227,0
1489,1567,0
1064,1053,1
32,1035,0
1472,4532,0
313,4544,0
16,151,0
1075,1063,1
544,1471,0
561,1487,0
1049,1045,1
1063,1064,1
1040,24,1
483,1056,0
25,488,0
29,227,0
1054,1045,1
285,4549,0
20,189,0
679,8,1
14,1489,0
1053,1045,1
150,197,0
679,483,1
477,1524,0
534,541,1
212,381,0
32,561,0
227,381,0
55,171,1
1518,1526,1
1045,1065,1
1557,183,1
1030,1037,0
30,1495,0
1516,1526,1
1063,1065,1
1029,1111,0
343,1059,0
232,1042,0
1053,1067,1
17,1063,0
1038,16,1
381,378,1
1464,511,1
301,1042,0
14,534,0
1525,308,1
511,25,1
227,575,0
571,1597,0
20,14,1
34,1038,0
1481,1499,0
29,492,0
686,1056,0
576,575,1
24,150,1
1045,1049,1
570,577,1
562,1053,0
1053,1075,1
150,1040,1
18,12,1
189,1597,0
542,1051,0
222,1035,0
568,577,1
1036,180,1
1501,12,1
1063,1071,1
300,1099,0
44,1463,0
150,225,0
225,1098,0
375,4563,1
183,503,0
301,1509,0
55,1094,0
151,1505,1
205,1557,1
1097,203,1
489,575,0
1054,1050,1
1070,1114,0
1075,4548,0
41,1518,0
505,1044,0
492,1490,1
1471,1044,1
34,1523,0
451,1030,0
224,489,0
10,43,1
1090,578,1
1042,16,1
1516,1519,1
327,19,1
1045,1056,1
1066,1499,0
17,1053,0
1501,18,1
8,25,1
1461,1509,0
1596,473,1
1053,1596,0
301,563,1
1095,1523,0
183,211,0
382,1487,0
1053,1069,1
1075,1059,1
34,187,0
1519,1526,1
179,573,0
12,1042,1
1054,1463,0
561,1119,0
1099,1510,0
1049,1526,0
22,14,1
375,493,0
1038,554,1
573,230,1
34,511,1
1063,1067,1
378,1519,0
1056,1065,1
16,22,1
1036,24,1
23,573,0
1501,16,1
571,1505,0
1071,1069,1
510,1503,0
1040,1069,0
577,570,1
16,505,0
1487,493,1
1037,179,1
1517,1520,1
232,578,0
208,1503,0
1038,20,1
43,55,1
1520,1519,1
25,679,1
562,230,1
1509,4534,0
568,575,1
32,197,0
1071,1053,1
473,343,1
1065,1470,0
534,1029,0
287,1095,1
32,1461,0
1525,1516,1
1517,1516,1
208,552,1
205,183,1
538,1511,0
1483,1478,1
1119,4544,0
28,34,0
510,4544,0
203,1053,0
14,1042,1
483,1472,0
1462,1517,0
179,23,1
1050,1053,1
4544,4552,1
216,571,1
171,10,1
232,1462,0
1037,541,1
328,1490,0
1519,1523,0
483,34,1
1040,150,1
189,1054,0
25,492,1
308,4534,0
300,1097,0
1525,225,1
554,1526,0
56,183,0
22,554,1
208,505,0
510,1478,0
212,227,0
1098,378,1
315,1098,0
568,1503,0
1098,381,1
1119,1037,1
563,301,1
542,4532,0
563,1094,0
187,1070,0
20,12,1
315,1044,0
43,1090,0
1464,212,1
1510,171,1
554,12,1
29,1045,0
1070,1075,1
1059,1069,1
477,1044,0
25,56,0
40,1093,0
451,4135,0
56,1511,0
666,542,1
534,1037,1
1049,1067,1
285,1069,0
224,1510,1
1029,1044,0
32,1066,0
343,1094,1
488,1036,0
1038,4532,0
381,1495,0
686,1036,0
12,16,1
1471,4549,0
32,1477,0
575,1519,0
1056,1070,1
171,470,0
1042,554,1
208,232,0
1067,1065,1
32,1029,0
34,1481,0
1050,1064,1
1070,1056,1
16,18,1
552,1094,0
315,679,0
329,571,0
567,576,1
552,1516,0
1590,179,1
1036,1040,1
1501,32,1
1071,1063,1
3,1091,0
1094,1472,0
493,1477,0
203,1500,0
1042,20,1
1490,511,1
1066,1064,1
1059,1050,1
41,1029,0
189,1516,1
224,1050,0
477,1089,0
473,1094,1
150,679,0
354,537,0
562,1465,0
477,1490,0
301,503,1
1111,1590,0
576,567,1
477,1066,0
22,1499,0
1050,1069,1
36,1517,0
1045,1063,1
23,24,0
1036,473,1
183,1557,1
1526,189,1
1114,1111,1
216,1044,0
1487,1557,0
511,1093,1
6,4675,0
287,381,0
16,28,1
1049,1053,1
12,18,1
575,567,1
480,1472,0
511,212,1
1465,1519,0
211,1070,0
183,205,1
18,1519,0
180,150,1
1035,1030,1
313,1499,0
1056,1063,1
19,327,1
164,1094,0
1070,1069,1
505,1096,0
20,1501,1
225,1497,1
493,1064,0
18,32,1
1510,1557,0
1035,1481,0
329,23,1
1119,179,1
308,1518,1
224,1523,1
1463,1478,0
544,1487,0
6,1487,0
41,1168,0
1065,1075,1
578,570,1
554,1098,0
1045,1069,1
552,1557,0
1097,25,1
43,301,0
55,224,1
1054,1069,1
1168,1519,0
18,1035,0
1053,1059,1
1075,1064,1
44,542,0
1051,1071,0
1501,554,1
511,4548,0
511,1476,0
534,1590,1
8,203,1
55,1510,1
343,24,1
473,1040,1
20,1038,1
22,1501,1
55,1097,0
203,212,1
554,570,0
1070,1045,1
8,17,0
381,1098,1
14,32,1
1035,1097,0
343,473,1
488,1481,0
300,307,1
1045,1054,1
43,10,1
1066,1056,1
1045,1064,1
22,1042,1
1070,1049,1
36,1051,0
14,300,0
1035,1044,0
1505,4534,0
1053,1056,1
23,179,1
230,1064,0
1501,14,1
1,554,0
25,212,1
1502,1510,0
576,577,1
492,483,1
1518,1497,1
489,1461,0
327,17,1
477,1464,0
679,1516,0
12,1464,0
20,22,1
1071,1056,1
28,32,1
1518,308,1
1501,1038,1
573,1519,0
1059,1049,1
1093,25,1
285,1519,0
1590,534,1
470,1523,0
4534,4548,0
354,1472,0
203,1511,0
1525,1518,1
451,489,0
185,1063,0
1098,382,1
1054,1095,0
