dataset1_id,dataset2_id,matching_topic
212,679,1
24,224,0
20,28,1
171,216,0
575,1090,1
40,563,0
179,1119,1
222,570,0
17,328,1
179,382,0
23,573,0
12,1042,1
208,1036,0
568,1090,1
1050,1056,1
1065,1069,1
1067,1094,0
375,505,0
301,378,0
575,578,1
187,287,1
1054,1066,1
378,1070,0
382,1091,1
577,578,1
189,1168,0
562,1114,0
473,1036,1
287,577,0
483,679,1
189,308,1
18,22,1
354,562,0
187,493,0
55,171,1
300,538,0
12,32,1
1027,1030,1
354,567,0
561,562,1
25,212,1
189,1466,0
1050,1064,1
150,503,0
1053,1064,1
1065,1070,1
10,224,1
187,287,1
32,1042,1
150,1075,0
1045,1070,1
1049,1053,1
187,1098,0
179,189,0
12,22,1
1095,1111,0
12,28,1
59,1050,0
534,1119,1
197,573,1
43,171,1
1067,1069,1
150,232,0
183,510,1
25,203,1
378,382,1
570,1090,1
505,1070,0
1027,1042,0
197,493,0
679,1096,0
1050,1071,1
568,1098,0
183,205,1
12,554,1
16,1038,1
18,554,1
43,1066,0
1063,1071,1
34,212,1
16,20,1
381,538,0
287,313,0
12,354,0
18,1038,1
1059,1071,1
328,571,0
301,493,1
503,1030,0
225,679,0
1056,1070,1
22,1042,1
150,180,1
3,14,0
8,483,1
542,666,1
1064,1071,1
14,567,0
575,578,1
1050,1071,1
1066,1071,1
315,1089,1
34,203,1
1050,1069,1
552,1042,0
150,212,0
381,382,1
1053,1059,1
43,151,0
1045,1063,1
300,567,0
381,1098,1
1050,1066,1
477,666,0
308,510,0
1042,1069,0
222,1466,1
189,1038,0
22,212,0
493,563,1
492,1464,1
183,205,1
1045,1063,1
1066,1071,1
554,1042,1
1045,1056,1
552,1089,1
1050,1054,1
55,1066,0
12,16,1
378,1042,0
12,568,0
483,1093,1
20,1038,1
59,224,0
216,1040,0
23,1067,0
34,679,1
32,1030,0
203,1464,1
1056,1067,1
1049,1056,1
1053,1071,1
576,578,1
18,315,0
567,570,1
225,308,1
34,492,1
1064,1069,1
1066,1070,1
1045,1050,1
307,1098,0
1063,1066,1
203,679,1
25,679,1
567,570,1
150,183,0
378,1098,1
1049,1064,1
1054,1075,1
568,1090,1
10,224,1
43,224,1
25,483,1
208,552,1
493,1044,0
300,375,1
313,505,1
679,1093,1
1059,1067,1
34,679,1
1040,1094,1
8,483,1
180,1040,1
1027,1044,0
1091,1168,0
1063,1069,1
32,1038,1
180,1064,0
1045,1064,1
208,567,0
511,1093,1
20,554,1
187,1030,0
19,328,1
12,22,1
1049,1063,1
1054,1069,1
1070,1071,1
1049,1054,1
1066,1069,1
1066,1075,1
1049,1054,1
301,503,1
179,329,1
378,571,0
375,570,0
25,1097,1
1056,1075,1
205,1054,0
301,328,0
16,22,1
562,573,1
679,1464,1
1027,1094,0
1065,1071,1
1054,1056,1
1056,1069,1
567,1042,0
36,315,0
151,315,0
20,1059,0
1056,1066,1
230,562,1
