dataset1_id,dataset2_id,matching_topic
20,554,1
480,1483,0
568,575,1
18,1462,0
1038,1089,0
1053,1067,1
483,4534,0
211,1505,0
1093,1490,1
1045,1050,1
4544,4552,1
205,1095,0
307,375,1
1093,1481,0
1070,1071,1
679,1490,1
208,1089,1
212,679,1
1027,1470,0
10,1524,1
19,328,1
686,1524,0
1071,1075,1
573,1097,0
211,679,0
1516,1526,1
493,563,1
24,328,0
208,552,1
1050,1094,0
43,1111,0
451,538,1
14,22,1
544,1094,0
1045,1069,1
563,1487,1
34,1097,1
1042,1094,0
43,171,1
308,1526,1
150,343,1
1036,1040,1
1069,1070,1
12,32,1
307,554,0
22,1038,1
203,1464,1
24,1040,1
343,477,0
222,1481,0
20,1478,0
576,1095,0
301,493,1
1069,1597,0
1497,1526,1
301,1487,1
554,4532,0
329,1590,1
1464,1504,0
56,1111,0
1050,1063,1
20,22,1
212,1097,1
203,1097,1
577,1090,1
1097,1557,0
534,1037,1
1050,1071,1
30,1503,0
25,4534,0
36,1597,0
666,1050,0
18,1093,0
343,4549,0
1096,4549,0
22,28,1
29,180,0
17,480,0
470,1502,0
1518,1525,1
6,1525,0
32,537,0
43,1114,0
567,575,1
179,534,1
4548,4549,1
1070,1071,1
505,1523,0
196,1466,0
43,329,0
285,679,0
537,1027,0
666,1463,0
150,180,1
12,32,1
6,1471,0
381,1098,1
23,1590,1
1050,1476,0
1472,1504,0
34,538,0
1063,1075,1
470,1461,0
24,327,0
151,4532,0
59,4549,0
8,483,1
1069,1070,1
1066,1067,1
1038,1042,1
1497,1518,1
23,329,1
1049,1064,1
41,1517,0
493,1499,0
534,4534,0
1050,1063,1
151,488,0
1064,1119,0
225,470,0
203,1093,1
29,4544,0
470,1063,0
1064,1497,0
477,1477,0
576,1518,0
25,483,1
36,1069,0
483,1464,1
1517,1519,1
28,1070,0
1049,1059,1
1064,1069,1
1053,1094,0
17,470,0
24,1098,0
28,1511,0
230,561,1
1063,1070,1
25,1464,1
343,1036,1
25,1097,1
150,1036,1
24,1526,0
10,1054,0
301,1487,1
1075,1099,0
573,1517,0
1069,1093,0
328,1063,0
17,1504,0
308,1497,1
285,329,0
534,1119,1
1027,1525,0
32,1090,0
18,28,1
