dataset1_id,dataset2_id,matching_topic
189,1525,1
301,503,1
570,1090,1
571,1099,0
208,1089,1
308,1517,1
1516,1526,1
6,1089,0
197,686,0
1040,1066,0
227,230,1
1483,4675,1
16,30,0
1099,1466,0
32,1501,1
541,1037,1
8,541,0
56,1036,0
470,1036,0
36,329,0
43,1069,0
8,511,1
489,1489,0
327,1030,0
222,1114,0
172,378,0
222,554,0
1045,1065,1
1059,1069,1
225,1099,0
554,1501,1
203,1097,1
23,179,1
315,1050,0
1516,1518,1
1065,1071,1
203,1035,0
1478,1501,0
1050,1059,1
1053,1065,1
1093,1464,1
12,510,0
18,28,1
1070,1075,1
1478,1483,1
17,327,1
1518,1519,1
1464,1495,0
1490,1510,0
30,1064,0
189,1036,0
477,510,0
56,1517,0
55,1524,1
287,679,0
56,544,0
1059,1070,1
10,1510,1
1168,1464,0
189,1526,1
1036,1501,0
179,534,1
1489,1517,0
41,1495,0
1030,1035,1
8,542,0
307,1489,1
1070,1516,0
567,570,1
1069,1071,1
151,224,0
1063,1071,1
473,1040,1
1516,1519,1
1053,1054,1
14,32,1
10,43,1
41,1472,0
183,205,1
180,1036,1
1063,1067,1
196,208,0
1069,1070,1
287,1029,0
16,554,1
554,1038,1
34,1097,1
211,1472,0
1050,1064,1
189,1054,0
32,554,1
14,28,1
577,1090,1
1518,1526,1
1053,1075,1
1037,1499,0
44,354,0
567,1051,0
8,1065,0
343,1596,1
187,1037,0
300,554,0
1049,1050,1
1051,1465,0
315,505,0
225,4549,0
313,1511,0
1049,1054,1
1478,4675,1
16,1038,1
483,571,0
34,1497,0
55,1510,1
41,189,0
183,1526,0
34,541,0
1054,1064,1
534,541,1
511,1093,1
483,1502,0
227,573,1
44,183,0
1044,1471,1
19,1511,0
203,1464,1
1517,1518,1
203,1470,0
1090,1465,0
28,1501,1
19,327,1
477,1502,0
1071,1075,1
308,1525,1
56,477,1
505,1111,0
10,224,1
1505,1516,0
28,1042,1
55,224,1
1497,1519,1
1027,1489,0
180,666,0
1045,1053,1
43,1510,1
511,1464,1
16,18,1
343,1040,1
567,577,1
328,1504,0
1067,1071,1
313,505,1
1049,1070,1
34,1089,0
343,1036,1
470,1070,0
1465,1470,0
537,1050,0
451,538,1
489,4548,0
183,451,0
224,1523,1
1466,1590,0
179,1037,1
17,328,1
1045,1049,1
189,1497,1
1038,1501,1
205,4549,0
483,511,1
225,308,1
308,686,0
679,1464,1
285,1066,0
1050,1065,1
59,1042,0
503,1518,0
222,4548,0
14,1597,0
225,1519,1
488,1509,0
180,343,1
534,577,0
150,1036,1
18,1495,0
285,378,0
25,203,1
1063,1066,1
327,1042,0
1027,1071,0
473,1510,0
1059,1071,1
8,1505,0
1097,1464,1
10,1037,0
12,28,1
151,1505,1
1045,1050,1
1054,1075,1
1037,1590,1
1054,4544,0
568,576,1
14,1501,1
4548,4549,1
561,573,1
32,1038,1
1516,1517,1
1,44,0
1054,1069,1
679,1097,1
28,32,1
32,1042,1
205,510,1
1066,1075,1
43,1524,1
55,1097,0
10,1524,1
203,483,1
55,1059,0
150,1094,1
329,1590,1
183,542,0
1093,1490,1
1050,1070,1
1064,1065,1
43,224,1
189,1470,0
18,32,1
34,492,1
1029,1063,0
23,1037,1
1065,1067,1
570,1036,0
507,1070,0
1476,1511,0
575,577,1
483,1472,0
327,511,0
329,534,1
1053,1059,1
1049,1063,1
43,59,0
1,4675,0
16,28,1
300,4563,1
19,328,1
492,1500,0
151,1461,0
17,19,1
1045,1064,1
34,1490,1
28,44,0
1517,1590,0
1067,1070,1
187,1526,0
185,492,0
230,470,0
189,1519,1
180,1040,1
492,1029,0
686,1472,0
1049,1059,1
1525,1526,1
568,1090,1
1510,1524,1
205,1093,0
1059,1095,0
55,1461,0
203,679,1
22,1501,1
1483,1519,0
10,1478,0
534,1037,1
488,1051,0
14,1038,1
1489,1524,0
196,1495,0
300,307,1
180,470,0
1049,1053,1
313,1495,0
36,187,0
32,59,0
16,1501,1
25,34,1
1504,1519,0
307,570,0
575,1476,0
1030,4563,0
1066,1067,1
44,1071,0
222,1466,1
12,18,1
538,1051,0
1063,1075,1
56,1089,0
55,1462,0
16,151,0
1509,4675,1
552,1510,0
40,227,0
55,1523,1
575,576,1
493,1071,0
29,1505,0
378,382,1
470,1476,0
1510,1523,1
196,1097,0
483,492,1
22,28,1
1094,1596,1
1478,1509,1
1038,1523,0
150,473,1
554,1505,0
1044,1464,0
10,1029,0
541,1097,0
492,1075,0
1059,1065,1
8,483,1
179,1093,0
1477,1510,0
534,1590,1
308,1518,1
1064,1071,1
216,571,1
1518,1525,1
1053,1067,1
510,1093,0
505,1487,0
34,483,1
18,1042,1
492,1097,1
183,510,1
511,1097,1
308,503,0
1476,1477,1
480,1505,0
203,492,1
55,489,0
1499,1504,0
1095,1472,0
1054,1059,1
1066,1070,1
4544,4552,1
1053,1070,1
573,1466,0
19,179,0
573,4563,0
1054,1464,0
208,1490,0
666,1567,0
25,1490,1
1045,1069,1
541,1071,0
25,1097,1
1489,1504,0
19,1069,0
1038,1091,0
473,1036,1
1064,1070,1
576,1090,1
308,1567,0
30,1040,0
1045,1067,1
208,1516,0
25,1464,1
187,287,1
511,567,0
197,230,1
477,1111,0
8,1464,1
315,4552,0
18,1038,1
1050,1053,1
1027,1035,1
308,1519,1
40,59,1
1035,4534,0
477,1090,0
28,1461,0
308,1510,0
1054,1067,1
36,185,0
205,4534,0
1053,1071,1
183,1557,1
1091,1497,0
327,328,1
205,1075,0
1054,1071,1
224,4563,0
308,1516,1
179,313,0
32,1596,0
1516,1525,1
343,1465,0
1059,1063,1
470,1526,0
36,1035,0
470,1499,0
224,1524,1
343,1094,1
1095,1567,0
179,1030,0
222,4675,0
44,4548,0
552,1472,0
3,4549,0
511,1490,1
150,1466,0
1050,1067,1
300,451,0
354,1567,1
354,1510,0
1090,1478,0
505,1502,0
1029,1490,0
1059,1064,1
59,185,0
189,1516,1
483,679,1
1053,1504,0
8,1093,1
329,541,1
44,1111,0
222,287,0
1045,1051,0
28,1038,1
1497,1500,0
34,203,1
12,19,0
381,1091,1
10,55,1
473,1094,1
12,16,1
1489,1503,1
510,1557,1
17,41,0
34,1093,1
222,1499,0
488,568,0
568,575,1
203,1490,1
25,1093,1
227,505,0
189,1517,1
203,1093,1
382,573,0
577,4563,0
1045,1070,1
3,19,0
489,4563,0
1502,1510,0
570,575,1
1064,1066,1
18,1487,0
538,1499,0
511,1472,0
10,470,0
180,300,0
8,1490,1
1063,1064,1
224,1070,0
179,307,0
227,561,1
1476,1483,0
308,1511,0
1053,1516,0
8,492,1
567,568,1
1089,1490,0
43,1523,1
1045,1524,0
510,577,0
151,1168,1
1463,1483,0
22,1042,1
1050,1071,1
40,1465,0
577,1111,0
25,483,1
29,542,0
1050,1470,0
301,1095,0
196,1590,0
34,1503,0
301,493,1
44,507,0
1050,1063,1
577,1489,0
43,4548,0
1027,1114,0
16,22,1
1050,1066,1
1029,1099,0
28,1557,0
172,1064,0
1038,1042,1
1499,1500,0
8,679,1
1045,1063,1
1053,1064,1
568,570,1
187,1089,0
1065,1069,1
25,492,1
1051,1477,0
1065,1066,1
343,1523,0
36,470,0
354,382,0
14,554,1
1049,1064,1
196,205,0
382,1168,0
1094,1462,0
224,561,0
492,1464,1
41,503,0
203,511,1
150,1596,1
55,511,0
189,308,1
16,1042,1
10,1114,0
224,493,0
576,577,1
1471,1509,0
56,1526,0
354,1470,0
1038,1499,0
1476,1487,0
1042,1071,0
1462,1511,0
1050,1075,1
40,300,0
285,1071,0
1045,1054,1
8,34,1
1093,1517,0
230,573,1
503,1567,0
224,1510,1
29,1038,0
34,679,1
230,313,0
179,1590,1
381,382,1
1094,1095,0
1030,1040,0
1066,4675,0
477,576,0
686,1500,0
1045,1066,1
14,150,0
225,1526,1
8,1097,1
183,1476,0
483,1464,1
473,1499,0
1063,1065,1
1065,1075,1
3,4534,0
493,1091,0
211,4534,0
1050,1054,1
568,1481,0
18,554,1
1037,1065,0
473,571,0
287,1095,1
308,567,0
382,1091,1
