dataset1_id,dataset2_id,matching_topic
1059,1063,1
10,171,1
1497,1519,1
1050,4552,0
28,1501,1
473,1596,1
534,1119,1
511,679,1
1519,1526,1
43,1523,1
541,1501,0
1038,1071,0
14,1464,0
208,1037,0
483,679,1
1065,1090,0
183,232,1
44,197,0
568,1090,1
189,1497,1
225,507,0
308,1497,1
679,1093,1
541,1119,1
19,328,1
222,1466,1
1093,1097,1
189,1499,0
32,1518,0
492,1053,0
382,568,0
150,1027,0
44,1066,0
378,1464,0
187,287,1
568,576,1
203,1490,1
1027,1526,0
22,205,0
1465,1518,0
34,205,0
56,477,1
578,1066,0
492,1495,0
1045,1054,1
477,541,0
1071,1509,0
381,1063,0
1519,1525,1
20,1042,1
59,578,0
17,328,1
1040,4563,0
8,1054,0
1064,1070,1
1119,1590,1
503,538,0
32,554,1
24,150,1
19,1097,0
1066,1071,1
1059,1111,0
1067,1070,1
492,1519,0
1067,1470,0
20,22,1
1059,1071,1
1054,1064,1
567,1465,0
225,1519,1
1111,1519,0
1064,1066,1
327,1070,0
16,554,1
10,1050,0
25,1596,0
197,573,1
1070,1509,0
151,301,0
8,1464,1
230,562,1
328,1071,0
470,1070,0
378,382,1
1059,1070,1
301,573,0
4544,4552,1
552,1050,0
510,4544,0
55,1523,1
1519,1567,0
567,1050,0
510,541,0
511,554,0
22,1071,0
232,327,0
14,1505,0
1051,1063,0
552,1089,1
1066,1119,0
24,537,0
56,575,0
16,22,1
34,1490,1
561,562,1
483,1070,0
24,561,0
189,1519,1
1,1065,0
189,483,0
480,1519,0
552,1054,0
28,1483,0
12,16,1
537,575,0
22,554,1
216,1075,0
22,151,0
19,41,0
1065,1066,1
222,576,0
308,1065,0
544,1063,0
1050,1065,1
541,1095,0
1059,1066,1
567,576,1
308,1520,1
483,1097,1
179,541,1
150,1596,1
327,1119,0
575,1090,1
1168,1505,1
483,1027,0
1056,1523,0
679,1093,1
24,473,1
1045,1050,1
20,28,1
1056,1070,1
473,561,0
483,1464,1
1054,1487,0
534,1037,1
492,679,1
1045,1064,1
315,1054,0
1067,1069,1
14,1501,1
568,575,1
511,1093,1
16,554,1
483,1464,1
1091,1097,0
1030,1035,1
230,561,1
16,1045,0
1037,1520,0
1510,1520,0
1042,1567,0
151,480,0
534,1050,0
10,55,1
232,1037,0
55,1510,1
315,1089,1
1483,1509,1
1063,1064,1
1050,1066,1
1042,1501,1
20,554,1
59,483,0
203,483,1
180,1075,0
1518,1526,1
354,483,0
473,1040,1
577,1037,0
483,1093,1
150,1596,1
203,483,1
3,1071,0
189,1497,1
483,679,1
1520,1596,0
8,1490,1
1064,1067,1
43,171,1
203,1497,0
24,1040,1
1050,1071,1
203,492,1
1053,1071,1
307,1490,0
1042,1471,0
205,1518,0
534,1070,0
328,534,0
1519,1520,1
16,150,0
354,1518,0
10,1510,1
24,1075,0
567,575,1
511,1054,0
180,230,0
573,577,0
189,343,0
567,575,1
1045,1067,1
327,328,1
1030,1035,1
211,1053,0
150,1040,1
1054,1067,1
1053,1590,0
12,20,1
578,1090,1
16,503,0
12,1501,1
1069,1504,0
150,343,1
1067,1075,1
1059,1067,1
1040,1090,0
25,1064,0
354,1567,1
32,554,1
43,1524,1
22,1095,0
1497,1525,1
1069,1071,1
25,1093,1
24,150,1
503,1093,0
1053,1056,1
189,1526,1
14,1059,0
1518,1520,1
225,1517,1
307,1497,0
1065,1069,1
8,511,1
43,1510,1
6,1509,0
34,1099,0
534,1067,0
8,203,1
511,1464,1
1520,1526,1
24,1596,1
1045,1071,1
1040,4548,0
32,211,0
25,1526,0
562,1063,0
378,554,0
205,1464,0
14,196,0
1063,1090,0
1067,1070,1
10,43,1
488,1096,1
22,511,0
511,1465,0
203,307,0
327,1045,0
1091,1525,0
230,1066,0
1044,1471,1
203,511,1
179,1119,1
554,1042,1
1478,1509,1
203,1093,1
230,1040,0
8,1490,1
503,1066,0
679,1038,0
301,1075,0
28,1070,0
1519,1590,0
1096,1518,0
483,1091,0
203,1490,1
1093,1510,0
329,541,1
541,1037,1
492,1045,0
1037,1590,1
308,1519,1
32,470,0
1045,1075,1
55,4549,0
1065,1075,1
382,1464,0
1067,1071,1
307,1489,1
180,1094,1
1497,1526,1
1056,1059,1
