dataset1_id,dataset2_id,matching_topic
197,561,1
541,1037,1
300,1503,1
507,1511,0
329,1091,0
171,1503,0
1497,1525,1
151,1054,0
1481,1509,0
1066,1071,1
43,171,1
17,1526,0
507,1495,0
40,1064,0
473,1036,1
1063,1071,1
24,180,1
511,1557,0
1509,1525,0
1053,1056,1
1099,1490,0
22,1059,0
1054,1070,1
1487,1518,0
1049,1069,1
1059,1070,1
172,1069,0
56,1524,0
382,1098,1
567,578,1
1516,1524,0
511,1089,0
552,4549,0
542,666,1
570,576,1
568,578,1
510,1111,0
41,554,0
43,538,0
55,1483,0
1054,1056,1
1520,1525,1
224,1524,1
8,25,1
561,573,1
212,1464,1
17,327,1
511,679,1
511,1490,1
1464,1497,0
32,224,0
8,492,1
1053,1067,1
1037,1590,1
492,511,1
1056,1059,1
19,1490,0
28,1464,0
1114,1466,0
1525,1526,1
505,1505,0
1045,1066,1
34,40,0
1,29,0
511,1464,1
28,1038,1
4548,4549,1
575,1097,0
3,1481,1
4548,4549,1
1066,1597,0
542,1519,0
34,492,1
212,1097,1
287,1472,0
222,1525,0
59,4563,0
41,1040,0
1042,1069,0
1056,1501,0
189,1064,0
224,1472,0
55,489,0
216,576,0
679,1040,0
1042,1049,0
10,43,1
287,1095,1
541,1471,0
208,1525,0
1054,1066,1
180,578,0
187,570,0
34,503,0
10,171,1
1465,1520,0
1071,1518,0
17,19,1
538,570,0
16,554,1
563,1502,0
8,1557,0
1045,1064,1
473,1094,1
44,1097,0
451,1495,0
301,1526,0
10,1524,1
308,686,0
343,1040,1
511,1597,0
329,541,1
216,571,1
23,1038,0
25,511,1
354,1483,0
12,1042,1
12,14,1
189,1526,1
300,1503,1
285,1044,0
34,1093,1
542,1509,0
12,4548,0
1093,1464,1
1050,1070,1
212,1036,0
570,576,1
1045,1063,1
56,1465,0
1050,1054,1
1053,1070,1
12,28,1
492,1490,1
43,537,0
1067,1524,0
25,1490,1
1525,4552,0
189,1526,1
354,570,0
179,1119,1
1463,1525,0
381,577,0
666,1114,0
12,16,1
567,575,1
28,32,1
17,489,0
1040,1094,1
222,1075,0
28,554,1
1464,1501,0
563,1056,0
1098,1590,0
1042,1075,0
59,1477,0
492,679,1
503,563,1
1067,1069,1
300,1038,0
1059,1066,1
16,1038,1
1049,1050,1
503,1027,0
10,1510,1
16,18,1
1483,1509,1
1066,1518,0
3,1066,0
19,1049,0
343,1036,1
1502,1505,0
227,1066,0
328,1038,0
224,375,0
1056,1059,1
578,1095,0
1045,1069,1
232,470,0
1096,1483,0
1099,1567,0
22,32,1
1094,4563,0
1053,1063,1
29,1045,0
1516,1526,1
1027,1030,1
212,552,0
189,1520,1
287,1114,0
1,1504,1
6,43,0
34,1504,0
8,575,0
1045,1071,1
538,541,0
179,541,1
1096,1520,0
1063,1066,1
313,1511,0
23,1037,1
14,1056,0
511,4532,0
14,1094,0
492,1476,0
679,1464,1
1036,1094,1
8,1509,0
19,473,0
227,230,1
1045,1070,1
473,1500,0
483,511,1
212,492,1
197,573,1
189,505,0
1520,1526,1
568,575,1
511,1504,0
327,1049,0
1042,1501,1
29,1030,0
151,327,0
1040,1518,0
568,570,1
56,307,0
570,575,1
477,567,0
1516,1520,1
576,1504,0
542,1075,0
1050,1064,1
