dataset1_id,dataset2_id,matching_topic
1054,1477,0
554,1465,0
1510,4534,0
576,578,1
327,1042,0
568,4548,0
1059,1070,1
208,537,0
14,20,1
1093,1490,1
307,1098,0
10,1035,0
6,686,0
164,1114,0
55,1523,1
1064,1065,1
1037,1063,0
23,541,1
55,171,1
1064,1070,1
1096,1511,0
578,1499,0
567,576,1
14,1038,1
307,1049,0
1049,1050,1
451,538,1
1478,4675,1
287,488,0
172,222,0
1516,1517,1
25,679,1
1523,1524,1
3,328,0
1059,1069,1
1511,4544,0
171,1523,1
12,1476,0
1049,1067,1
36,492,0
1465,4563,0
12,561,0
327,1053,0
1509,4675,1
577,1090,1
1119,1524,0
378,451,0
315,381,0
1064,1075,1
1049,1054,1
23,1094,0
6,185,0
23,1590,1
1500,1597,0
666,1054,0
6,1590,0
1510,1524,1
196,492,0
189,1520,1
16,1557,0
55,1065,0
203,483,1
212,227,0
1065,1502,0
381,451,0
12,1099,0
575,1090,1
1045,1066,1
24,180,1
578,1037,0
30,1462,0
8,1490,1
1054,1069,1
1050,1464,0
483,1490,1
1497,1520,1
1097,1099,0
1038,1053,0
16,189,0
43,354,0
28,1038,1
1053,1075,1
375,1066,0
14,22,1
6,1567,0
216,571,1
19,327,1
1064,4544,0
17,19,1
189,1525,1
18,1038,1
203,1464,1
1478,1483,1
14,1065,0
6,230,0
1038,1042,1
554,1502,0
451,538,1
1499,1567,0
477,571,0
301,538,0
541,1075,0
12,554,1
1050,1075,1
189,492,0
22,172,0
1035,1040,0
212,483,1
679,1097,1
1049,1070,1
343,1503,0
40,679,0
25,4552,0
1464,1490,1
537,4532,0
568,571,0
488,1045,0
189,1463,0
315,552,1
19,4548,0
1067,1096,0
576,578,1
1097,1490,1
230,1462,0
1114,1487,0
196,1490,0
225,1519,1
1050,1065,1
1462,4552,0
23,1064,0
185,1511,0
308,1517,1
41,222,0
1094,1505,0
313,1093,0
1049,1069,1
14,22,1
1097,1490,1
1111,1590,0
489,1471,0
1049,1059,1
1064,1070,1
203,1093,1
1065,1461,0
208,315,1
20,205,0
1037,1590,1
23,534,1
22,1501,1
16,1501,1
1040,1096,0
1065,1066,1
327,1463,0
378,1091,1
205,1557,1
1056,1059,1
1045,1065,1
510,1504,0
477,1089,0
541,544,0
179,1590,1
679,1461,0
1056,1066,1
22,1042,1
578,1590,0
12,28,1
14,16,1
25,34,1
563,1487,1
307,1489,1
285,493,0
1097,1557,0
20,1168,0
16,22,1
187,534,0
55,171,1
1059,1067,1
577,1476,0
34,483,1
227,507,0
1497,1525,1
43,1502,0
327,1114,0
1478,1509,1
492,1490,1
8,10,0
561,573,1
187,1464,0
1027,1567,0
22,28,1
563,1519,0
55,381,0
225,4549,0
483,1097,1
171,1168,0
6,211,0
554,1038,1
14,1476,0
1049,1066,1
1064,1075,1
36,1090,0
1476,1477,1
20,1038,1
1044,1093,0
483,554,0
573,1038,0
211,489,0
10,1489,0
1462,1567,0
222,1466,1
1510,1523,1
1472,1481,0
40,59,1
1064,1067,1
483,492,1
