dataset1_id,dataset2_id,matching_topic
150,1040,1
150,343,1
8,1093,1
575,1090,1
24,1035,0
10,224,1
23,1037,1
575,1037,0
1040,1094,1
505,1094,0
222,534,0
287,578,0
180,1036,1
1066,1071,1
1038,1502,0
1066,1070,1
343,563,0
34,1071,0
10,473,0
197,561,1
1036,4675,0
1050,1056,1
20,1049,0
1045,1059,1
1038,1042,1
16,4534,0
203,1097,1
1065,4549,0
1036,1094,1
43,222,0
18,1501,1
212,1097,1
567,568,1
1045,1064,1
1517,1518,1
1093,1097,1
1045,1095,0
544,567,0
230,308,0
196,343,0
1093,1464,1
225,1519,1
307,1487,0
1036,1054,0
32,1504,0
34,44,0
10,171,1
55,343,0
224,1462,0
1063,1071,1
343,1168,0
470,1526,0
196,307,0
43,1059,0
197,227,1
511,1097,1
1050,1075,1
382,1056,0
28,1501,1
473,1040,1
1063,1066,1
189,308,1
511,1464,1
1489,1525,0
24,1099,0
492,511,1
1038,1517,0
185,1075,0
1093,1501,0
578,1597,0
25,1557,0
300,1489,1
1050,1070,1
212,1464,1
225,1520,1
216,1040,0
1516,1518,1
171,227,0
300,4563,1
164,1093,0
203,483,1
189,1518,1
25,1519,0
34,1037,0
1463,1520,0
14,20,1
1517,1520,1
567,1090,1
179,534,1
1519,1525,1
3,1518,0
8,1097,1
10,503,0
308,1520,1
179,554,0
224,1523,1
6,1090,0
8,679,1
43,55,1
227,505,0
1054,1071,1
14,1038,1
511,1099,0
36,1070,0
1065,1066,1
151,179,0
171,1523,1
1516,1525,1
183,567,0
1053,1067,1
32,1038,1
179,470,0
568,571,0
232,307,0
8,1464,1
1519,1520,1
1059,1517,0
576,578,1
180,1495,0
1056,1064,1
196,1067,0
537,1050,0
1049,1050,1
203,511,1
59,568,0
179,1037,1
183,1519,0
1056,1075,1
150,1094,1
382,1050,0
492,1464,1
56,1501,0
537,1049,0
8,1461,0
28,1093,0
561,1526,0
212,511,1
22,1590,0
1524,4548,0
20,4135,0
212,483,1
1053,1070,1
1044,1070,0
1054,1067,1
1050,1502,0
1064,1065,1
224,1524,1
1038,1042,1
3,224,0
554,1051,0
1049,1066,1
225,1518,1
24,180,1
308,1519,1
1038,1097,0
1,1059,0
14,1071,0
554,1042,1
562,1462,0
578,686,0
16,18,1
483,679,1
59,511,0
1064,1067,1
1525,4563,0
197,576,0
329,541,1
