dataset1_id,dataset2_id,matching_topic
542,666,1
492,1035,0
328,1059,0
492,1094,0
225,1518,1
18,212,0
18,4532,0
567,576,1
1050,1067,1
203,492,1
34,212,1
22,1094,0
1478,4675,1
511,1045,0
378,1489,0
185,554,0
511,1097,1
511,1040,0
666,1069,0
232,1503,0
483,1093,1
1,1504,1
150,180,1
25,511,1
25,1093,1
232,510,1
552,1089,1
20,22,1
534,1490,0
541,4534,0
483,1051,0
1053,1094,0
1050,4552,0
232,1037,0
150,1526,0
1037,1067,0
22,205,0
189,1516,1
576,578,1
1042,1505,0
1066,1069,1
43,1523,1
483,1111,0
507,1516,0
24,343,1
576,1524,0
308,503,0
488,1056,0
554,1042,1
1168,1524,0
164,1497,0
329,1590,1
17,328,1
24,180,1
578,4563,0
12,1063,0
1461,1504,0
189,562,0
29,473,0
19,230,0
12,1045,0
1093,1464,1
1510,1523,1
180,343,1
541,577,0
1045,1054,1
224,503,0
1497,1525,1
12,22,1
12,1501,1
187,1095,1
1049,1050,1
10,43,1
575,1090,1
1059,1067,1
1066,1111,0
14,1478,0
329,1037,1
20,381,0
25,493,0
1065,1071,1
542,1054,0
1053,1066,1
561,1053,0
473,1510,0
43,1523,1
568,576,1
22,150,0
1091,1098,1
12,225,0
308,1519,1
179,1505,0
36,1502,1
483,511,1
483,1557,0
150,1040,1
492,686,0
187,1490,0
14,554,1
576,577,1
16,1065,0
151,4675,0
32,554,1
55,224,1
1056,4549,0
492,1478,0
1114,4135,0
451,4675,0
10,1490,0
24,1596,1
511,1097,1
172,1053,0
1471,1525,0
1168,1505,1
343,1094,1
511,575,0
17,19,1
1040,1557,0
493,1093,0
1516,1525,1
20,538,0
30,1050,0
208,1097,0
679,4544,0
1045,1069,1
212,492,1
1053,1069,1
10,4549,0
24,1466,0
511,1049,0
1067,1070,1
451,1096,0
25,1464,1
212,1490,1
22,576,0
150,534,0
208,315,1
1054,1483,0
17,28,0
1069,1091,0
232,1557,1
1045,1059,1
18,32,1
1477,1590,0
189,1590,0
212,1518,0
3,1481,1
1053,1064,1
1519,1520,1
203,483,1
212,1114,0
150,343,1
511,1495,0
573,1042,0
10,1510,1
1056,1070,1
179,1037,1
1027,1030,1
18,22,1
212,4544,0
196,562,0
1053,1064,1
1056,1064,1
1050,1481,0
