dataset1_id,dataset2_id,matching_topic
1029,1069,0
189,4675,0
329,538,0
20,1510,0
10,4548,0
10,1504,0
164,1520,0
1027,1045,0
1093,4552,0
28,1471,0
32,172,0
1518,1519,1
20,544,0
473,1094,1
196,1069,0
1054,1478,0
1042,1477,0
14,1069,0
1470,1519,0
150,686,0
567,1090,1
301,1050,0
577,1461,0
492,1567,0
1483,1490,0
308,1463,0
8,1090,0
378,382,1
507,577,0
18,1069,0
1038,1511,0
488,1464,0
1050,1090,0
28,185,0
1510,1523,1
568,1511,0
375,1059,0
492,505,0
24,488,0
544,679,0
1503,1557,0
16,212,0
14,679,0
196,375,0
8,679,1
183,1478,0
507,1524,0
577,1463,0
28,1489,0
1038,1519,0
16,1464,0
375,4563,1
10,1066,0
327,1489,0
20,1567,0
32,40,0
151,1505,1
212,568,0
28,1519,0
575,1501,0
14,1035,0
18,503,0
1038,1093,0
55,164,0
313,1064,0
544,576,0
196,562,0
1063,1504,0
554,1049,0
150,1490,0
36,1063,0
29,1093,0
20,313,0
1,1525,0
1487,1509,0
1038,1099,0
224,577,0
1,1497,0
55,1524,1
212,1490,1
570,1463,0
16,1501,1
1056,1477,0
287,1489,0
1037,1495,0
1094,1516,0
3,1481,1
1071,1477,0
8,32,0
328,1519,0
12,329,0
1029,1042,0
1,1056,0
480,1519,0
489,1037,0
211,212,0
473,534,0
1505,1525,0
211,4675,0
150,1053,0
30,197,0
301,1045,0
375,1503,1
34,55,0
1053,1064,1
505,1050,0
576,1099,0
1094,1525,0
1064,4544,0
470,570,0
150,185,0
41,1090,0
225,538,0
1464,1470,0
187,534,0
1036,1049,0
44,570,0
24,203,0
180,227,0
1490,1504,0
1463,4549,0
488,1510,0
1096,1516,0
1038,1523,0
34,354,0
40,1070,0
511,1461,0
30,1518,0
40,1071,0
1464,1483,0
567,568,1
1053,1523,0
1054,4549,0
1069,4534,0
150,1070,0
483,1490,1
40,568,0
554,1476,0
1070,4552,0
55,4549,0
473,679,0
10,1487,0
1490,1524,0
180,1050,0
1069,1525,0
25,4548,0
6,1071,0
189,1495,0
1096,1461,0
1094,1505,0
171,1524,1
480,1038,0
12,1065,0
492,1519,0
196,308,0
1036,1040,1
544,1501,0
164,1093,0
1089,1091,0
1027,1049,0
164,1483,0
19,1466,0
16,1470,0
36,212,0
1049,1596,0
1066,1500,0
224,1523,1
1461,1502,0
1516,4548,0
180,1056,0
20,25,0
203,212,1
1037,1063,0
488,1490,0
552,1042,0
1511,1516,0
327,328,1
150,1094,1
224,1505,0
1063,1071,1
576,1518,0
10,1510,1
1,1520,0
1036,1518,0
1051,1069,0
29,1059,0
179,1054,0
1038,1063,0
29,1516,0
567,1597,0
375,1470,0
41,1089,0
185,1497,0
567,1500,0
40,1036,0
570,1059,0
227,230,1
1524,4135,0
1059,1071,1
12,1035,0
197,570,0
189,1503,0
354,1050,0
18,1503,0
34,4534,0
17,315,0
1050,1505,0
203,1053,0
32,1051,0
29,1524,0
1040,1509,0
1027,1511,0
1069,1511,0
544,1489,0
568,1063,0
301,1501,0
30,1519,0
36,492,0
10,1505,0
1066,1464,0
505,1071,0
470,4675,0
208,538,0
375,1040,0
1089,1497,0
8,541,0
24,1094,1
185,1517,0
16,1042,1
1470,1516,0
180,505,0
208,470,0
503,666,0
151,1518,0
196,1064,0
1095,1487,0
29,554,0
59,1520,0
212,1461,0
1035,1049,0
375,1520,0
150,477,0
6,1519,0
537,1516,0
41,203,0
227,679,0
151,483,0
230,679,0
554,1483,0
1059,1463,0
300,473,0
483,4548,0
686,1053,0
1038,1501,1
14,1075,0
203,4549,0
329,4563,0
1030,1066,0
300,4534,0
480,1497,0
44,227,0
375,1505,0
1050,1483,0
28,1038,1
18,4544,0
1056,1464,0
172,1040,0
12,473,0
164,1518,0
492,1525,0
212,329,0
287,1520,0
542,1501,0
576,1065,0
185,1035,0
1059,4532,0
150,1037,0
1040,1064,0
567,1463,0
480,1053,0
451,538,1
189,1472,0
1054,1064,1
180,1520,0
1489,1519,0
24,1090,0
573,1524,0
1119,1567,0
1050,4135,0
20,44,0
1066,1462,0
151,1525,0
10,1516,0
30,503,0
313,1596,0
17,666,0
8,34,1
308,1049,0
568,1495,0
1119,1519,0
1029,1525,0
1168,1465,0
14,542,0
30,180,0
544,1037,0
16,1045,0
180,1064,0
16,1483,0
1040,1518,0
1503,4548,0
1490,1502,0
354,1567,1
568,1516,0
196,568,0
150,542,0
375,575,0
171,1053,0
505,1066,0
227,1045,0
44,179,0
24,1069,0
28,577,0
1066,1090,0
187,1069,0
300,1070,0
24,575,0
1051,1520,0
679,1463,0
1040,1489,0
25,666,0
308,511,0
196,1090,0
203,1511,0
1038,1483,0
483,1516,0
34,1596,0
1054,1511,0
488,1516,0
225,1463,0
171,4544,0
28,1063,0
6,511,0
24,1063,0
205,4549,0
30,1464,0
554,1495,0
354,1056,0
24,1119,0
378,1037,0
1096,1464,0
470,577,0
492,1509,0
575,1461,0
189,576,0
1463,1525,0
313,1499,0
1038,1042,1
18,211,0
1070,1465,0
20,1501,1
285,1056,0
171,1471,0
1,1064,0
492,1499,0
185,313,0
20,59,0
44,4563,0
1075,1495,0
32,1069,0
534,1510,0
25,1093,1
14,568,0
8,1501,0
492,1502,0
30,151,0
180,1489,0
505,1516,0
1065,1487,0
679,1099,0
197,666,0
14,1071,0
10,1495,0
29,1517,0
1071,4563,0
179,1499,0
1094,1519,0
196,1523,0
212,4544,0
1470,1518,0
189,1497,1
189,1090,0
308,1500,0
185,1045,0
23,329,1
300,489,0
41,473,0
6,308,0
1499,1525,0
56,1036,0
18,1045,0
187,1504,0
8,1524,0
203,1064,0
570,1497,0
185,1503,0
205,679,0
511,1490,1
1045,1509,0
489,576,0
1044,1066,0
1096,1168,0
56,1050,0
203,1483,0
16,1093,0
1090,4563,0
1596,4548,0
151,1045,0
164,1464,0
1054,1497,0
1049,1505,0
212,1464,1
208,1069,0
32,1045,0
6,483,0
55,382,0
17,328,1
1525,4548,0
1094,1168,0
230,1065,0
25,488,0
511,1464,1
477,1111,0
59,205,0
1054,1517,0
185,1111,0
28,666,0
1036,1465,0
10,1065,0
212,666,0
1,1500,0
25,1042,0
34,1509,0
287,1505,0
14,164,0
577,1499,0
172,477,0
1070,1519,0
40,225,0
56,375,0
1042,1070,0
1051,1066,0
20,1523,0
8,30,0
354,1069,0
1050,1525,0
1054,1070,1
1503,1518,0
1063,1490,0
1096,1490,0
575,1516,0
477,534,0
41,1094,0
1070,1501,0
1098,4534,0
150,4563,0
25,1168,0
212,1523,0
554,1042,1
55,1029,0
151,1093,0
20,1038,1
285,1038,0
477,505,0
1168,1520,0
30,1042,0
59,1045,0
203,573,0
483,1489,0
24,28,0
686,1510,0
59,1497,0
20,568,0
180,1090,0
180,1525,0
488,1096,1
1501,4544,0
1096,1517,0
328,329,0
59,1071,0
