dataset1_id,dataset2_id,matching_topic
534,1590,1
17,578,0
180,343,1
1067,1070,1
1063,1483,0
451,538,1
1037,1519,0
205,1477,0
1519,1524,0
189,1526,1
1111,1114,1
1049,1071,1
1056,1069,1
189,1490,0
28,570,0
189,1470,0
573,1066,0
492,511,1
329,541,1
36,1502,1
18,1089,0
1070,1075,1
1094,1596,1
28,1038,1
1065,1069,1
14,451,0
179,1037,1
189,1497,1
232,510,1
575,1090,1
1044,1471,1
225,287,0
23,534,1
150,1465,0
232,1557,1
313,505,1
32,185,0
679,1463,0
22,29,0
1,1504,1
16,20,1
1071,1465,0
503,563,1
1050,1059,1
1067,1075,1
301,1487,1
488,1096,1
1481,1519,0
171,1523,1
227,562,1
28,32,1
14,563,0
197,562,1
492,679,1
541,573,0
23,179,1
301,1094,0
1027,1030,1
224,4552,0
224,1523,1
1516,1525,1
1049,1053,1
189,1526,1
576,1050,0
1069,1511,0
1097,4544,0
1040,1497,0
17,212,0
1027,1035,1
1097,1504,0
212,679,1
1045,1066,1
180,343,1
189,216,0
570,578,1
180,1094,1
18,1070,0
24,343,1
1525,1526,1
354,1071,0
32,534,0
1053,1067,1
534,1524,0
4544,4552,1
28,189,0
562,1065,0
1069,1070,1
25,203,1
16,32,1
1503,1510,0
1516,1518,1
18,28,1
20,185,0
1168,1505,1
18,1042,1
483,1063,0
171,1044,0
315,1089,1
503,1523,0
1063,1066,1
451,538,1
212,1490,1
25,1464,1
179,1037,1
483,1464,1
1501,4548,0
8,227,0
1094,1516,0
40,1557,0
1038,1050,0
1059,1065,1
189,511,0
230,573,1
189,511,0
28,1075,0
225,505,0
227,230,1
24,1094,1
225,1497,1
18,1059,0
20,28,1
1059,1067,1
1093,1097,1
1070,1466,0
1510,1524,1
1497,1520,1
23,1037,1
375,1503,1
1053,1064,1
1053,1064,1
44,329,0
1056,1066,1
1040,1059,0
308,1525,1
1050,1066,1
1038,1501,1
22,378,0
285,1050,0
212,1091,0
1065,1070,1
41,1518,0
1049,1516,0
563,1487,1
1056,1075,1
1464,1490,1
1056,1461,0
14,16,1
197,227,1
8,151,0
55,224,1
301,503,1
1069,1471,0
1049,1066,1
541,1524,0
205,575,0
1523,1524,1
227,562,1
534,542,0
1465,1524,0
203,1093,1
