dataset1_id,dataset2_id,matching_topic
151,1071,0
216,1027,0
1097,1464,1
1461,1462,0
172,1096,0
473,1036,1
679,1097,1
150,1069,0
538,1472,0
1517,1525,1
16,18,1
14,18,1
6,43,0
568,576,1
203,1483,0
567,1525,0
1093,1097,1
1054,4552,0
1059,1091,0
189,1517,1
8,1093,1
34,578,0
222,510,0
24,1036,1
534,541,1
1478,1483,1
212,492,1
17,1502,0
1066,1067,1
1517,1519,1
1056,1071,1
179,1037,1
55,1524,1
570,1075,0
3,1525,0
224,1510,1
1478,4675,1
483,541,0
17,578,0
483,1075,0
8,34,1
1063,1067,1
1053,1075,1
44,1481,0
14,32,1
307,1495,0
375,1111,0
470,477,0
1089,1462,0
470,1461,0
1070,1075,1
534,1501,0
20,22,1
1059,1066,1
59,561,0
19,285,0
1093,1464,1
1518,1526,1
308,4532,0
232,510,1
3,1064,0
8,1044,0
16,32,1
666,1471,0
489,1042,0
1053,1054,1
1027,1517,0
16,22,1
1049,1071,1
8,483,1
552,1471,0
534,541,1
197,561,1
1037,1093,0
56,151,0
1497,1526,1
1049,4549,0
307,375,1
23,179,1
205,1477,0
208,1501,0
1064,1071,1
43,1524,1
541,1597,0
570,578,1
203,212,1
17,328,1
492,571,0
538,1111,0
1059,1075,1
1095,1461,0
327,328,1
1051,1510,0
473,1053,0
20,22,1
180,1037,0
381,1098,1
30,4548,0
205,1036,0
483,679,1
1067,1098,0
1044,1471,1
575,1511,0
172,1065,0
507,679,0
1030,1054,0
18,1042,1
216,4552,0
16,28,1
19,328,1
14,20,1
208,1525,0
4548,4549,1
150,1596,1
1503,4563,1
1069,1466,0
1066,1071,1
679,1093,1
300,1517,0
1487,1524,0
203,1490,1
568,1520,0
1075,1091,0
483,1093,1
300,1111,0
16,211,0
1111,1114,1
1050,1075,1
23,1590,1
3,1038,0
14,16,1
1054,1065,1
227,1089,0
203,1519,0
189,382,0
1464,1490,1
308,1516,1
1027,1035,1
1049,1050,1
1091,1519,0
1065,4552,0
1099,1526,0
8,679,1
473,1036,1
55,1483,0
1500,4563,0
189,1516,1
197,567,0
542,666,1
1516,1525,1
24,473,1
34,1030,0
23,1461,0
24,1036,1
1053,1067,1
1050,1054,1
1516,1526,1
666,686,0
343,1463,0
222,1466,1
308,1519,1
313,1495,0
1516,1518,1
23,4563,0
16,20,1
1027,1035,1
151,1037,0
328,561,0
381,1091,1
28,537,0
150,1040,1
1053,1070,1
1519,1525,1
1,343,0
492,4534,0
150,1036,1
203,1065,0
55,1462,0
212,1038,0
1490,1517,0
1476,1477,1
511,679,1
1097,1510,0
1042,1501,1
1064,1066,1
8,287,0
20,232,0
208,1089,1
563,1487,1
1059,1071,1
1516,1520,1
1093,1519,0
32,343,0
24,575,0
196,1096,0
20,32,1
34,1490,1
14,32,1
23,329,1
313,1049,0
1029,1501,0
10,1501,0
1483,4675,1
576,1476,0
300,307,1
571,1478,0
1063,1071,1
493,4549,0
30,4675,0
300,544,0
24,180,1
189,1495,0
224,568,0
8,34,1
179,534,1
203,492,1
197,227,1
189,227,0
1510,1596,0
19,328,1
1067,4563,0
343,1466,0
14,22,1
505,1027,0
1063,1066,1
1049,1050,1
1056,1063,1
492,1490,1
189,666,0
1053,1064,1
23,1050,0
568,576,1
679,1490,1
205,1035,0
544,1495,0
1053,1064,1
1503,4675,0
205,1075,0
285,1510,0
1035,1099,0
44,205,0
562,563,0
1054,1066,1
55,1524,1
382,1056,0
212,1056,0
1056,1067,1
185,492,0
679,1091,0
150,343,1
212,679,1
23,534,1
212,1464,1
1050,1056,1
542,1597,0
1049,1067,1
208,315,1
568,576,1
24,1040,1
23,1037,1
511,570,0
10,1524,1
285,1027,0
328,1095,0
1096,4552,0
568,578,1
1036,1040,1
17,568,0
55,1510,1
205,232,1
1064,1066,1
562,1461,0
19,1517,0
24,230,0
1064,1471,0
492,1093,1
150,180,1
576,577,1
212,511,1
477,571,0
14,1042,1
1067,1070,1
1053,1056,1
1059,1067,1
568,575,1
208,1463,0
328,1069,0
571,1557,0
22,28,1
28,4548,0
1497,1519,1
679,1464,1
32,1503,0
1038,4548,0
32,1038,1
1027,1030,1
287,686,0
568,570,1
1049,1071,1
203,1066,0
1054,1065,1
56,477,1
189,1519,1
1069,1070,1
224,1524,1
203,679,1
212,1097,1
576,1511,0
1518,1525,1
382,1091,1
1478,4675,1
570,576,1
1509,4675,1
510,4534,0
232,327,0
1063,1065,1
4135,4534,0
287,1054,0
1499,1524,0
505,1063,0
24,1070,0
1056,1070,1
1053,1059,1
151,4548,0
187,287,1
8,538,0
16,32,1
493,1463,0
483,1097,1
22,329,0
224,1027,0
10,43,1
185,4563,0
1049,1505,0
22,1038,1
212,1035,0
18,32,1
287,1095,1
1056,1065,1
197,4549,0
44,315,0
18,1042,1
203,1490,1
1476,1478,0
552,1567,0
1075,1481,0
1053,1069,1
473,576,0
483,679,1
561,1471,0
151,451,0
1097,1567,0
189,308,1
32,1042,1
483,511,1
1095,1097,0
