dataset1_id,dataset2_id,matching_topic
55,1524,1
541,1119,1
25,1502,0
34,211,0
1519,1525,1
1049,1071,1
308,1524,0
225,4549,0
1065,4552,0
1,1497,0
179,1036,0
17,327,1
1461,1499,0
1027,1038,0
6,4532,0
22,1042,1
575,1465,0
1490,4552,0
1063,1067,1
1089,1519,0
1050,1063,1
30,1035,0
378,1098,1
24,1094,1
205,1557,1
22,1035,0
28,32,1
56,1093,0
32,554,1
23,179,1
534,1119,1
12,34,0
189,313,0
541,1040,0
1497,1518,1
301,563,1
1040,1094,1
164,1037,0
19,1059,0
568,570,1
1067,1071,1
483,679,1
537,1070,0
55,4675,0
561,1089,0
14,43,0
56,197,0
34,1497,0
56,1476,0
1049,1065,1
24,1036,1
1045,1504,0
537,1596,0
1064,1071,1
492,511,1
571,1505,0
232,511,0
308,1519,1
1038,4544,0
328,1063,0
151,1168,1
1045,1053,1
1064,1065,1
8,679,1
222,1466,1
381,4544,0
507,1038,0
56,477,1
327,1524,0
40,41,0
1054,1075,1
1029,4552,0
315,552,1
375,4135,0
183,205,1
36,562,0
32,1557,0
287,492,0
212,483,1
41,1027,0
23,1590,1
577,1037,0
55,224,1
1066,1070,1
511,1490,1
381,1487,0
225,1525,1
1114,1526,0
28,1501,1
16,554,1
55,1524,1
18,1501,1
25,34,1
1478,1509,1
1050,1069,1
1059,1066,1
1483,4549,0
32,1596,0
1477,4544,0
1063,1069,1
1063,1071,1
32,1042,1
567,576,1
1497,1525,1
1051,1511,0
17,19,1
59,4549,0
1042,1509,0
24,1094,1
578,1495,0
571,1094,0
563,1487,1
480,1114,0
1027,1098,0
1053,1114,0
43,55,1
205,1066,0
1027,1035,1
43,224,1
354,1465,0
216,1461,0
1038,1523,0
19,1481,0
23,1557,0
164,573,0
212,511,1
1050,1066,1
483,511,1
542,666,1
187,287,1
16,1038,1
505,1524,0
1066,1069,1
208,1511,0
187,1095,1
185,679,0
1065,1069,1
1050,1053,1
301,571,0
1050,1064,1
216,300,0
225,1526,1
32,571,0
197,1511,0
1036,1094,1
300,1503,1
534,541,1
1037,1465,0
1503,4563,1
16,1042,1
1049,1064,1
1038,1094,0
1097,1490,1
40,216,0
381,1098,1
183,1502,0
34,1098,0
203,511,1
375,1503,1
1067,1069,1
483,1097,1
189,4552,0
343,1596,1
315,679,0
1064,1070,1
1067,1070,1
25,1097,1
1093,1097,1
1054,1069,1
573,1509,0
1044,1099,0
328,1050,0
14,1042,1
212,511,1
24,573,0
171,1523,1
554,1038,1
300,1567,0
544,1567,0
172,1501,0
503,563,1
197,227,1
480,483,0
18,227,0
40,59,1
568,1471,0
197,1059,0
40,1044,0
538,1045,0
185,1557,0
43,1064,0
1050,1070,1
187,1567,0
1518,1520,1
6,1503,0
4544,4552,1
1059,1070,1
301,4563,0
14,22,1
224,1472,0
203,1097,1
12,16,1
576,577,1
492,1519,0
563,1481,0
180,1040,1
544,1483,0
1050,1067,1
307,568,0
554,571,0
227,561,1
1094,1517,0
554,1501,1
18,32,1
17,328,1
1038,1168,0
22,28,1
12,1471,0
1037,1590,1
1066,1071,1
1053,1066,1
187,1590,0
12,1089,0
23,227,0
