dataset1_id,dataset2_id,matching_topic
1497,1519,1
150,1040,1
510,1524,0
18,28,1
375,4563,1
222,1054,0
17,1059,0
492,1490,1
187,576,0
20,22,1
381,1098,1
6,8,0
483,1093,1
1059,1064,1
1059,1071,1
679,1050,0
308,1526,1
287,1095,1
34,679,1
354,544,0
1045,1054,1
511,1500,0
503,510,0
489,1075,0
8,1097,1
343,354,0
1038,1501,1
150,1036,1
1518,1520,1
307,578,0
542,1071,0
8,1490,1
212,1067,0
300,1503,1
1030,1097,0
225,1516,1
34,511,1
1053,1483,0
315,1089,1
19,328,1
562,1035,0
43,224,1
24,1040,1
313,505,1
189,1519,1
34,203,1
1053,1054,1
301,1487,1
1067,1069,1
212,492,1
570,575,1
34,1097,1
32,577,0
473,575,0
212,483,1
473,1036,1
1049,1069,1
20,1042,1
150,343,1
22,1038,1
308,1518,1
12,1042,1
343,505,0
1481,4534,0
10,171,1
470,1038,0
1516,1518,1
1064,1070,1
14,20,1
12,32,1
328,573,0
171,1465,0
1064,1465,0
1466,1471,0
1038,1050,0
563,1499,0
197,227,1
1045,1050,1
1045,1059,1
329,1119,1
1089,1523,0
227,230,1
203,301,0
1038,1497,0
24,230,0
189,1497,1
19,196,0
1042,1501,1
3,1523,0
1472,1495,0
208,315,1
1497,1520,1
686,1093,0
196,225,0
16,1042,1
224,1510,1
24,1094,1
12,16,1
483,1097,1
1497,1526,1
1470,1490,0
483,679,1
1045,1071,1
1067,4548,0
8,483,1
510,1557,1
1030,1040,0
205,1557,1
18,1038,1
1097,1464,1
23,1590,1
489,1090,0
208,552,1
205,1526,0
30,686,0
43,1524,1
24,1097,0
3,232,0
205,232,1
1036,1111,0
1093,1097,1
1050,1590,0
164,1096,0
1054,1070,1
308,1495,0
1093,1464,1
22,1462,0
354,1489,0
22,1503,0
10,55,1
1111,1114,1
378,1091,1
378,381,1
6,1037,0
1045,1067,1
227,679,0
300,381,0
19,573,0
1069,1075,1
55,1476,0
224,1472,0
567,1470,0
171,470,0
1483,4675,1
212,679,1
327,328,1
503,1471,0
8,212,1
679,1481,0
19,537,0
183,1065,0
10,1487,0
212,1489,0
16,32,1
211,1487,0
378,483,0
1049,1050,1
189,1049,0
205,1499,0
343,473,1
492,1093,1
1050,1071,1
22,285,0
20,28,1
1045,1519,0
313,1471,0
541,1040,0
1063,1064,1
23,329,1
1059,1066,1
55,1075,0
375,1489,1
1071,1526,0
8,1464,1
307,1489,1
59,327,0
1091,4135,0
20,32,1
329,451,0
510,511,0
179,216,0
570,1071,0
40,567,0
300,1463,0
378,1501,0
1516,1517,1
570,576,1
488,1045,0
534,1097,0
493,4135,0
301,1490,0
1054,1064,1
343,552,0
150,1483,0
34,1093,1
1056,1064,1
224,4548,0
1040,1596,1
16,1027,0
222,544,0
507,1472,0
1490,1519,0
1056,1069,1
505,578,0
1464,1505,0
542,1517,0
222,315,0
1040,1471,0
329,477,0
23,534,1
1516,1526,1
232,510,1
8,1093,1
227,561,1
151,1168,1
225,1525,1
300,4135,0
20,172,0
1097,1490,1
40,56,0
343,1036,1
315,507,0
40,59,1
183,1502,0
381,382,1
24,1524,0
1053,1070,1
230,568,0
189,308,1
1168,1505,1
187,1517,0
575,1090,1
1045,1063,1
28,1042,1
224,1495,0
567,570,1
578,1499,0
203,212,1
1050,1059,1
287,1499,0
212,1030,0
666,1066,0
211,1524,0
55,541,0
1091,1098,1
1523,1524,1
1029,1470,0
28,1510,0
568,575,1
20,1501,1
382,1091,1
171,451,0
14,16,1
1471,4534,0
227,562,1
151,179,0
43,1056,0
1524,1526,0
1066,1069,1
24,329,0
1045,1069,1
197,1489,0
470,578,0
12,18,1
538,1523,0
30,1093,0
534,1470,0
10,1067,0
554,4563,0
1096,1476,0
8,1168,0
308,1517,1
187,1095,1
575,577,1
225,578,0
180,1036,1
571,1042,0
1059,1067,1
18,1067,0
1035,1168,0
544,1476,0
300,1495,0
554,1501,1
43,1470,0
473,1040,1
1050,1056,1
25,492,1
205,510,1
25,1071,0
1478,1526,0
224,1524,1
151,301,0
19,327,1
56,1483,0
511,1093,1
29,1509,0
179,534,1
477,1064,0
212,1490,1
28,1501,1
197,1487,0
1520,1525,1
329,541,1
20,1516,0
1035,1477,0
679,1093,1
208,1096,0
470,1168,0
562,573,1
18,32,1
1049,1071,1
1049,1063,1
8,1478,0
1049,1053,1
25,4563,0
16,22,1
308,1516,1
227,4563,0
197,230,1
10,43,1
308,1519,1
224,1038,0
150,473,1
343,489,0
205,571,0
1487,1557,0
1059,1070,1
315,1065,0
171,480,0
561,1517,0
10,1037,0
24,343,1
30,56,0
18,1501,1
197,542,0
1049,1067,1
30,216,0
36,4552,0
1054,1069,1
164,1462,0
55,1510,1
534,1119,1
541,1466,0
203,492,1
542,1095,0
19,1042,0
570,1090,1
44,285,0
511,1511,0
150,1487,0
492,1097,1
378,1098,1
1487,4549,0
197,561,1
1511,4563,0
473,4532,0
1516,1520,1
230,573,1
29,227,0
1050,1054,1
8,203,1
1,1098,0
212,1064,0
1,492,0
575,578,1
1089,1597,0
686,1517,0
29,329,0
480,1093,0
492,511,1
285,1054,0
171,488,0
172,1027,0
375,1463,0
171,1472,0
187,287,1
1067,1075,1
24,29,0
55,477,0
24,180,1
183,232,1
552,1096,0
1517,1518,1
378,1030,0
224,327,0
308,1520,1
570,577,1
171,1510,1
1069,1071,1
1063,1070,1
44,375,0
197,1049,0
343,576,0
511,1463,0
1497,1518,1
29,1065,0
570,578,1
507,578,0
3,44,0
34,483,1
224,575,0
34,1567,0
567,568,1
59,1476,0
308,1525,1
1050,1066,1
343,1596,1
378,1567,0
541,1093,0
23,1119,1
28,1490,0
179,329,1
43,1070,0
554,1524,0
327,570,0
567,1090,1
225,300,0
568,578,1
1526,4675,0
301,577,0
1054,1065,1
1597,4135,0
22,28,1
222,1466,1
1053,1119,0
1053,1065,1
1067,1070,1
22,56,0
561,1114,0
14,562,0
225,1497,1
1056,1070,1
382,1489,0
1049,1059,1
510,1596,0
573,1490,0
1054,1056,1
1497,1525,1
28,32,1
224,1523,1
541,1590,1
577,1523,0
1051,1065,0
180,473,1
1053,1066,1
1040,4544,0
1064,1066,1
1510,1523,1
1044,1471,1
1049,1056,1
686,1525,0
1517,1525,1
12,14,1
1035,1094,0
189,1516,1
307,1487,0
1064,1075,1
