dataset1_id,dataset2_id,matching_topic
1489,1520,0
1042,1114,0
25,1097,1
216,571,1
28,1042,1
23,227,0
183,232,1
1045,1067,1
28,1487,0
567,575,1
44,4675,0
573,1510,0
12,16,1
511,1093,1
10,30,0
1090,1503,0
187,287,1
172,205,0
6,1065,0
34,1464,1
329,1119,1
576,666,0
203,1093,1
8,172,0
1119,1590,1
315,1089,1
1050,1054,1
203,212,1
1487,1516,0
22,28,1
18,1042,1
1053,1070,1
378,1098,1
300,1503,1
172,1044,0
1069,1075,1
1053,1065,1
1037,1557,0
151,1505,1
20,28,1
1067,1071,1
227,1094,0
1096,1483,0
301,563,1
1095,1098,0
1027,1030,1
343,1036,1
14,41,0
1056,1067,1
19,327,1
10,1510,1
56,577,0
483,505,0
561,4552,0
16,554,1
1526,1597,0
354,1098,0
538,1027,0
14,378,0
287,1059,0
3,22,0
489,570,0
34,1490,1
25,34,1
1490,1596,0
30,216,0
570,578,1
183,205,1
12,18,1
542,1597,0
492,1097,1
20,1470,0
1478,1509,1
43,212,0
1037,1520,0
1056,1075,1
10,1027,0
18,1597,0
1050,1502,0
180,1596,1
470,1483,0
1069,1524,0
205,301,0
480,561,0
308,1481,0
196,211,0
25,1464,1
1097,1490,1
1035,4549,0
575,578,1
343,563,0
40,1501,0
179,541,1
354,1094,0
1517,1526,1
570,1463,0
230,561,1
232,1504,0
211,1464,0
205,573,0
183,1030,0
1067,1070,1
480,538,0
212,1490,1
16,20,1
492,679,1
301,1487,1
568,1090,1
8,34,1
511,1503,0
23,534,1
576,1596,0
44,1038,0
34,1097,1
573,1042,0
56,212,0
12,1114,0
315,1089,1
1501,4548,0
230,541,0
1064,1070,1
327,1066,0
55,1510,1
1517,1519,1
568,4534,0
483,492,1
1056,1481,0
227,230,1
1054,1075,1
18,19,0
196,4675,0
568,570,1
315,1470,0
32,1038,1
563,1050,0
375,4563,1
12,1042,1
1097,1567,0
1063,1064,1
30,567,0
568,575,1
577,1509,0
17,19,1
171,285,0
203,1489,0
25,203,1
488,1526,0
477,1523,0
14,32,1
1067,1476,0
18,1042,1
224,1044,0
287,1045,0
40,1075,0
1064,1464,0
16,1038,1
1168,1481,0
230,470,0
470,1035,0
568,575,1
208,562,0
197,573,1
40,59,1
343,575,0
205,510,1
1097,1490,1
23,232,0
381,4548,0
203,205,0
196,1466,0
1,224,0
187,1095,1
1478,1483,1
1064,1067,1
180,473,1
20,1038,1
183,510,1
189,1497,1
222,4563,0
56,483,0
25,679,1
1064,1066,1
225,308,1
183,1557,1
510,1089,0
203,1093,1
538,571,0
477,1463,0
1049,1069,1
1053,1066,1
300,375,1
576,1090,1
185,538,0
451,538,1
1056,1075,1
1065,1069,1
483,1097,1
40,576,0
1518,1519,1
1489,1503,1
1111,1525,0
22,1056,0
313,511,0
227,562,1
301,470,0
534,1119,1
1049,1069,1
493,562,0
1049,1464,0
329,1045,0
24,1596,1
28,1065,0
1520,1590,0
378,1487,0
1,24,0
43,1524,1
287,1095,1
1050,1490,0
1050,1069,1
18,22,1
24,1596,1
24,1511,0
541,1119,1
1509,1516,0
1049,1054,1
554,1501,1
1049,1503,0
1064,1071,1
1497,1519,1
20,483,0
308,477,0
12,55,0
16,18,1
28,568,0
224,1597,0
575,1089,0
20,164,0
666,1075,0
1035,1063,0
164,378,0
287,1095,1
554,1038,1
1065,1490,0
179,534,1
552,1119,0
576,577,1
511,679,1
382,538,0
542,1495,0
208,1089,1
378,666,0
313,552,0
212,1093,1
10,1510,1
41,4548,0
1503,4563,1
568,1523,0
16,1477,0
568,576,1
1065,1504,0
534,1526,0
1045,1066,1
1045,1071,1
22,1038,1
1050,1066,1
570,1516,0
1059,1065,1
679,1490,1
1489,4563,1
1472,1526,0
307,1067,0
1069,1070,1
480,1470,0
1040,1075,0
1497,1518,1
8,34,1
492,1030,0
1497,1516,1
189,1517,1
488,567,0
343,1094,1
203,1029,0
1050,1064,1
24,343,1
1070,1071,1
570,575,1
203,1168,0
1045,1066,1
203,492,1
378,382,1
327,329,0
1030,1518,0
43,1093,0
179,1095,0
1053,1067,1
343,473,1
22,554,1
1059,1067,1
493,563,1
1511,4532,0
1497,1516,1
43,224,1
354,1089,0
20,185,0
20,1487,0
32,1501,1
43,1483,0
55,1510,1
1093,1490,1
1520,1526,1
1040,1503,0
18,1038,1
34,483,1
1050,1065,1
1050,1461,0
307,4563,1
534,1037,1
1045,1049,1
225,1525,1
1027,1511,0
576,577,1
197,230,1
375,1042,0
567,578,1
570,576,1
34,212,1
1063,1071,1
171,1481,0
534,1590,1
576,1090,1
55,1517,0
10,1524,1
1168,1461,0
1053,4552,0
1067,1069,1
34,1490,1
1,1516,0
1054,1461,0
505,1487,0
24,1036,1
1054,1064,1
28,197,0
232,1064,0
1065,1516,0
679,1464,1
1064,1070,1
4552,4675,0
1027,1035,1
567,1056,0
16,28,1
34,666,0
1044,1067,0
164,171,0
473,573,0
378,381,1
25,492,1
1063,1069,1
208,1089,1
225,1516,1
189,308,1
1476,1477,1
308,1516,1
510,1042,0
1478,1510,0
507,679,0
150,1462,0
14,578,0
12,36,0
1497,1526,1
172,308,0
1478,4675,1
8,1464,1
212,492,1
329,1590,1
23,1504,0
59,4563,0
222,1466,1
1093,1596,0
16,1071,0
492,4544,0
1050,1053,1
222,1470,0
570,1495,0
43,1524,1
14,554,1
28,1038,1
10,554,0
307,1516,0
503,1497,0
216,1526,0
25,43,0
41,1091,0
28,1056,0
573,1476,0
183,232,1
1059,1075,1
567,1495,0
378,537,0
10,224,1
150,1036,1
16,1038,1
544,1487,0
561,573,1
544,1064,0
1471,1524,0
375,1489,1
679,1063,0
24,1470,0
1053,1063,1
179,1093,0
492,1063,0
1464,1503,0
23,224,0
561,1168,0
34,1464,1
575,578,1
208,552,1
180,1091,0
164,1487,0
197,679,0
10,4549,0
224,1502,0
56,203,0
12,1465,0
576,578,1
43,1510,1
171,224,1
1038,1501,1
483,1096,0
225,1497,1
1504,1516,0
10,1097,0
313,1472,0
679,1504,0
483,570,0
227,561,1
1054,1478,0
44,307,0
1075,1096,0
1071,1502,0
308,1525,1
568,1524,0
55,1524,1
308,1520,1
180,1090,0
354,1567,1
307,1489,1
534,1523,0
1029,1065,0
1040,1466,0
225,1517,1
230,1520,0
1045,1050,1
36,1091,0
570,575,1
183,1517,0
1064,1065,1
488,1495,0
25,1093,1
225,1520,1
197,230,1
41,1503,0
23,222,0
1054,1067,1
1049,1063,1
32,225,0
570,576,1
1053,1095,0
43,1523,1
19,1051,0
1049,1053,1
1030,1483,0
1509,4534,0
300,563,0
1516,1526,1
1063,1066,1
308,1470,0
1045,1070,1
36,1489,0
24,180,1
1495,1590,0
232,488,0
1519,1520,1
1050,1463,0
1053,1069,1
510,542,0
212,1526,0
480,1495,0
1089,1499,0
19,1524,0
59,1042,0
567,568,1
8,22,0
34,1099,0
180,1036,1
197,1066,0
1040,1094,1
576,1050,0
480,1044,0
343,473,1
25,203,1
488,4563,0
22,1038,1
189,473,0
183,562,0
1054,1066,1
43,224,1
1037,1069,0
16,1042,1
1053,1071,1
1111,1490,0
8,511,1
22,41,0
488,1053,0
22,28,1
8,203,1
225,1526,1
44,222,0
1053,1056,1
22,187,0
1045,1063,1
208,552,1
205,1557,1
538,1093,0
1168,4548,0
16,1044,0
20,1042,1
24,1054,0
1056,1066,1
300,534,0
538,1504,0
179,1036,0
180,382,0
1503,4563,1
575,1071,0
43,1066,0
22,1518,0
205,232,1
1050,1511,0
1472,1511,0
541,1119,1
570,578,1
537,1071,0
534,1119,1
1094,1596,1
315,1497,0
1462,4549,0
1094,4544,0
14,375,0
1054,1056,1
1050,1064,1
1099,1111,0
1075,1567,0
227,570,0
1030,1035,1
3,172,0
537,1590,0
1044,1098,0
300,567,0
1091,1098,1
1036,1094,1
1053,1065,1
1065,1526,0
216,488,0
1050,1066,1
20,1503,0
1059,1063,1
679,1093,1
327,507,0
329,1090,0
19,1030,0
224,1510,1
212,1093,1
24,343,1
570,1090,1
511,1464,1
327,1462,0
1038,1042,1
151,205,0
16,1501,1
329,1511,0
492,1490,1
343,1097,0
1489,4563,1
224,1523,1
189,225,1
30,544,0
25,34,1
313,505,1
196,1481,0
381,544,0
542,666,1
382,1489,0
285,300,0
203,483,1
22,1065,0
1066,1070,1
4544,4552,1
1053,1056,1
189,308,1
561,1477,0
22,1093,0
1063,1075,1
381,382,1
505,1027,0
568,570,1
381,382,1
507,4548,0
197,488,0
541,1049,0
23,1071,0
1045,1049,1
308,470,0
20,666,0
30,576,0
1070,1075,1
29,301,0
554,1501,1
23,534,1
1089,4563,0
180,1094,1
1069,1075,1
287,480,0
1035,1470,0
16,28,1
1063,1067,1
1470,1481,0
12,20,1
29,1510,0
205,211,0
222,1499,0
511,4549,0
375,4563,1
224,1524,1
1045,1054,1
25,577,0
1049,1067,1
225,1497,1
28,183,0
19,1035,0
32,679,0
28,1042,1
570,1036,0
1053,1069,1
507,577,0
20,1489,0
44,1505,0
171,1524,1
1518,1526,1
212,1490,1
1464,1490,1
1035,1056,0
12,16,1
1516,1525,1
189,1520,1
203,1466,0
1040,1094,1
171,1470,0
1091,1098,1
488,1096,1
489,1471,0
534,1037,1
8,25,1
30,1504,0
172,4552,0
1036,1596,1
1065,1066,1
23,1111,0
12,554,1
1470,4548,0
205,232,1
211,1511,0
3,1481,1
381,1098,1
10,1524,1
1526,1596,0
12,20,1
1066,1504,0
1063,1075,1
1094,1596,1
1066,1071,1
18,554,1
150,315,0
308,1519,1
300,375,1
1064,1069,1
552,1523,0
1516,1517,1
1099,1463,0
150,1095,0
1070,1509,0
1059,1065,1
1054,1075,1
18,20,1
36,1466,0
10,575,0
34,483,1
180,510,0
329,1520,0
1065,1090,0
1483,4675,1
150,1075,0
225,1495,0
451,4549,0
10,43,1
16,1042,1
183,563,0
232,315,0
378,1064,0
29,1064,0
300,1050,0
44,1070,0
1050,1056,1
179,1119,1
542,1519,0
1119,1590,1
1509,4675,1
24,1036,1
567,576,1
561,1065,0
4548,4549,1
315,552,1
477,1075,0
230,573,1
56,1056,0
1481,1516,0
568,1168,0
203,1490,1
225,1517,1
510,562,0
1042,1065,0
483,492,1
1500,4675,0
570,1090,1
1049,1071,1
1168,1462,0
203,679,1
489,1461,0
1036,4552,0
1029,1054,0
483,1093,1
301,1502,0
1063,1064,1
488,1040,0
55,171,1
492,511,1
20,1168,0
570,4544,0
40,59,1
227,230,1
1045,1056,1
1093,1490,1
32,1525,0
510,1038,0
343,1036,1
16,197,0
32,1501,1
307,375,1
14,381,0
570,1503,0
1094,1505,0
36,180,0
1517,1525,1
511,679,1
32,1505,0
1045,1071,1
208,537,0
225,1516,1
1497,1519,1
1036,1040,1
151,196,0
150,567,0
18,1501,1
187,1465,0
308,1516,1
1069,1511,0
378,1038,0
1037,1119,1
222,1466,1
1089,1502,0
180,343,1
10,164,0
1520,1596,0
44,300,0
493,1471,0
212,1464,1
34,1119,0
179,1590,1
1519,1520,1
150,1094,1
300,575,0
151,1557,0
1044,1519,0
22,1501,1
196,1526,0
189,1075,0
573,1030,0
1497,1525,1
222,541,0
1049,1065,1
1098,1471,0
1066,1487,0
511,1091,0
216,381,0
41,1064,0
1510,4544,0
10,43,1
189,203,0
1040,1518,0
23,567,0
343,1040,1
28,1095,0
36,315,0
8,492,1
1050,1070,1
1045,1054,1
534,541,1
451,1066,0
1049,1075,1
679,1463,0
343,1094,1
40,1477,0
329,1509,0
1054,1070,1
25,212,1
493,4563,0
25,44,0
1054,1065,1
1027,1035,1
43,171,1
1053,1059,1
1099,4675,0
679,1490,1
1035,1461,0
1049,1050,1
225,542,0
25,354,0
1054,1069,1
55,1063,0
12,505,0
19,563,0
205,510,1
16,18,1
1114,4534,0
55,1524,1
570,1045,0
1067,1071,1
300,1045,0
203,1051,0
473,1094,1
473,1094,1
1063,1071,1
1064,1066,1
1049,1054,1
537,4552,0
150,1036,1
300,4563,1
301,503,1
25,679,1
59,1596,0
301,563,1
301,493,1
1053,1063,1
576,1059,0
189,343,0
3,315,0
16,1495,0
552,1089,1
1045,1053,1
1497,1517,1
1483,4675,1
1054,1114,0
222,1523,0
541,1504,0
1,1476,0
196,1476,0
3,1481,1
1054,1168,0
1038,1501,1
301,503,1
1036,1040,1
22,378,0
1059,1071,1
483,511,1
307,315,0
375,1053,0
1053,1059,1
1095,1524,0
1520,1525,1
14,554,1
14,1501,1
575,1483,0
189,1520,1
378,1030,0
1054,1070,1
30,4135,0
1056,1059,1
1069,1466,0
20,1510,0
30,1518,0
222,1504,0
224,1523,1
505,1464,0
43,1510,1
300,4563,1
1037,1119,1
1056,1069,1
32,1042,1
59,343,0
1504,1525,0
1066,1067,1
28,1501,1
1168,1557,0
505,1036,0
473,1040,1
36,483,0
1517,1525,1
576,1063,0
180,679,0
34,1053,0
197,227,1
1069,1096,0
8,212,1
1056,1069,1
538,570,0
1111,1114,1
180,1094,1
562,571,0
315,538,0
488,544,0
1045,1053,1
1053,1071,1
16,1509,0
164,1036,0
1497,1520,1
313,505,1
44,1071,0
1516,1519,1
1511,1518,0
1099,1481,0
151,197,0
224,488,0
1044,1089,0
212,1099,0
1065,1070,1
575,577,1
196,1478,0
1065,1067,1
1042,1501,1
1059,1067,1
171,1063,0
473,1040,1
180,1036,1
179,1590,1
232,1029,0
19,20,0
23,511,0
1501,1520,0
1059,1071,1
1471,4532,0
378,1519,0
22,542,0
308,1476,0
562,1029,0
1476,1525,0
225,1520,1
1064,1065,1
189,1516,1
1036,4548,0
171,224,1
301,493,1
575,1500,0
55,1567,0
225,1027,0
1027,1030,1
1056,1067,1
12,1501,1
563,1526,0
150,1500,0
227,573,1
1523,4549,0
18,20,1
343,1038,0
1059,1497,0
203,492,1
570,577,1
12,1466,0
1063,1511,0
1096,1098,0
41,1509,0
315,552,1
189,1526,1
511,1097,1
534,1590,1
211,534,0
16,554,1
212,679,1
34,1097,1
180,211,0
1497,1525,1
561,1470,0
1070,1520,0
59,381,0
4548,4552,0
189,1526,1
315,1067,0
34,203,1
287,1049,0
301,1487,1
575,577,1
1520,1525,1
12,554,1
172,327,0
1040,1119,0
578,1051,0
23,4563,0
375,666,0
16,1501,1
483,1097,1
180,1596,1
205,679,0
1481,1557,0
679,1093,1
222,1097,0
301,1027,0
187,381,0
25,1464,1
1050,1056,1
