dataset1_id,dataset2_id,matching_topic
1029,1517,0
301,480,0
1063,1071,1
1056,1067,1
1049,1067,1
36,1099,0
10,1524,1
1053,1067,1
1049,1053,1
382,1091,1
1516,4544,0
29,1037,0
301,503,1
150,1099,0
315,1557,0
1056,1069,1
24,4549,0
1518,4544,0
381,493,0
1075,1504,0
203,1490,1
1489,1503,1
1089,1499,0
1516,1525,1
18,554,1
308,1520,1
18,492,0
1029,1481,0
232,1490,0
150,4544,0
32,1501,1
185,1099,0
151,483,0
1036,1596,1
25,488,0
1096,4532,0
227,1590,0
301,493,1
562,573,1
488,1461,0
36,43,0
28,554,1
34,212,1
1035,1064,0
28,327,0
492,1067,0
307,375,1
16,18,1
189,4675,0
493,563,1
183,232,1
183,1466,0
224,1524,1
208,1089,1
12,22,1
17,19,1
25,679,1
1098,4552,0
1510,4549,0
577,1090,1
1070,1096,0
1050,1071,1
287,451,0
227,573,1
56,307,0
307,575,0
20,28,1
313,505,1
300,307,1
307,1503,1
573,1511,0
16,28,1
41,1489,0
1523,1524,1
1099,1481,0
8,679,1
10,1523,1
225,1518,1
563,1114,0
382,507,0
212,679,1
212,378,0
183,230,0
203,679,1
40,1499,0
10,1510,1
12,1038,1
328,1526,0
44,666,0
212,1490,1
1040,1478,0
534,1037,1
679,4552,0
308,1462,0
23,4532,0
307,1497,0
212,1040,0
179,534,1
554,1509,0
382,1098,1
12,354,0
537,1051,0
212,1091,0
1036,1071,0
382,1505,0
34,492,1
203,679,1
17,328,1
328,1483,0
14,1042,1
14,554,1
1045,1066,1
203,483,1
381,382,1
1064,1067,1
301,1035,0
1040,1596,1
315,4534,0
1111,1516,0
1059,4563,0
1478,1504,0
1509,4675,1
41,1065,0
1049,4532,0
1029,1478,0
225,1119,0
537,1464,0
1054,1071,1
505,1518,0
313,505,1
534,568,0
1029,1557,0
1069,1071,1
44,571,0
1059,1524,0
36,1462,0
568,4544,0
55,308,0
1056,1487,0
189,1054,0
576,1036,0
230,573,1
225,1526,1
477,1168,0
382,1027,0
1466,1502,0
1,1065,0
489,1517,0
3,537,0
189,1517,1
1053,1054,1
511,1490,1
28,1463,0
171,1526,0
492,1464,1
230,562,1
10,25,0
12,575,0
171,1509,0
567,1510,0
56,679,0
301,493,1
1490,4544,0
1044,1471,1
1483,1509,1
575,1504,0
43,211,0
20,1038,1
308,1098,0
18,1042,1
1487,1526,0
1036,1483,0
1050,1066,1
19,327,1
1490,1505,0
1093,1490,1
505,510,0
1091,1596,0
171,1510,1
1044,1471,1
568,575,1
483,1464,1
1059,1064,1
451,505,0
477,1517,0
477,1035,0
1054,1070,1
492,511,1
28,1042,1
1059,1067,1
470,1069,0
23,1027,0
36,541,0
1520,1526,1
180,1071,0
1516,1517,1
171,224,1
1035,1053,0
307,492,0
313,315,0
22,554,1
180,1094,1
328,4548,0
480,510,0
493,1490,0
1066,1524,0
6,40,0
563,1099,0
25,492,1
1518,1520,1
503,1476,0
686,1037,0
230,562,1
307,1027,0
55,1499,0
205,570,0
1063,1071,1
203,1097,1
1557,1567,0
343,1596,1
1064,1069,1
196,1499,0
315,1462,0
287,1095,1
511,1097,1
203,1490,1
1481,1520,0
212,285,0
1497,1516,1
534,1470,0
329,1037,1
1066,1071,1
151,1505,1
212,483,1
224,1463,0
22,225,0
451,1029,0
679,1461,0
1119,1590,1
10,224,1
208,315,1
301,1463,0
1036,1040,1
1045,1056,1
179,1476,0
208,315,1
18,554,1
1067,1070,1
1095,1519,0
1070,1071,1
16,1501,1
493,1487,1
36,1502,1
20,32,1
552,1095,0
180,4548,0
480,544,0
1070,1071,1
189,1526,1
1054,1070,1
179,1119,1
1053,1065,1
1519,1525,1
3,1519,0
44,483,0
1489,1503,1
1059,1075,1
150,503,0
24,1040,1
17,327,1
1509,4675,1
300,1596,0
1464,1490,1
483,1097,1
300,307,1
1038,1520,0
203,1557,0
24,1059,0
1036,1596,1
483,1490,1
570,1038,0
1503,4544,0
211,575,0
18,28,1
43,1510,1
212,511,1
568,576,1
1097,1464,1
473,1518,0
20,1502,0
552,1089,1
22,28,1
300,1520,0
29,59,0
189,1526,1
1050,1070,1
1476,1510,0
577,578,1
1049,1070,1
1,41,0
216,382,0
307,375,1
180,1094,1
567,576,1
503,1111,0
1471,1557,0
8,510,0
1045,1059,1
1510,1524,1
1091,1098,1
492,541,0
230,561,1
505,1464,0
1059,1505,0
16,1042,1
14,22,1
686,1503,0
1040,1042,0
36,1499,0
1093,1464,1
679,1481,0
20,32,1
20,1063,0
150,1596,1
1095,1524,0
28,1042,1
1094,1596,1
480,1075,0
315,1168,0
1462,1518,0
34,55,0
1063,1066,1
1065,1067,1
55,1597,0
225,1518,1
567,1524,0
1050,1063,1
197,503,0
151,1168,1
24,150,1
36,1502,1
1075,1472,0
19,1471,0
212,1490,1
6,1030,0
1463,1481,0
1053,1066,1
6,1483,0
381,1466,0
