ds1,ds2,matching
568,1044,0
568,1097,0
43,378,0
189,492,0
492,1097,1
1490,4548,0
24,1520,0
511,1093,1
1045,1069,1
203,1477,0
480,1066,0
329,1075,0
483,1490,1
1509,1519,0
541,1037,1
20,22,1
381,470,0
451,537,0
34,4534,0
300,505,0
567,575,1
1054,1471,0
1059,1069,1
187,1497,0
6,570,0
59,1063,0
537,1051,0
1490,1500,0
1071,1518,0
563,1487,1
55,1523,1
1054,1069,1
1063,1065,1
22,1114,0
1064,1071,1
23,354,0
1461,1526,0
1049,1067,1
568,578,1
538,1168,0
1503,1557,0
1067,1463,0
378,1093,0
8,483,1
205,4548,0
30,1049,0
1069,1075,1
185,203,0
172,187,0
1045,1053,1
212,537,0
300,568,0
301,1042,0
315,1066,0
205,1098,0
503,1487,1
1049,1063,1
172,378,0
300,488,0
328,1030,0
301,1465,0
666,1050,0
212,477,0
1053,1075,1
343,571,0
1478,1483,1
179,534,1
232,1557,1
16,1511,0
225,1520,1
43,1524,1
375,1470,0
493,1044,0
1119,1590,1
225,537,0
1040,1095,0
1045,1075,1
40,1054,0
55,171,1
203,1464,1
28,224,0
301,578,0
287,1066,0
1040,1462,0
18,577,0
451,538,1
187,375,0
56,4135,0
29,563,0
287,1093,0
1497,1516,1
313,567,0
554,1168,0
576,1500,0
232,308,0
164,567,0
570,1502,0
488,537,0
216,488,0
197,230,1
1509,4675,1
542,1067,0
1069,1497,0
183,205,1
1462,4534,0
301,1476,0
1524,4675,0
1111,1463,0
8,29,0
578,1596,0
480,4552,0
197,562,1
1114,1461,0
1035,1042,0
473,573,0
1054,1056,1
483,1523,0
315,1119,0
577,1030,0
29,578,0
203,1505,0
8,1526,0
189,1064,0
18,43,0
172,451,0
18,172,0
510,1063,0
8,1495,0
1462,1517,0
224,1461,0
315,493,0
1037,1119,1
6,1520,0
544,666,0
503,1596,0
41,1040,0
686,4544,0
16,179,0
541,1509,0
230,1597,0
224,1066,0
1466,1525,0
10,1524,1
230,1091,0
20,470,0
25,1557,0
578,4135,0
1040,1557,0
222,230,0
1497,1596,0
575,1476,0
1466,1502,0
180,1029,0
1168,1525,0
1094,1509,0
30,571,0
563,1098,0
203,1495,0
23,1075,0
1059,1523,0
493,503,1
1502,4675,0
1111,1518,0
1481,1487,0
570,4549,0
1075,1509,0
511,679,1
575,578,1
10,179,0
12,1056,0
183,1069,0
19,225,0
211,573,0
1461,1567,0
3,1168,0
575,1519,0
211,477,0
14,1490,0
567,1114,0
18,232,0
3,1500,0
1461,4135,0
300,541,0
451,4532,0
679,1596,0
285,1526,0
1470,1524,0
1040,1525,0
212,1495,0
1036,1471,0
1027,4552,0
1075,1462,0
18,227,0
505,1070,0
1030,1096,0
1463,1597,0
10,534,0
1045,1056,1
150,1099,0
307,1489,1
1505,1519,0
563,1471,0
1075,1478,0
483,1463,0
562,1503,0
1518,1520,1
1065,1067,1
1053,1070,1
212,1483,0
196,1590,0
329,541,1
1489,1523,0
285,1049,0
208,1040,0
1481,1497,0
56,537,0
14,1038,1
1069,1071,1
1519,1526,1
10,1518,0
230,1027,0
225,1526,1
1495,1525,0
483,1511,0
30,197,0
505,1090,0
1090,4549,0
1517,1518,1
32,554,1
538,686,0
451,1477,0
36,1075,0
230,1029,0
19,1596,0
1472,1489,0
232,686,0
14,327,0
22,575,0
10,1027,0
300,307,1
577,578,1
3,375,0
18,1044,0
1069,1465,0
1481,1511,0
10,1503,0
12,1499,0
187,1597,0
488,1040,0
1119,1464,0
1038,4544,0
179,329,1
18,1037,0
20,41,0
29,1510,0
1049,1500,0
1053,1054,1
511,1524,0
1054,1567,0
538,1042,0
300,1050,0
483,1524,0
382,571,0
189,1516,1
16,1038,1
40,1050,0
1464,1596,0
1095,1495,0
203,1490,1
686,1097,0
230,1490,0
542,1504,0
23,4563,0
1461,1509,0
1035,1461,0
189,1477,0
541,1464,0
1030,4534,0
208,1525,0
285,1089,0
12,285,0
315,1487,0
216,1489,0
6,1525,0
36,197,0
171,1524,1
164,1466,0
1483,4675,1
1065,1069,1
1069,1516,0
1097,1509,0
1038,1501,1
489,568,0
179,489,0
1063,1064,1
308,1070,0
378,1063,0
3,4675,0
1466,1597,0
22,1119,0
203,1051,0
197,1065,0
1,1504,1
343,1505,0
23,1119,1
1091,1465,0
150,1045,0
56,197,0
493,1070,0
216,1461,0
224,1510,1
185,537,0
28,573,0
1053,1064,1
208,1523,0
1075,1501,0
30,541,0
164,301,0
4548,4549,1
1071,1472,0
1053,1511,0
307,493,0
1030,1036,0
382,1472,0
1064,1093,0
308,1051,0
562,1038,0
24,180,1
489,1065,0
576,578,1
28,567,0
25,1516,0
20,4549,0
492,552,0
1066,1071,1
164,1519,0
211,378,0
375,1489,1
686,1067,0
329,1030,0
1096,1557,0
1065,1070,1
43,171,1
22,568,0
18,328,0
10,308,0
224,343,0
28,552,0
354,1054,0
537,1066,0
203,492,1
189,1517,1
19,227,0
150,1097,0
480,1497,0
3,381,0
1500,1511,0
8,1027,0
570,1524,0
55,1511,0
22,1069,0
1063,1095,0
1050,1067,1
19,327,1
164,1049,0
36,59,0
1464,1500,0
542,1066,0
28,1501,1
1050,1063,1
1093,1095,0
25,212,1
34,1509,0
534,1119,1
308,1516,1
187,1509,0
222,1036,0
36,537,0
30,1053,0
25,492,1
473,1029,0
6,1519,0
492,1490,1
1051,1065,0
1500,1505,0
14,1042,1
308,1497,1
230,1481,0
570,1075,0
507,1466,0
666,1063,0
554,1065,0
1510,1520,0
315,1044,0
212,1099,0
59,196,0
208,1505,0
375,542,0
44,578,0
10,1093,0
679,1516,0
1051,1501,0
300,1504,0
327,561,0
1049,1070,1
510,1461,0
1495,4548,0
208,1168,0
473,1090,0
17,1063,0
300,1503,1
151,1497,0
224,563,0
179,1462,0
24,1036,1
1056,1075,1
1053,1065,1
18,1038,1
328,1054,0
183,4532,0
470,1067,0
1056,1063,1
212,1490,1
477,1525,0
477,1097,0
1114,1487,0
307,666,0
285,382,0
185,538,0
151,1505,1
208,1030,0
563,4552,0
1168,4544,0
8,1093,1
16,22,1
4532,4534,0
56,542,0
308,1050,0
1063,1114,0
197,568,0
1114,1526,0
483,1098,0
227,378,0
577,1470,0
10,224,1
301,1119,0
1042,1071,0
575,1091,0
1064,1472,0
1487,4675,0
1596,4532,0
554,4563,0
1051,1097,0
1056,4135,0
488,503,0
313,4135,0
10,1472,0
32,1037,0
34,503,0
1477,1503,0
150,1476,0
56,4544,0
180,477,0
216,571,1
172,1096,0
28,212,0
41,216,0
227,562,1
12,507,0
544,1090,0
315,1035,0
203,1095,0
382,1500,0
208,1059,0
567,686,0
1501,4552,0
1059,1466,0
1478,1504,0
285,1505,0
41,150,0
6,315,0
480,507,0
381,1489,0
1481,1525,0
285,1597,0
1056,1070,1
1050,1075,1
1044,4544,0
328,1050,0
313,1027,0
197,227,1
507,1490,0
1465,1518,0
6,285,0
1461,1557,0
151,666,0
382,1064,0
1054,1500,0
1070,4675,0
1,1481,0
16,20,1
196,477,0
1463,1487,0
1050,1053,1
180,537,0
183,1465,0
24,1064,0
577,1520,0
328,4544,0
196,1495,0
1090,1114,0
567,1090,1
483,1519,0
25,1490,1
493,4135,0
1066,1069,1
59,1045,0
575,1490,0
1054,1470,0
24,1070,0
197,1044,0
562,1094,0
208,552,1
308,1557,0
17,227,0
313,4544,0
301,1567,0
189,1518,1
36,570,0
18,381,0
22,189,0
1089,1517,0
375,563,0
1056,1487,0
12,14,1
28,1476,0
1027,1557,0
22,222,0
1067,4549,0
20,1038,1
34,227,0
1094,1596,1
1093,1502,0
1067,1487,0
541,1590,1
1038,1557,0
12,4675,0
227,1096,0
1509,1590,0
224,1481,0
3,493,0
541,570,0
44,208,0
307,1526,0
36,1042,0
578,1064,0
382,1471,0
493,1526,0
313,4548,0
534,541,1
16,4548,0
14,4552,0
503,1472,0
1090,4544,0
19,1557,0
172,1490,0
1036,1509,0
686,1069,0
232,1511,0
40,382,0
150,1596,1
24,1093,0
1096,4549,0
1091,1524,0
6,451,0
183,232,1
1094,1495,0
1472,1509,0
12,1501,1
285,1099,0
1030,1064,0
205,227,0
171,327,0
55,1500,0
40,189,0
1516,1525,1
473,1036,1
164,1481,0
1070,1095,0
1045,1099,0
285,1517,0
1036,1094,1
1483,1509,1
17,1490,0
197,492,0
28,1059,0
30,1056,0
477,1111,0
225,308,1
285,1037,0
56,308,0
287,1481,0
577,1090,1
20,1095,0
216,1497,0
196,1093,0
197,573,1
34,1490,1
59,164,0
570,1523,0
492,1093,1
1094,1119,0
567,1064,0
18,22,1
313,561,0
225,544,0
285,1096,0
1029,1067,0
17,196,0
164,570,0
34,180,0
537,1509,0
23,164,0
285,489,0
570,1596,0
488,1502,0
14,1505,0
1065,1111,0
224,567,0
227,573,1
537,1476,0
28,1042,1
1037,1099,0
183,544,0
22,4534,0
17,554,0
307,1503,1
1464,1590,0
563,1503,0
1063,1519,0
189,1526,1
180,216,0
378,538,0
343,1596,1
28,1094,0
222,489,0
567,568,1
19,20,0
44,1040,0
1070,1500,0
382,568,0
1091,4549,0
354,562,0
1027,1030,1
1114,1504,0
40,1056,0
179,1590,1
534,1036,0
381,382,1
14,308,0
492,1466,0
1035,4532,0
562,573,1
41,542,0
1037,1168,0
150,1040,1
1037,4532,0
59,1524,0
354,1042,0
1490,1596,0
375,1503,1
573,4135,0
1464,1501,0
1051,4532,0
18,1590,0
222,505,0
375,1050,0
578,1096,0
12,554,1
285,1471,0
285,1071,0
171,1464,0
151,222,0
561,567,0
189,1465,0
1096,1111,0
382,561,0
179,541,1
1044,1489,0
1490,1518,0
211,554,0
36,1044,0
24,552,0
8,1089,0
1045,1067,1
378,1091,1
573,4552,0
55,301,0
19,1470,0
189,477,0
510,1472,0
1517,1520,1
1518,1525,1
189,1093,0
470,1049,0
327,1472,0
1054,1067,1
1093,1490,1
561,1471,0
343,4675,0
285,1525,0
197,216,0
1094,1500,0
1090,1518,0
503,4135,0
503,1027,0
567,578,1
1099,4532,0
19,1054,0
544,1030,0
354,477,0
1063,1067,1
12,1059,0
1036,1040,1
285,1489,0
483,561,0
187,567,0
578,1526,0
25,203,1
1111,1526,0
473,488,0
3,537,0
17,1523,0
196,1096,0
14,492,0
23,59,0
503,1597,0
1045,1064,1
1067,1119,0
18,554,1
679,1505,0
225,4549,0
171,185,0
23,329,1
538,1525,0
483,492,1
1038,1520,0
6,1567,0
679,1464,1
1050,1059,1
185,542,0
679,1524,0
1097,1596,0
1071,1075,1
1510,1524,1
150,1557,0
29,1481,0
24,473,1
29,4549,0
470,577,0
8,1490,1
227,1040,0
40,59,1
483,511,1
230,562,1
8,189,0
511,1495,0
187,211,0
203,212,1
185,208,0
187,1499,0
179,1038,0
1049,1053,1
25,34,1
55,1510,1
56,1567,0
1525,1567,0
23,183,0
381,1091,1
327,378,0
208,1526,0
537,4532,0
180,1483,0
19,55,0
1053,1071,1
537,1500,0
18,568,0
568,1510,0
381,1098,1
1035,1097,0
171,576,0
308,1525,1
36,1054,0
308,1470,0
172,1042,0
