ds1,ds2,matching
287,4675,0
30,164,0
203,577,0
1497,1526,1
34,1483,0
493,1075,0
179,1590,1
343,1499,0
381,1098,1
183,300,0
225,1520,1
381,1119,0
171,216,0
1497,1516,1
473,1036,1
1168,1505,1
287,1470,0
1045,1070,1
8,29,0
232,577,0
23,534,1
1040,1596,1
1067,1075,1
1097,1525,0
1098,4544,0
203,1093,1
492,679,1
227,562,1
36,1502,1
1064,1071,1
1168,1481,0
511,1490,1
571,578,0
203,483,1
537,1114,0
203,1490,1
483,492,1
12,1501,1
197,561,1
8,212,1
575,578,1
343,1596,1
1045,1066,1
224,1049,0
10,4675,0
19,542,0
14,1042,1
577,1090,1
189,1525,1
8,1519,0
308,1516,1
534,1027,0
354,1567,1
570,1090,1
3,187,0
1097,1490,1
1519,1525,1
43,686,0
30,477,0
1042,1596,0
1049,1075,1
507,571,0
1053,1070,1
1036,1040,1
17,19,1
14,354,0
1478,4675,1
541,1040,0
1038,4532,0
185,1466,0
232,1557,1
327,1490,0
23,329,1
16,554,1
16,1042,1
180,1094,1
480,492,0
225,382,0
205,1557,1
534,1049,0
222,1054,0
22,1461,0
24,510,0
1029,1099,0
224,1490,0
18,22,1
1037,1119,1
1511,1520,0
1049,1069,1
56,1483,0
205,1064,0
567,1038,0
208,315,1
208,1089,1
1050,1059,1
1040,1487,0
1,1517,0
10,1510,1
43,1524,1
56,208,0
343,1036,1
1065,1075,1
329,541,1
300,577,0
10,55,1
22,32,1
1516,1526,1
183,686,0
1066,1067,1
32,562,0
285,473,0
1070,1075,1
25,483,1
307,1503,1
22,554,1
197,573,1
22,203,0
1520,1525,1
493,563,1
18,1038,1
55,171,1
1487,1497,0
225,1519,1
1049,1071,1
32,1038,1
28,561,0
1049,1070,1
205,510,1
41,308,0
208,285,0
1526,4532,0
1045,1059,1
554,1501,1
34,679,1
25,679,1
164,480,0
483,1067,0
34,1490,1
55,224,1
10,224,1
208,554,0
232,1059,0
1042,4548,0
1045,1065,1
20,1038,1
568,1090,1
573,1470,0
225,308,1
1029,1051,0
230,1463,0
300,1503,1
451,538,1
510,1557,1
287,1063,0
1056,1063,1
28,554,1
313,679,0
492,1490,1
1487,1557,0
32,1501,1
32,211,0
203,492,1
23,1597,0
563,1502,0
25,1490,1
503,1501,0
1518,1526,1
375,554,0
570,1505,0
1037,4549,0
451,1476,0
180,686,0
511,1499,0
1059,1510,0
1517,1525,1
313,1557,0
18,20,1
1059,1069,1
473,4135,0
563,1071,0
567,568,1
577,578,1
55,542,0
171,1510,1
576,1090,1
10,1054,0
41,489,0
24,180,1
1516,1518,1
1063,1069,1
183,1557,1
329,1037,1
23,510,0
151,1168,1
18,32,1
187,1095,1
171,1524,1
1483,1509,1
483,1094,0
1054,1064,1
1036,1465,0
382,1098,1
43,573,0
232,1505,0
55,1465,0
1509,4135,0
300,1489,1
14,1096,0
164,1567,0
1050,1063,1
4532,4675,0
23,1098,0
1050,1070,1
1063,1064,1
1505,1597,0
227,1036,0
150,1114,0
1054,1067,1
505,1049,0
503,578,0
150,575,0
511,1093,1
488,1114,0
19,179,0
492,1518,0
1093,1097,1
315,552,1
1053,1075,1
20,483,0
16,1501,1
541,1037,1
493,507,0
224,544,0
16,22,1
1503,4563,1
3,1056,0
561,573,1
222,1466,1
1516,1519,1
1027,1525,0
23,1064,0
343,1094,1
308,1519,1
36,567,0
1065,1070,1
1497,1525,1
164,222,0
1050,1067,1
23,1505,0
18,1098,0
41,1040,0
1,1504,1
541,1499,0
43,1510,1
187,4534,0
150,343,1
1500,1518,0
1064,1070,1
23,189,0
686,1040,0
10,171,1
1461,1478,0
8,203,1
503,1518,0
1069,1075,1
301,1471,0
561,1476,0
1070,4135,0
59,561,0
24,473,1
576,577,1
32,1042,1
301,503,1
1049,1063,1
44,1070,0
196,542,0
1066,1071,1
24,1596,1
20,554,1
1497,1517,1
534,1056,0
1049,1059,1
56,477,1
225,679,0
567,577,1
185,197,0
567,1090,1
1056,1064,1
189,1516,1
28,1501,1
150,313,0
222,1462,0
493,1040,0
570,578,1
470,4675,0
534,1063,0
230,4552,0
1096,1501,0
1056,1481,0
329,1119,1
16,18,1
1064,1075,1
222,1465,0
568,577,1
382,1519,0
14,16,1
1050,1075,1
180,343,1
313,1471,0
343,510,0
18,554,1
14,28,1
18,1516,0
172,1526,0
1040,1094,1
679,1030,0
1098,1462,0
307,1465,0
28,225,0
537,1044,0
300,375,1
511,1097,1
1038,1501,1
8,1490,1
34,1090,0
568,578,1
1064,1067,1
1519,1526,1
1059,1066,1
1030,1054,0
230,1478,0
179,4532,0
203,354,0
18,28,1
538,4544,0
492,1097,1
541,1097,0
1049,1050,1
212,1490,1
12,22,1
308,1526,1
44,225,0
1050,1065,1
1030,1502,0
150,1596,1
227,1095,0
503,1487,1
1063,1065,1
185,1596,0
1111,1471,0
203,1097,1
205,232,1
1045,1075,1
224,1070,0
507,1045,0
1063,1067,1
328,1596,0
1054,1557,0
1054,1075,1
568,575,1
32,554,1
315,1069,0
208,224,0
473,538,0
12,4534,0
308,1517,1
1472,1476,0
183,510,1
477,1098,0
381,1030,0
573,686,0
1045,1050,1
14,32,1
43,1042,0
666,1511,0
1516,4552,0
542,1597,0
211,534,0
19,571,0
1065,1069,1
483,1093,1
203,571,0
34,203,1
567,1517,0
14,1038,1
1049,1066,1
1038,1042,1
180,4552,0
151,164,0
686,1096,0
375,1517,0
189,1526,1
563,1596,0
22,1094,0
1050,1069,1
187,554,0
222,1036,0
570,575,1
1067,1070,1
537,1502,0
537,578,0
24,150,1
14,489,0
197,562,1
542,1567,0
205,301,0
554,4135,0
505,1051,0
1045,1056,1
308,1520,1
224,1524,1
544,1111,0
1042,1516,0
300,1045,0
679,1093,1
1036,1596,1
1053,1054,1
20,567,0
196,300,0
1050,1066,1
1059,1063,1
180,1483,0
287,1095,1
43,171,1
534,1037,1
343,1524,0
510,570,0
22,1567,0
568,570,1
34,1096,0
1478,1483,1
180,1036,1
12,28,1
183,511,0
208,570,0
1465,1590,0
577,1093,0
164,1526,0
41,542,0
44,1557,0
18,185,0
3,563,0
8,679,1
43,4552,0
570,577,1
301,563,1
1063,1071,1
1069,1071,1
164,227,0
41,470,0
1059,1070,1
16,20,1
56,503,0
1518,1519,1
171,537,0
541,1119,1
375,1489,1
1036,1094,1
8,511,1
1056,1067,1
1059,1075,1
1053,1065,1
327,575,0
1042,1497,0
328,1096,0
212,1093,1
20,1501,1
25,1029,0
19,328,1
17,183,0
212,327,0
1067,1071,1
222,1471,0
180,503,0
59,4135,0
308,1525,1
164,224,0
164,1464,0
197,230,1
179,1065,0
43,55,1
563,1567,0
29,55,0
55,1523,1
1069,1557,0
1483,4675,1
8,1464,1
1036,1499,0
183,567,0
308,1497,1
1490,1511,0
493,1487,1
1071,4135,0
1037,1069,0
1518,1520,1
40,1054,0
10,196,0
1481,1518,0
561,1490,0
225,1526,1
59,171,0
14,1501,1
561,562,1
451,1064,0
488,1096,1
150,473,1
150,1090,0
308,1518,1
505,4552,0
151,1505,1
24,576,0
10,1044,0
1509,4675,1
187,1517,0
378,381,1
1067,1501,0
1518,1525,1
25,1505,0
313,1090,0
679,1097,1
483,1490,1
1054,1497,0
1066,1075,1
151,1119,0
1027,1030,1
164,285,0
285,1094,0
8,1030,0
1050,1056,1
534,541,1
570,1040,0
1063,1066,1
343,1027,0
227,561,1
1044,1049,0
477,552,0
378,1098,1
10,216,0
34,1464,1
197,227,1
56,327,0
1090,1596,0
32,203,0
1056,1065,1
25,1037,0
4135,4544,0
150,1036,1
56,301,0
189,308,1
179,378,0
56,480,0
554,1042,1
1483,1505,0
503,563,1
1070,1525,0
1516,1517,1
554,562,0
164,1042,0
1053,1464,0
17,480,0
1497,1520,1
179,1119,1
25,1093,1
36,301,0
503,1523,0
511,4549,0
222,4675,0
552,568,0
10,43,1
567,576,1
1054,1056,1
34,1465,0
150,541,0
189,1497,1
483,511,1
222,4135,0
313,1487,0
30,1069,0
150,224,0
30,1066,0
16,32,1
567,575,1
378,1091,1
212,483,1
1050,1064,1
14,22,1
301,1487,1
164,1520,0
30,1096,0
1525,1526,1
227,537,0
225,1497,1
12,32,1
29,4534,0
552,1089,1
573,1168,0
328,573,0
19,1526,0
343,473,1
150,1094,1
18,1042,1
378,537,0
187,492,0
477,1487,0
227,573,1
1059,1064,1
1053,1059,1
1056,1471,0
183,1499,0
150,1040,1
3,1481,1
307,510,0
227,230,1
19,554,0
25,492,1
382,1476,0
150,180,1
1511,1526,0
451,1044,0
375,1495,0
1035,4544,0
1044,1471,1
666,1030,0
29,1472,0
1505,4135,0
225,1516,1
212,227,0
1053,1056,1
1036,1075,0
375,568,0
34,212,1
480,1093,0
6,180,0
568,1477,0
378,567,0
225,1518,1
150,567,0
