Epoch 00000 | Loss 14.7509 | Test Acc 0.6230 | Time(s) 951.0616
Epoch 00001 | Loss 14.6978 | Test Acc 0.6066 | Time(s) 950.1336
Epoch 00002 | Loss 14.6023 | Test Acc 0.6175 | Time(s) 949.3640
Epoch 00003 | Loss 14.5232 | Test Acc 0.6175 | Time(s) 949.2833
Epoch 00004 | Loss 14.2465 | Test Acc 0.6612 | Time(s) 950.2970
Epoch 00005 | Loss 14.2552 | Test Acc 0.6284 | Time(s) 950.4750
Epoch 00006 | Loss 14.1044 | Test Acc 0.6339 | Time(s) 950.4866
Epoch 00007 | Loss 13.9552 | Test Acc 0.6448 | Time(s) 950.5420
Epoch 00008 | Loss 13.7479 | Test Acc 0.6612 | Time(s) 950.5469
Epoch 00009 | Loss 13.6528 | Test Acc 0.6448 | Time(s) 950.4684
Epoch 00000 | Loss 13.2901 | Test Acc 0.6393 | Time(s) 952.3956
Epoch 00001 | Loss 12.6585 | Test Acc 0.6230 | Time(s) 951.7170
Epoch 00002 | Loss 12.2435 | Test Acc 0.6393 | Time(s) 951.7365
Epoch 00003 | Loss 12.1201 | Test Acc 0.6667 | Time(s) 951.3174
Epoch 00004 | Loss 12.1203 | Test Acc 0.6066 | Time(s) 951.1971
Epoch 00005 | Loss 11.9899 | Test Acc 0.6393 | Time(s) 951.0464
Epoch 00006 | Loss 11.7937 | Test Acc 0.6448 | Time(s) 951.0487
Epoch 00007 | Loss 11.5672 | Test Acc 0.6667 | Time(s) 951.2058
Epoch 00008 | Loss 11.3603 | Test Acc 0.6175 | Time(s) 951.4158
Epoch 00009 | Loss 11.2479 | Test Acc 0.6011 | Time(s) 951.4532
