Epoch 00000 | Loss 0.0336 | Test Acc 0.5847 | Time(s) 361.2131 
Epoch 00001 | Loss 0.0238 | Test Acc 0.6120 | Time(s) 362.1169 
Epoch 00002 | Loss 0.0236 | Test Acc 0.6011 | Time(s) 363.3790 
Epoch 00003 | Loss 0.0236 | Test Acc 0.5792 | Time(s) 367.5116 
Epoch 00004 | Loss 0.0238 | Test Acc 0.5956 | Time(s) 369.3171 
Epoch 00005 | Loss 0.0239 | Test Acc 0.5792 | Time(s) 368.2769 
Epoch 00006 | Loss 0.0240 | Test Acc 0.5792 | Time(s) 370.5119 
Epoch 00007 | Loss 0.0237 | Test Acc 0.5464 | Time(s) 369.4749 
Epoch 00008 | Loss 0.0237 | Test Acc 0.5628 | Time(s) 373.9368 
Epoch 00009 | Loss 0.0243 | Test Acc 0.5792 | Time(s) 372.6008 
Epoch 00010 | Loss 0.0240 | Test Acc 0.5792 | Time(s) 371.8390 
Epoch 00011 | Loss 0.0242 | Test Acc 0.5738 | Time(s) 371.0021 
Epoch 00012 | Loss 0.0238 | Test Acc 0.6011 | Time(s) 369.9237 
Epoch 00013 | Loss 0.0240 | Test Acc 0.5902 | Time(s) 365.6077 
Epoch 00014 | Loss 0.0244 | Test Acc 0.5902 | Time(s) 361.7186 
