Epoch 00000 | Loss 11.2161 | Test Acc 0.6284 | Time(s) 294.4377 
Epoch 00001 | Loss 11.2510 | Test Acc 0.6284 | Time(s) 312.5780 
Epoch 00002 | Loss 11.2191 | Test Acc 0.6393 | Time(s) 333.0788 
Epoch 00003 | Loss 10.8581 | Test Acc 0.6393 | Time(s) 339.7631 
Epoch 00004 | Loss 11.3820 | Test Acc 0.6175 | Time(s) 343.2169 
Epoch 00005 | Loss 11.5957 | Test Acc 0.6066 | Time(s) 349.2035 
Epoch 00006 | Loss 10.8883 | Test Acc 0.6339 | Time(s) 352.7383 
Epoch 00007 | Loss 10.4377 | Test Acc 0.6339 | Time(s) 355.2195 
Epoch 00008 | Loss 10.7364 | Test Acc 0.6339 | Time(s) 358.9799 
Epoch 00009 | Loss 10.5693 | Test Acc 0.6339 | Time(s) 361.4639 
Epoch 00010 | Loss 10.4115 | Test Acc 0.6339 | Time(s) 364.8491 
Epoch 00011 | Loss 10.8941 | Test Acc 0.6503 | Time(s) 366.8685 
Epoch 00012 | Loss 11.0736 | Test Acc 0.6557 | Time(s) 368.5503 
Epoch 00013 | Loss 10.8607 | Test Acc 0.6721 | Time(s) 368.9307 
Epoch 00014 | Loss 10.2558 | Test Acc 0.6776 | Time(s) 368.4863 
