Epoch 00000 | Loss 0.4261 | Test Acc 0.5902 | Time(s) 398.0868 
Epoch 00001 | Loss 0.4070 | Test Acc 0.5902 | Time(s) 399.9090 
Epoch 00002 | Loss 0.3897 | Test Acc 0.5738 | Time(s) 399.4621 
Epoch 00003 | Loss 0.3786 | Test Acc 0.5902 | Time(s) 400.1457 
Epoch 00004 | Loss 0.3761 | Test Acc 0.5956 | Time(s) 400.1502 
Epoch 00005 | Loss 0.3749 | Test Acc 0.5902 | Time(s) 400.7068 
Epoch 00006 | Loss 0.3760 | Test Acc 0.5792 | Time(s) 398.2832 
Epoch 00007 | Loss 0.3741 | Test Acc 0.5738 | Time(s) 390.0779 
Epoch 00008 | Loss 0.3718 | Test Acc 0.5738 | Time(s) 382.9091 
Epoch 00009 | Loss 0.3721 | Test Acc 0.5628 | Time(s) 377.0951 
Epoch 00010 | Loss 0.3711 | Test Acc 0.5683 | Time(s) 372.4138 
Epoch 00011 | Loss 0.3707 | Test Acc 0.5683 | Time(s) 368.2840 
Epoch 00012 | Loss 0.3707 | Test Acc 0.5683 | Time(s) 364.6280 
Epoch 00013 | Loss 0.3706 | Test Acc 0.5738 | Time(s) 361.5001 
Epoch 00014 | Loss 0.3702 | Test Acc 0.5738 | Time(s) 358.9566 
