Epoch: 00000 | Loss: 0.0381 | Test Acc: 0.5683 | Time(s): 964.8633
Epoch: 00001 | Loss: 0.0367 | Test Acc: 0.5847 | Time(s): 964.9550
Epoch: 00002 | Loss: 0.0355 | Test Acc: 0.5902 | Time(s): 965.2793
Epoch: 00003 | Loss: 0.0333 | Test Acc: 0.5792 | Time(s): 963.2450
Epoch: 00004 | Loss: 0.0277 | Test Acc: 0.5628 | Time(s): 962.1350
Epoch: 00005 | Loss: 0.0244 | Test Acc: 0.5683 | Time(s): 960.5027
Epoch: 00006 | Loss: 0.0239 | Test Acc: 0.5738 | Time(s): 958.9789
Epoch: 00007 | Loss: 0.0227 | Test Acc: 0.5683 | Time(s): 957.8521
Epoch: 00008 | Loss: 0.0222 | Test Acc: 0.5628 | Time(s): 956.8809
Epoch: 00009 | Loss: 0.0219 | Test Acc: 0.5574 | Time(s): 956.0548
Epoch: 00010 | Loss: 0.0221 | Test Acc: 0.5792 | Time(s): 955.2212
Epoch: 00011 | Loss: 0.0219 | Test Acc: 0.5683 | Time(s): 954.7544
Epoch: 00012 | Loss: 0.0218 | Test Acc: 0.5683 | Time(s): 954.1867
Epoch: 00013 | Loss: 0.0217 | Test Acc: 0.5683 | Time(s): 953.6270
Epoch: 00014 | Loss: 0.0216 | Test Acc: 0.5683 | Time(s): 953.2378
