Epoch 00000 | Loss 19.3285 | Test Acc 0.6011 | Time(s) 304.9456 
Epoch 00001 | Loss 17.5544 | Test Acc 0.5683 | Time(s) 303.8771 
Epoch 00002 | Loss 17.0876 | Test Acc 0.6011 | Time(s) 315.1890 
Epoch 00003 | Loss 17.0494 | Test Acc 0.5902 | Time(s) 327.0753 
Epoch 00004 | Loss 17.0761 | Test Acc 0.6011 | Time(s) 335.6517 
Epoch 00005 | Loss 17.0921 | Test Acc 0.6011 | Time(s) 342.6355 
Epoch 00006 | Loss 17.1068 | Test Acc 0.6011 | Time(s) 346.7689 
Epoch 00007 | Loss 17.1147 | Test Acc 0.5956 | Time(s) 350.8855 
Epoch 00008 | Loss 17.1212 | Test Acc 0.5847 | Time(s) 353.8947 
Epoch 00009 | Loss 17.1336 | Test Acc 0.5738 | Time(s) 357.2242 
Epoch 00010 | Loss 17.1035 | Test Acc 0.5792 | Time(s) 358.4566 
Epoch 00011 | Loss 17.0708 | Test Acc 0.5574 | Time(s) 360.5462 
Epoch 00012 | Loss 17.0261 | Test Acc 0.5628 | Time(s) 362.1474 
Epoch 00013 | Loss 17.0091 | Test Acc 0.5847 | Time(s) 362.4367 
Epoch 00014 | Loss 17.0086 | Test Acc 0.5847 | Time(s) 362.3970 
