Epoch 00000 | Loss 11.3902 | Test Acc 0.6339 | Time(s) 339.4461 
Epoch 00001 | Loss 11.0393 | Test Acc 0.6230 | Time(s) 323.3636 
Epoch 00002 | Loss 10.8434 | Test Acc 0.6339 | Time(s) 317.3479 
Epoch 00003 | Loss 10.9012 | Test Acc 0.6284 | Time(s) 316.3959 
Epoch 00004 | Loss 10.8088 | Test Acc 0.6393 | Time(s) 321.1764 
Epoch 00005 | Loss 11.0246 | Test Acc 0.6230 | Time(s) 324.8850 
Epoch 00006 | Loss 11.1743 | Test Acc 0.6612 | Time(s) 324.1688 
Epoch 00007 | Loss 10.5483 | Test Acc 0.6393 | Time(s) 320.9792 
Epoch 00008 | Loss 10.7925 | Test Acc 0.6066 | Time(s) 318.3412 
Epoch 00009 | Loss 10.7585 | Test Acc 0.6230 | Time(s) 316.0965 
Epoch 00010 | Loss 11.1078 | Test Acc 0.6448 | Time(s) 314.1608 
Epoch 00011 | Loss 9.8886 | Test Acc 0.6284 | Time(s) 312.5611 
Epoch 00012 | Loss 10.4762 | Test Acc 0.6557 | Time(s) 311.2339 
Epoch 00013 | Loss 10.9931 | Test Acc 0.6831 | Time(s) 310.1367 
Epoch 00014 | Loss 9.7622 | Test Acc 0.6339 | Time(s) 309.1517 
