Epoch 00000 | Loss 11.3366 | Test Acc 0.6284 | Time(s) 319.6575 
Epoch 00001 | Loss 11.1014 | Test Acc 0.6284 | Time(s) 341.7617 
Epoch 00002 | Loss 10.9742 | Test Acc 0.6393 | Time(s) 347.6327 
Epoch 00003 | Loss 10.8381 | Test Acc 0.6284 | Time(s) 349.8480 
Epoch 00004 | Loss 10.4149 | Test Acc 0.6066 | Time(s) 350.1254 
Epoch 00005 | Loss 10.2975 | Test Acc 0.6230 | Time(s) 351.8946 
Epoch 00006 | Loss 10.2246 | Test Acc 0.6066 | Time(s) 354.4840 
Epoch 00007 | Loss 10.1856 | Test Acc 0.6175 | Time(s) 355.9556 
Epoch 00008 | Loss 10.0263 | Test Acc 0.6120 | Time(s) 356.0562 
Epoch 00009 | Loss 11.2957 | Test Acc 0.6557 | Time(s) 355.1991 
Epoch 00010 | Loss 10.2017 | Test Acc 0.6175 | Time(s) 352.7960 
Epoch 00011 | Loss 10.4338 | Test Acc 0.6612 | Time(s) 350.0213 
Epoch 00012 | Loss 10.5117 | Test Acc 0.6557 | Time(s) 347.8877 
Epoch 00013 | Loss 10.7194 | Test Acc 0.6448 | Time(s) 346.6782 
Epoch 00014 | Loss 10.7427 | Test Acc 0.6503 | Time(s) 346.3193 
