<page title>|aspect ratio|brightness|builtin speakers|component|contrast ratio|display colors|displayport|dvi|dvid duallink|hdmi|ips|led|manufacturer|minidisplay port|model|part|recommended resolution|refresh rate|response time|screen size|svideo|vga|viewing angle|widescreen
"Planar 997-7273-00 60Hz 32.0"" Monitor (997-7273-00) - PCPartPicker Canada"|16:9||No||3000:1|16700000||1||1|No|No|Planar|||997-7273-00|1920 x 1080|60Hz||"32"""|||178° H x 178° V|Yes
"Lenovo LT1952p 19.0"" Monitor (2448MB6) - PCPartPicker Canada"|16:10|250 cd/m²|No||1000:1|16700000|1|1|||No|Yes|Lenovo||LT1952p|2448MB6|1440 x 900||5 ms|"19"""||1|170° H x 160° V|Yes
"ViewSonic TD2240 22.0"" Monitor (TD2240) - PCPartPicker Canada"|16:9|200 cd/m²|Yes||3000:1|16700000||||1|No|Yes|ViewSonic|||TD2240|1920 x 1080||25 ms|"22"""||1|178° H x 178° V|Yes
"ViewSonic VX2270Smh-LED 22.0"" Monitor (VX2270Smh-LED) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 30,000,000:1|||1||1|No|Yes|ViewSonic|||VX2270Smh-LED|1920 x 1080||7 ms|"22"""||1|178° H x 178° V|Yes
"Lenovo LT2252p 60Hz 22.0"" Monitor (2572MB6) - PCPartPicker Canada"|16:10|250 cd/m²|No||1000:1||1|1|||No|Yes|Lenovo||LT2252p|2572MB6|1680 x 1050|60Hz|5 ms|"22"""||1|170° H x 160° V|Yes
"Lenovo LT2252p 75Hz 22.0"" Monitor (2572MB1) - PCPartPicker Canada"|16:10|250 cd/m²|No||1000:1|16700000|1|1|||No|Yes|Lenovo||LT2252p|2572MB1|1680 x 1050|75Hz|5 ms|"22"""||1||Yes
"Eizo S2202WH-BK 22.0"" Monitor (S2202WH-BK) - PCPartPicker Canada"|16:10|300 cd/m²|Yes||1000:1|16700000||1|||No|No|Eizo|||S2202WH-BK|1680 x 1050||5 ms|"22"""||1|178° H x 178° V|Yes
"Asus VX238H-W 23.0"" Monitor (VX238H-W) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||80,000,000:1|16700000||1||2|No|Yes|Asus|||VX238H-W|1920 x 1080||1 ms|"23"""||1|170° H x 160° V|Yes
"BenQ BL2710PT 60Hz 27.0"" Monitor (BL2710PT) - PCPartPicker Canada"|16:9|350 cd/m²|Yes||1000:1|1070000000|1|1||1|No|No|BenQ|||BL2710PT|2560 x 1440|60Hz|12 ms|"27"""||1|178° H x 178° V|Yes
"LG 22MP55HQ-P 60Hz 22.0"" Monitor (22MP55HQ-P) - PCPartPicker Canada"|16:9|250 cd/m²|No||DFC 5,000,000:1 (1000:1)|||||1|Yes|Yes|LG|||22MP55HQ-P|1920 x 1080|60Hz|5 ms|"22"""||1|178° H x 178° V|Yes
"LG 32WL30MS-B 60Hz 32.0"" Monitor (32WL30MS-B) - PCPartPicker Canada"|16:9|400 cd/m²|No|1|1300:1|16700000||1||1|Yes|Yes|LG|||32WL30MS-B|1920 x 1080|60Hz|25 ms|"32"""||1|178° H x 178° V|Yes
"Dell UP3214Q 60Hz 31.5"" Monitor (UP3214Q) - PCPartPicker Canada"|16:9|300 cd/m²|No||2,000,000:1|1070000000|1|||1|Yes|Yes|Dell|||UP3214Q|3840 x 2160|60Hz|8 ms|"31.5"""|||178° H x 178° V|Yes
"Acer H236HLbid 60Hz 23.0"" Monitor (UM.VH6AA.003) - PCPartPicker Canada"|16:9|250 cd/m²|No||ACM 100,000,000:1 (1000:1)|16700000||1||1|Yes|Yes|Acer||H236HLbid|"UM.VH6AA.003
(or) H236HLbid"|1920 x 1080|60Hz|5 ms|"23"""||1|178° H x 178° V|Yes
"Samsung LS24A650SS/ZA 60Hz 24.0"" Monitor (LS24A650SS/ZA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||3000:1|16700000|||||No|Yes|Samsung|||LS24A650SS/ZA|1920 x 1080|60Hz|8 ms|"24"""||1||Yes
"ViewSonic VA2342-LED 23.0"" Monitor (VA2342-LED) - PCPartPicker Canada"|16:9|250 cd/m²|No||10,000,000:1|||1|||No|Yes|ViewSonic|||VA2342-LED|1920 x 1080||5 ms|"23"""||1|170° H x 160° V|Yes
"LG IPS235P-BN 60Hz 23.0"" Monitor (IPS235P-BN) - PCPartPicker Canada"|16:9|250 cd/m²|No||5,000,000:1|16700000||1||1|Yes|Yes|LG|||IPS235P-BN|1920 x 1080|60Hz|5 ms|"23"""||1|178° H x 178° V|Yes
"LG E2210P-BN 22.0"" Monitor (E2210P-BN) - PCPartPicker Canada"|16:10|250 cd/m²|No||DFC 5000000:1 (1000:1)|16700000||1|||No|Yes|LG|||E2210P-BN|1680 x 1050||5 ms|"22"""||1|170° H x 160° V|Yes
"Samsung S22A460B-1 21.5"" Monitor (S22A460B-1) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|||1|||No|Yes|Samsung|||S22A460B-1|1920 x 1080||5 ms|"21.5"""||1|170° H x 160° V|Yes
"Samsung S27A850D 27.0"" Monitor (S27A850D) - PCPartPicker Canada"|16:9|300 cd/m²|No||1000:1|16700000|1|2|||No|Yes|Samsung|||S27A850D|2560 x 1440||5 ms|"27"""|||178° H x 178° V|Yes
"Dell U2412M 60Hz 24.0"" Monitor (M2GCR) - PCPartPicker Canada"|16:10|300 cd/m²|No||1000:1 / 2000000:1 (dynamic)|16700000|1||1||Yes|Yes|Dell||U2412M|"M2GCR
(or) U2412M
(or) 469-1137"|1920 x 1200|60Hz|8 ms|"24"""||1|178° H x 178° V|Yes
"Planar PXL2451MW 60Hz 23.6"" Monitor (997-6575-00) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000||1||1|No|Yes|Planar||PXL2451MW|997-6575-00|1920 x 1080|60Hz|5 ms|"23.6"""||1|170° H x 160° V|Yes
"Acer S241HL bmid 60Hz 24.0"" Monitor (UM.FS1AA.001) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||ACM 100,000,000:1 (1,000:1)|16700000||1||1|No|Yes|Acer||S241HL bmid|UM.FS1AA.001|1920 x 1080|60Hz|5 ms|"24"""||1|170° H x 160° V|Yes
"Acer G195WAb 19.0"" Monitor (ET.CG5WP.A01) - PCPartPicker Canada"|16:10|250 cd/m²|No||ACM 50,000:1 (1,000:1)|16700000|||||No|No|Acer||G195WAb|ET.CG5WP.A01|1440 x 900||5 ms|"19"""||1|160° H x 160° V|Yes
"Planar PL1700M 17.0"" Monitor (PL1700M-WH) - PCPartPicker Canada"|5:4|300 cd/m²|Yes||700:1|16700000|||||No|No|Planar||PL1700M|PL1700M-WH|1280 x 1024||8 ms|"17"""||1|150° H x 135° V|No
"Lenovo L2250P 22.0"" Monitor (2572HB6) - PCPartPicker Canada"|16:10|250 cd/m²|No||1000:1|16700000||1|||No|No|Lenovo||L2250P|2572HB6|1680 x 1050||5 ms|"22"""||1|176° H x 170° V|Yes
"Acer V246HL Bmid  60Hz 24.0"" Monitor (UM.FV6AA.005) - PCPartPicker Canada"|16:9|250 cd/m²|No||100,000,000:1|16700000||1||1|No|Yes|Acer||V246HL Bmid|UM.FV6AA.005|1920 x 1080|60Hz|5 ms|"24"""||1|170° H x 160° V|Yes
"HP D2W67AA#ABA 19.0"" Monitor (D2W67AA#ABA) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1||||||No|Yes|HP|||D2W67AA#ABA|1280 x 1024||5 ms|"19"""||1||No
"ViewSonic VG2732m-LED 27.0"" Monitor (VG2732M-LED) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||DC 20,000,000:1 (1,200:1)||1|1|||No|Yes|ViewSonic||VG2732m-LED|VG2732M-LED|1920 x 1080||3 ms|"27"""||1|170° H x 160° V|Yes
"Dell E2314H 60Hz 23.0"" Monitor (E2314H) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000||1|||No|Yes|Dell|||E2314H|1920 x 1080|60Hz|5 ms|"23"""||1|170° H x 160° V|Yes
"BenQ RL2460HT 60Hz 24.0"" Monitor (RL2460HT) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 12,000,000:1 (1000:1)|16700000|1|1||2|No|Yes|BenQ|||RL2460HT|1920 x 1080|60Hz|1 ms|"24"""||1|170° H x 160° V|Yes
"Toshiba PA5022U-1LC3 15.6"" Monitor (PA5022U-1LC3) - PCPartPicker Canada"|16:9|220 cd/m²|No||300:1||||||No|Yes|Toshiba|||PA5022U-1LC3|1366 x 768||16 ms|"15.6"""||||Yes
"AOC e2060Sn 60Hz 20.0"" Monitor (e2060Sn) - PCPartPicker Canada"|16:9|200 cd/m²|No||20,000,000:1|16700000|||||No|Yes|AOC|||e2060Sn|1600 x 900|60Hz|5 ms|"20"""||1|90° H x 50° V|Yes
