<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altoparlante  cuffia  spinotto di uscita|altoparlanti|altoparlanti incorporati|angolo di inclinazione|angolo di rotazione|angolo di visione orizzontale|angolo di visione verticale|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|area di visualizzazione effettiva|blocco cavo|bluetooth|caratteristiche|caratteristiche sicurezza|cavi inclusi|cavo alimentazione incluso|certificato energy star|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del prodotto|colore piedi|colori del display|colori display|comandi  regolazioni|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|composite sync|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connettori di ingresso|consumi|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico annuo|consumo energetico in standby|consumo energetico max|controllo del volume|copertura schermo|dcin jack|descrizione prodotto|dettagli dimensioni e peso|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni lxpxh|dimensioni schermo|display surface|dot pitch|dot rate video|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|interfacce|interfaccia comune|interfaccia di montaggio schermo piatto|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità|luminosità schermo|lunghezza cavo|lunghezza diagonale|manuale dellutente|megapixel|microfono incorporato|microfono spinotto dingresso|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mtbf|number of simultaneous touchpoints windows 7|numero di altoparlanti|numero di lingue osd|numero di prodotti inclusi|on screen display osd|peso|peso incluso imballo|peso prodotto con supporto|pictureinpicture|pivot angle|pixel pitch|plug  play|porta dvi|porta rs232|porta usb|posizionamento supportato|potenza assorbita in esercizio|potenza di uscita  canale|potenza in uscita rms|profondità|profondità con supporto|profondità imballo|protezione per i bambini|quantità|quantità displayports|quantità porte dvid|quantità porte hdmi|quantità porte thunderbolt|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|range di scansione orizzontale|range di umidità di funzionamento|rapporto daspetto|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regolazione posizione display|regolazioni formato schermo|retroilluminazione a led|risoluzione|risoluzione massima|risoluzione nativa|risoluzioni grafiche supportate|rotazione|schermo srgb|sicurezza|sintonizzatore tv integrato|sistema operativo linux supportato|sistema operativo windows supportato|source datasheet|standard ambientali|standard di conformità|subwoofer incorporato|supporto colore|sync hv separato|syncongreen sog|tecnologia display|tecnologia retroilluminazione|tecnologia touchscreen|telecomando|tempo di risposta|tensione richiesta|thin client installato|tipi schede di memoria|tipo|tipo alimentazione|tipo di display|tipo di dispositivo|tipo di prodotto|tipo di schermo|tipo schermo|tipologia di retroilluminazione|tipologia display|tipologia hd|tipologia touch screen|umidità|uscita audio|velocità refresh orizzontale|velocità refresh verticale|voltaggio di ingresso|webcam girevole
AOC 23.6 i2472Pwhut/BK|Si|||379.37 mm|466 mm||1||Si|||||178 °|178 °||Kensington||||AC, Audio (3.5mm), HDMI, USB, VGA|||CE, EuP, GOST, ISO 9241-307, NRTL, RoHS, TÜV-Bauart|Si|Non specificato|||Nero, Argento||16.77 M||||75 x 75 mm|N||||||3.5 mm|||50 W||0.5 W|5 W|||||||||599 mm|521.28 mm|293.22 mm|||||"['59.9 cm', '599.4 mm (23.6 "")']"||0.2715 x 0.2715 mm|170 MHz|16:9|Si|50/60 Hz|30 - 83 kHz|50 - 76 Hz|||N|||Si||15 - 57 °|Si||||||||Si||||606.73 mm|679 mm|||N|||250 cd/m²|||||||Si|1080p|Si|||2||||6.4 kg|7.9 kg|||||Si|N||||||4 W|49.4 mm|146 mm||||||2||2|3|1||||1000:1|50000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|N|||N|||.|||N||||IPS||||5 ms||N|||||||||W-LED|LED|Full HD|||Si|||110 - 240 V|
LG LED 24 24EB23PM-W IPS MONITOR LED|Si||||395 mm||||Si||0 - 356 °||||||Kensington|N|||AC, Audio (3.5mm), VGA|||RoHS||Non specificato|N||Bianco||16.77 M||||100 x 100 mm|N|||Si||Oro||N||25 W||0.3 W|0.3 W||||||||||516.94 mm|323.09 mm|||||"['60.96 cm', '609.6 mm (24 "")']"||0.269 x 0.269 mm|135 MHz|16:10|N||30 - 83 kHz|56 - 75 Hz|||Si|||Si||-5 - 23 °|Si||||Si||||Si|||||558.4 mm|||N|CHI (TR), DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, SWE, UKR||300 cd/m²|1.8 m||Si||N|||1080p|Si|||2|15||Si|||5.4 kg||0 - 90 °||Si|Si|||Orizzontale/Verticale|||2 W||239 mm|||||1|||||1||||1000:1|5000000:1|120 mm||||1920 x 1200 Pixels|||1920 x 1080 (HD 1080), 1920 x 1200 (WUXGA)|Si|Si||N|||.|||N||Si|Si|IPS||||5 ms||N|N|||||PC monitor||||LED|Full HD|||||||
LG 29 29UM65-W IPS MONITOR LED||||32,82 cm|41,82 cm||1||Si|||||178°|178°|||||||||TCO6.0, UL(cUL), FCC-B, CE, CB, CCC, BSMI, KC, EPA, ROHS, REACH||Non specificato|||Bianco|Bianco|16,77M||||100 x 100 mm|No||Si|||||||30W||0,5W|0,5W||||||Si||||||||||"73,66 cm (29"")"||0,0876 x 0,2628 mm||21:9|No|||||||||Si||5 - 20°|Si||||Si|||||56 - 75 Hz|||70,25 cm|70,25 cm||||||300 cd/m²|||Si||||||Si||||||Si|5,2 kg||6,2 kg||||Si|Si||||||14W|6,38 cm|18,1 cm|||||1|1|||||30 - 83 kHz|||1000:1|5000000:1|||||2560 x 1080 Pixels|||2560 x 1080, 1920 x 1080 (HD 1080)||Si||No||Si||||||||IPS||||14 ms||No||||||||||LED|Full HD||||||100 - 240V|
AOC 23.6 A2472Pw4t/BK||||37,937 cm|||||Si||||||||Si|Si|||AC, HDMI, USB||||Si||Si||Nero||||||||||||||Si|||||||||||Si||||||||||"59,94 cm (23.6"")"||||16:9|Si||||Si|||||||15 - 57°|||||||||||||60,673 cm||||Si|||250 cd/m²|||||Si|Si||||||||||6 kg|8,5 kg||||||No||||||4W|4,94 cm|||||||1||2||1|||||||||Si|1920 x 1080 Pixels||||||||||||||||||||||||SDHC|||||||||||||||||
AOC MONITOR LED 19 AOC e960Prdas||||432.2 mm|||||Si|||||170 °|160 °|||||||||TCO 5.0, CE, FCC, GOST, TCO´03, TÜV-Bauart, TÜV-GS, Win7, ISO 9241-307, EuP, cTUVus|Si|Non specificato|||Nero||16.77 M||||Si|N|||||Argento||||23 W|||0.5 W||||||||||||||||"['482.6 mm (19 "")', '48.1 cm']"||0.294 x 0.294 mm||5:4|N|50/60 Hz|||||Si|||N|||||||||||||||409.2 mm|||||||250 cd/m²|||||||||Si||||||Si|4.77 kg||||||||||||||210 mm||||||1|||||1||||1000:1|60000:1|Si||||1280 x 1024 Pixels|||1280 x 1024 (SXGA)|Si|||N|||.|||||||||||5 ms||N||||||||||LED|N||||||90 - 240 V|
Samsung LED 22 Samsung S22C450MW MONITOR LED||||329.8 mm|453.5 mm|188 mm|||Si||-45 - 45 °|||170 °|160 °|473.7 x 296.1 mm|||||Audio (3.5mm), DVI, VGA|||TCO, UL, CSA, TUV, GB, IEC|Si||||Nero||16.77 M||||100 x 100 mm|N|FCC, ACE, KCC, CCC, GB||||Oro||||24 W|||0.1 W||||||||||||||||"558.8 mm (22 "")"||0.282 x 0.282 mm||16:10|N|50/60 Hz|||||Si|Si||N||-3 - 25 °|Si|Si||Si||||||||10 - 40 °C|502.4 mm|502.4 mm|578 mm|Si||||250 cd/m²|||Si||||||Si|||2||||3.5 kg|6.4 kg|5 kg||-1 - 95 °|||||||||2 W|55.5 mm|210 mm|416 mm||||1|||||1||10 - 80 %||1000:1|Contrasto Mega|100 mm||||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)|Si|||N|||.|||||||TN+Film||||5 ms||N||||||||||LED|N|||Si|||100 - 240 V|
Asus LED 21.5 VE228TL MONITOR LED|Si|||31,08 cm|48,436 cm|37,2 cm|1||Si|||||170°|160°||Kensington||||AC, Audio (3.5mm), DVI, VGA||||Si|Non specificato|||Nero||||||100 x 100 mm|No||||||3.5 mm|||33W||0,5W|0,5W||||||||||||||||"['54,6 cm', '54,61 cm (21.5"")']"||0,248 x 0,248 mm||16:9|No|50/60 Hz|31 - 83 kHz|56 - 76 Hz|||Si|Si||Si||-5 - 22°|Si|Si|||||||||||51,284 cm|51,284 cm|66,7 cm|Si||||250 cd/m²|||||||||Si|||2||||5,94 kg|6,94 kg||||||Si||||||2W|5,69 cm|22,5 cm|20,7 cm||||1|||||1|||||80000000:1|Si||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||No||||||||||||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
AOC MONITOR LED 21.5 AOC e2250Swdak||||379.95 mm|||||Si|||||170 °|160 °||Kensington||||AC, VGA|||CB, CE, FCC, GOST, ISO 9241-307, RoHS, TÜV-GS, Ukraine Safety, Win7|Si||||Nero||16.77 M||||75 x 75 mm|N|||||||||21 W|||0.5 W||||||||||476.64 mm|268.11 mm|||||"['54.6 cm', '546.1 mm (21.5 "")']"||||16:9|N|50/60 Hz||||||||N||-4 - 17 °||||||||||50 - 76 Hz|||511.18 mm|||||||250 cd/m²|||||||||Si||||16||Si|3.28 kg|||||||N|||||||190 mm||||||1|||||1|30 - 83 kHz|||1000:1|20000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|N|||N|||.|||||||||||5 ms||N||||||||||LED|Full HD||||||100 - 240 V|
Acer LED 24 B246HLymdprz Wide16:9 5ms VGA DVI DP Sp USB MONIT...||||38,55 cm||42,5 cm|||Si||-60 - 60°|||170°|160°||||||AC, Audio (3.5mm), DisplayPort, DVI, VGA|||TCO '06 CE GS ISO 9241-307|Si||||Grigio||16,77M||||100 x 100 mm|No|||||Oro||||20,9W|||0,45W||||||||||53,1 cm|29,9 cm|||||"['60,96 cm (24"")', '61 cm']"|Matt|0,276 x 0,276 mm||16:9|No|50/60 Hz|||||Si|Si||Si||-5 - 35°|Si|||||||||55 - 75 Hz|||56,7 cm||62,5 cm|||||250 cd/m²|||||||||Si|||2||||3,44 kg|8 kg|6,1 kg||0 - 90°|||Si||||||4W|22,12 cm||17,6 cm|||1||||||1|30 - 80 kHz|||250:1|100000000:1|15 cm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||No||||||||||TN+Film||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
Samsung 27 S27C450B MONITOR LED||||37,81 cm|52,78 cm|46,1 cm|||||-45 - 45°|||170°|160°||||||AC|||TCO|Si|Non specificato|||Nero|Nero|16,77M||||100 x 100 mm|No|||||Oro||||30W|||0,1W||||||||||||||||"['68,6 cm', '68,58 cm (27"")']"||0,31125 x 0,31125 mm||16:9|No|50/60 Hz|||||Si|Si|Si|||-3 - 25°|Si||||||||||||63,9 cm|63,9 cm|72,2 cm|||||300 cd/m²|||Si||||||Si|||||||4,55 kg|8 kg|6,2 kg||-1 - 95°|||Si|||||||5,67 cm|22,4 cm|18,7 cm|||||||||1||||1000:1|Contrasto Mega|13 cm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si||UL 60950-1CSA, EN60950-1NEMKO, EN60950-1 KC, IEC60950-1, EN55022PCBC, IEC60590-1, EN55022NOM, NOM-019-SCFI-1993IRAM|||||||||||||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
