3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|environmentconscious and reliable|features|flexible viewing and connectivity options|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|impressive screen clarity|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|superb performance|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|versatile connections|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|ET.WS0HE.B01, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|200 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||||||Yes|||||||MPR II|Yes|Yes||||||90°||['110 V AC', '220 V AC']|3 Year|Acer, Inc|ET.WS0HE.B01|No|1920 x 1080|||1||530 mW|22 W|S220HQLBbd Widescreen LCD MonitorPower CordVGA Cable||Twisted Nematic Film (TN Film)||||S220HQLBbd|S220HQLBbd Widescreen LCD Monitor|S|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|||||60 Hz|600 mW|||No|||-5°to15°||||50°|No||Yes|||||
|LS19C45KBR/EN, Samsung, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|5:4|LED|Samsung|250 cd/m²||UL: UL 60950-1CSA: CSA C22.2 No. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM:IEC60950-1SASO: IEC60950-1EMC:FCC Part 15, Subpart B ClassACE EN55022, EN55024VCCI V-3 (CISPR22)KCC :KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC:GB 9254-2008, GB 17625.1-2003|Matte Black|16.7 Million Colours|||1,000:1||55 mm|210 mm|||Yes||||['Off Timer', 'MagicBright3', 'MagicAngle', 'Eco Saving', 'MagicTune', 'MagicRotation']|||['ENERGY STAR', 'Eco-label', 'TCO', 'EPEAT Gold']|Yes||||336 mm|469 mm||170°||['220 V AC', '110 V AC']||Samsung|LS19C45KBR/EN||1280 x 1024|Wall Mountable||1|||19 W||||PC|||S19C450BR|S19C450BR LCD Monitor|450|LCD Monitor|Yes|Plastic|5 ms|SXGA|"48.3 cm (19"")"||||||100 mW||||||||||160°|Yes|100 x 100|Yes||2.95 kg|4.45 kg|407 mm|407 mm
|E4U30AT#ABU, 943ACNZ, HP, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|5:4|LED|HP|250 cd/m²|USB Hub|"CECP eco label (China Energy Conservation Program) SEPA eco label (China) TGM eco label(Taiwan Green Mark) EuP lot6 Tier2 China MEPS, Korea MEPS (E-standby) ISO 9241-307 CSA 60950-1 UL 60950-1 EN55022 Class B EN60950 -1 CNS 13438 Class B IEC 60950-1 ""GS"" Mark VCCI KC KCC (Korean) CE Marking FCC Part 15 class B CCC IT ECO (EDS) EN55024 Class B CISPR SmartWay Energy logistics"|Black||||3,000,000:1||47 mm|192 mm||Yes|Yes||||Security Lock|||['ENERGY STAR', 'TCO Certified Displays', 'IT Eco Declaration', 'EPEAT Gold', 'China Energy Label (CEL)', 'TÜV']|Yes||||347 mm|486 mm||178°||['110 V AC', '220 V AC']|3 Year|Hewlett-Packard|E4U30AT#ABU|120 mm|1280 x 1024|||1|||28 W|EliteDisplay E190i 18.89-inch 5:4 LED Backlit IPS Monitor VGA cable DVI cable DisplayPort cable USB cable AC Power cable Warranty card and CD Monitor driver (ICM/INF) Auto adjustment pattern utility software Adobe Acrobat Reader software HP Display Assistant software||In-plane Switching (IPS) Technology|||Elite|E190i|EliteDisplay E190i 18.89-inch 5:4 LED Backlit IPS Monitor||LCD Monitor|||8 ms|SXGA|"48 cm (18.9"")"|['Anti-static', 'Anti-glare']||||76 Hz|500 mW|||180°|||-5°to25°|Yes|USB 2.0||178°|||Yes||3 kg|4.90 kg|417 mm|417 mm
|D9E49AT#ABU, 2862109, HP, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|HP|250 cd/m²|['USB Hub', 'Microphone', 'Speaker', 'Webcam']|VCCI BSMI NOM TUV S CB CCC PSB FCC KCC KC|Black||||1,000:1||51 mm|237 mm||Yes|Yes||||Security Lock|||['EPEAT Gold', 'TCO Certified Edge', 'ENERGY STAR', 'CECP', 'China Energy Label (CEL)', 'REACH', 'WEEE']|Yes|Yes|||309 mm|460 mm||178°||['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|D9E49AT#ABU||1920 x 1080|||1|||42 W|EliteDisplay E221c 54,6 cm (21.5'') Webcam LED Backlit Monitor VGA Cable DisplayPort Cable USB Cable AC power Cable Printed Documentation and CD HP DisplayAssistant Software||In-plane Switching (IPS) Technology|PC||Business|E221c|EliteDisplay E221c 54,6 cm (21.5'') Webcam LED Backlit Monitor|Advantage|LCD Monitor|||7 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare|||Yes|60 Hz|400 mW|||||||Yes|USB 2.0||178°|||Yes|Yes||5.40 kg|509 mm|509 mm
|UM.WV6EE.B04, 8655C12, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|200 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||206.8 mm||||Yes|||||||['MPR II', 'ENERGY STAR']|Yes|Yes|||390.4 mm|||90°||['110 V AC', '220 V AC']|3 Year|Acer, Inc|UM.WV6EE.B04|No|1920 x 1080|||1||350 mW|18.10 W|V226HQL Widescreen LCD Monitor1 x VGA CablePower Cord||Twisted Nematic Film (TN Film)||||V226HQL|V226HQL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare||||60 Hz|450 mW|||No|||-5°to25°||||65°|Yes|100 x 100|Yes||3.24 kg|3.66 kg|508 mm|
|LS22C20KBS/EN, Samsung, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Samsung|250 cd/m²|||Matte Black|16.7 Million Colours|||1,000:1||77.6 mm|185 mm||No|Yes||||['Eco Saving', 'MagicAngle', 'MagicTune', 'MagicBright 3', 'Off Timer']|||['TCO', 'ENERGY STAR', 'EPEAT Gold']|Yes||No||301.9 mm|385.35 mm||170°||['220 V AC', '110 V AC']||Samsung|LS22C20KBS/EN||1920 x 1080|Wall Mountable||1|||24 W||||PC|||S22C200B|S22C200B Widescreen LCD Monitor|200|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||No||100 mW||||||||||160°|Yes|100 x 100|Yes||3.05 kg|3.40 kg|504.3 mm|504.30 mm
|K9303000A, 2176456, Barco, LCD Monitor, IML Direct Italy|||||16:9||Barco|500 cd/m²||UL 60601-1CAN/CSA-C22.2 No 601.1-M90: 2005EN 60601-1IEC 60601-1CEEN 60601-1-2FCC-BVCCIKCCIPX1|White|1 Billion Colors|Yes|Yes|1,300:1||111 mm||||Yes|||||||RoHS|Yes||||617 mm|||178°||['220 V AC', '110 V AC']|3 Year|Barco|K9303000A||1920 x 1080|||1|||260 W|MD-4221 Medical Widescreen LCD MonitorUser ManualDVI-D CableVGA CableRemote Control||||||MD-4221|MD-4221 Medical Widescreen LCD Monitor||LCD Monitor|||10 ms|Full HD|"106.7 cm (42"")"|||||85 Hz|17 W||Yes||||||||178°|Yes|600 x 200|Yes||30.40 kg||1024 mm|
|60003334, 3967978, NEC Display Solutions, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|NEC Display|250 cd/m²||CETÜV ErgonomicsTÜV GSGEEA/Energy LabelFCC Class BPCT/GostUL/C-ULCSAISO 9241-307|Black|16.7 Million Colours|||25,000:1||218 mm||Landscape/Portrait|Yes|Yes||||['Eco Mode', 'Auto Brightness Control (ABC)', 'Touch Controls', 'Carbon Footprint Meter', 'Off Timer', 'Cable Management', 'Security Lock']|||['EPEAT Silver', 'RoHS', 'ENERGY STAR 5.0', 'TCO Certified Displays 6.0', 'TCO Certified Displays 5.2', 'ErP', 'MPR III', 'MPR II']|Yes|Yes|||384 mm|||178°||['110 V AC', '220 V AC']|3 Year|NEC Display Solutions|60003334||1680 x 1050|||1|||25 W|E223W Widescreen LCD MonitorPower CableCD-ROMSales Office ListUser ManualVGA CableDVI Cable|||PC||MultiSync|E223W|E223W Widescreen LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"|||||60 Hz|400 mW||||||||||178°|Yes|100 x 100|Yes||5.60 kg||503.5 mm|
|UM.HX2EE.001, 8655P45, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|300 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||50 mm|192 mm||Yes|Yes|64 kWh|C|||||MPR II|Yes||Yes||267 mm|352 mm||178°||['110 V AC', '220 V AC']|2 Year|Acer, Inc|UM.HX2EE.001|No|2560 x 1440|||1||400 mW|33.60 W|K272HUL Widescreen LCD Monitor1 x DVI Cable1 x DisplayPort CablePower Cord||Advanced Hyper Viewing Angle (AHVA)||||K272HUL|K272HUL Widescreen LCD Monitor|K|LCD Monitor|||6 ms|WQHD|"68.6 cm (27"")"|Anti-glare|||Yes|60 Hz|450 mW|||No|||5°to25°||||178°|||||||441 mm|441 mm
|C9V75AA#AB5, HP, LCD Monitor, IML Direct Italy|||||16:9|LED|HP|250 cd/m²|USB Hub||Black||||5,000,000:1||51 mm|242.40 mm||Yes|Yes||||||Click to view|['ENERGY STAR', 'TCO Certified Edge']|Yes||||329 mm|469.90 mm|||||3 Year|Hewlett-Packard|C9V75AA#AB5||1920 x 1080|||1|||36 W|EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD|||||Elite|E231|EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|||||||||||||Yes||||||Yes||3.90 kg||544 mm|544 mm
