3d technology|3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|features|firewireilink|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product code|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
||247E4LHAB/00, 2689199, Philips, LCD Monitor, JR Linton||Yes|||16:9|LED|Philips|250 cd/m²|Speaker|BSMICCCCE MarkFCC Class BGOSTPSBSASOSEMKOTUV/ISO9241-307UL/cUL|Glossy Black|16.7 Million Colours|||10,000:1||39 mm|193 mm||||||['Touch Controls', 'SmartImage', 'Security Lock']|||['WEEE', 'TCO Certified Displays 6.0', 'RoHS', 'EPEAT Silver', 'ENERGY STAR 6.0']|Yes||Yes|Yes|348 mm|434 mm||178°|['110 V AC', '220 V AC']||Philips Electronics|247E4LHAB/00||1920 x 1080|||1|2|300 mW|17.20 W|||||['Mac', 'PC']|||E-line|247E4LHAB|LCD Monitor With SmartImage Lite||LCD Monitor|||5 ms|Full HD|"59.9 cm (23.6"")"||||Yes|60 Hz|500 mW||||||||170°|||Yes||3.16 kg|3.44 kg|557 mm|557 mm
||C9V75AA#AB5, HP, LCD Monitor, JR Linton|||||16:9|LED|HP|250 cd/m²|USB Hub||Black||||5,000,000:1||51 mm|242.40 mm||Yes|Yes|||||Click to view|['TCO Certified Edge', 'ENERGY STAR']|Yes||||329 mm|469.90 mm||||3 Year|Hewlett-Packard|C9V75AA#AB5||1920 x 1080|||1|||36 W|EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD|||||||Elite|E231|EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"||||||||||||Yes|||||Yes||3.90 kg||544 mm|544 mm
||VX2252MH, B921503, ViewSonic, LCD Monitor, JR Linton||Yes||||LED|Viewsonic|250 cd/m²|Speaker||||||1,000:1||53.3 mm|223.52 mm|||Yes|||['Security Lock', 'ClearMotiv']||||||Yes||327.7 mm|401.32 mm||170°|||Viewsonic Corporation|VX2252MH||1920 x 1080|Wall Mountable||1|2|||||||PC||||VX2252mh|VX2252mh Widescreen LCD Monitor|VX|LCD Monitor|||2 ms|Full HD|"55.9 cm (22"")"||||Yes||||||||||160°|Yes||Yes||2.90 kg|3.29 kg|510.5 mm|510.54 mm
||9H.LCSLB.QBE, 3197343, BenQ, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|BenQ|300 cd/m²|||Black|16.7 Million Colours|||20,000,000:1|||230 mm|||Yes|||['Low Blue Light', 'Senseye 3', 'Advanced Motion Accelerator (AMA)', 'Security Lock', 'Smart Reminder', 'Reading Mode', 'CAD/CAM Mode', 'Ultra Flexible', 'Dual Monitor Support', 'Flicker-free', 'Eco Mode']|||['EPEAT Silver', 'TCO Certified Displays 6.0', 'ENERGY STAR 6.0']|Yes|Yes|Yes|Yes||623 mm||178°|['120 V AC', '230 V AC']||BenQ Corporation|9H.LCSLB.QBE|120 mm|1920 x 1080|Wall Mountable||1|2|300 mW|45 W|BL2700HT Widescreen LCD Monitor Signal Cable (VGA)|||AMVA+|PC||||BL2700HT|BL2700HT Widescreen LCD Monitor||LCD Monitor|||4 ms|Full HD|"68.6 cm (27"")"||||Yes|76 Hz|300 mW||360°|||-5°to20°|||178°|Yes|100 x 100|Yes||6.30 kg|||519 mm
||UM.EB6EE.005, 8654G74, Acer, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|Acer|250 cd/m²|Speaker||Dark Grey|16.7 Million Colours|||100,000,000:1||221.2 mm||||Yes||||||"['EPEAT Gold', ""TCO '06""]"|Yes|Yes|||505.7 mm|||170°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.EB6EE.005|150 mm|1680 x 1050|||1|2|450 mW|24.20 W|B226WL Widescreen LCD Monitor1 x VGA Cable1 x DVI Cable|||Twisted Nematic Film (TN Film)|||||B226WL|B226WL Widescreen LCD Monitor|B|LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"|Anti-glare|||Yes|60 Hz|17.20 W||60°|||-5°to35°|||160°|Yes|100 x 100|Yes||3.09 kg|5.75 kg|534.2 mm|
||VE228HR, ASUNOT625, ASUSTeK COMPUTER, LCD Monitor, JR Linton||Yes||||LED|Asus|250 cd/m²|Speaker|BSMICBCCCCEC-TickFCCGost-RPSBUL/cULVCCIWHQL|Black|16 Million Colours|||80,000,000:1||201.8 mm||||Yes|||['Security Lock', 'Cable Management', 'Splendid Video Intelligence Technology']|||['J-Moss (Japanese RoHS)', 'RoHS', 'China Energy Label (CEL)', 'WEEE', 'ENERGY STAR', 'ErP']|Yes|Yes|Yes|Yes|386 mm|||170°|||ASUS Computer International|VE228HR||1920 x 1080|Wall Mountable||1|2||35 W|VE228HR Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card||||PC||||VE228HR|VE228HR Widescreen LCD Monitor|VE|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||Yes|76 Hz|500 mW||||||||160°|Yes|100 x 100|Yes||4.10 kg||512.8 mm|
||CDE4200-L, B921457, ViewSonic, LCD Monitor, JR Linton||Yes|||16:9|LED|Viewsonic|350 cd/m²|Speaker||Black||Yes|Yes|3,000:1||63.5 mm|208.28 mm||||||Security Lock||||||Yes|Yes|624.8 mm|678.18 mm||170°|||Viewsonic Corporation|CDE4200-L||1920 x 1080|Wall Mountable||1|2||59 W|||||PC|||Professional|CDE4200-L|"42"" Full HD LED Professional Display"||LCD Monitor|||6.50 ms|Full HD|"106.7 cm (42"")"|Anti-glare|||Yes||||||||Yes||170°|Yes|200 x 200|Yes||11.88 kg|12.61 kg|975.4 mm|975.36 mm
||22M45HQ-B, 2998779, LG Electronics, LCD Monitor, JR Linton||Yes||||LED|LG||||Black|||||||||||||||||||Yes||||||||LG Electronics|22M45HQ-B||1920 x 1080|||1||||||||||||22M45HQ-B|22M45HQ-B Widescreen LCD Monitor||LCD Monitor|||2 ms|Full HD|"55.9 cm (22"")"|||||||||||||||||Yes||14 kg|||
||C9F26AA#ABU, HP, LCD Monitor, JR Linton||Yes|||16:9|LED|HP|250 cd/m²|||Black|16.77 Million Colors|||1,000:1||47.5 mm|151.10 mm|||Yes|||Security Lock|||['TCO Certified Displays', 'EPEAT Gold', 'ENERGY STAR']|Yes|Yes|||294.1 mm|359.20 mm||170°|['110 V AC', '220 V AC']|3 Year|Hewlett-Packard|C9F26AA#ABU||1600 x 900|Arm-mountable||1|||22 W||||||||ProDisplay|P201|ProDisplay P201 20-inch LED Backlit Monitor||LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|Anti-glare|||No||500 mW||||||||160°|Yes|100 x 100|Yes|No|3.50 kg||482 mm|482 mm
||MX299Q, 2798280, ASUSTeK COMPUTER, LCD Monitor, JR Linton||Yes|No|No|21:9|LED|Asus|300 cd/m²|Speaker|BSMI CB CCC CE C-Tick CU FCC UL/cUL VCCI Gost-R PSE|['Black', 'Silver']|16.7 Million Colours|||80,000,000:1|||215.10 mm||Yes|Yes|||['Splendid Video Intelligence Technology', 'Trace Free Technology', 'Security Lock']|No||['WEEE', 'RoHS', 'J-Moss (Japanese RoHS)', 'ErP', 'ENERGY STAR 6.0']|Yes|Yes|Yes|Yes||391 mm||178°|['220 V AC', '110 V AC']|3 Year|ASUS Computer International|MX299Q||2560 x 1080||No|1|2|500 mW|31.70 W|Designo MX299Q Widescreen LCD Monitor Dual-link DVI Cable Audio Cable Power Cord Power Adapter Quick Start Guide HDMI Cable Warranty Card MHL Cable|||Advanced High Performance In-plane Switching (AH-IPS) Technology|['Mac', 'PC']|||Designo|MX299Q|Designo MX299Q Widescreen LCD Monitor|MX|LCD Monitor|||5 ms||"73.7 cm (29"")"||||Yes|61 Hz|500 mW||||No||No||178°|No||No|No|5.50 kg|||700.20 mm
