3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|features|firewireilink|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|MC914HN/A, 4793R49, Apple, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Apple|375 cd/m²|['Speaker', 'USB Hub', 'Microphone']|||16.7 Million Colours|||1,000:1|||207 mm||||||['Ambient Light Sensor', 'Digital Daisy Chain', 'Security Lock']|Yes|ENERGY STAR 5.1|Yes||||491 mm|||178°|['220 V AC', '110 V AC']|1 Year|Apple, Inc|MC914HN/A||2560 x 1440||Yes|1|||250 W|Thunderbolt DisplayAC Power LeadPrinted Documentation|||In-plane Switching (IPS) Technology|['PC', 'Mac']||||Thunderbolt Display||LCD Monitor|||12 ms|WQHD|"68.6 cm (27"")"||||Yes||2 W|||Thunderbolt-Enabled Mac computer, Including MacBook Air, MacBook Pro, Mac mini, and iMacOS X v10.6.8 or Later|Yes||Yes|USB 2.0|178°|Yes|||Yes|10.80 kg||650 mm|
|XB2483HSU-B1, IIYXB2483HSUB, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|iiyama|250 cd/m²|['Speaker', 'USB Hub']|CE TÜV-GS VCCI-B PSE CU|Black|16.7 Million Colours|||3,000:1|||230 mm|||Yes|||Security Lock||['TCO Certified Displays 6.0', 'ENERGY STAR']|Yes|Yes|Yes|Yes||516.50 mm||178°||3 Year|iiyama North America, Inc|XB2483HSU-B1||1920 x 1080|Wall Mountable||1|2||27 W|"High-end 24"" AMVA+ Monitor Featuring Height Adjustable Stand Power cable D-Sub signal cable DVI-D cable USB cable Audio cable Stand Stand-base Quick start guide Safety guide"|||Advanced-Multi-domain Vertical Alignment Plus (A-MVA+)|PC||ProLite|XB2483HSU|"High-end 24"" AMVA+ Monitor Featuring Height Adjustable Stand"||LCD Monitor|||4 ms|Full HD|"61 cm (24"")"||||Yes|75 Hz|500 mW||||||Yes|USB 2.0|178°|Yes|100 x 100|Yes||5 kg|||565.50 mm
|T28LNUK, S602KC4, Lenovo, LCD Monitor, Kingsfield Computer Products Ltd||Yes||Yes||LED|Lenovo|250 cd/m²|['Microphone', 'USB Hub', 'Speaker']|TUV|Raven Black||||1,000:1||56.4 mm|||||||Security Lock||['ENERGY STAR 6.0', 'EPEAT Gold', 'TCO Certified Edge Displays 1.1', 'ULE Gold']|Yes||||387.2 mm|||||3 Year|Lenovo Group Limited|T28LNUK||1920 x 1080|||1|2||||||Enhanced In-plane Switching (E-IPS) Technology|PC|||LT2323z|"LT2323z Wide 23"" E-IPS Flat Panel Monitor"||LCD Monitor|||||"58.4 cm (23"")"||||Yes||||||||Yes|USB 3.0||||Yes|Yes|6.16 kg||545.3 mm|
|VG2433-LED, B921449, ViewSonic, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|Viewsonic|300 cd/m²|||||||1,000:1||56.4 mm|204.22 mm|||Yes|||Eco Mode||['ENERGY STAR', 'TCO Certified Displays 5.2']|Yes||||304.8 mm|382.52 mm||170°|['220 V AC', '110 V AC']||Viewsonic Corporation|VG2433-LED||1920 x 1080|Wall Mountable||1|||22 W|||||['Mac', 'PC']|||VG2433-LED|VG2433-LED Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"59.9 cm (23.6"")"|Anti-glare||||75 Hz|||||||||160°|Yes|100 x 100|Yes||3.22 kg|6.72 kg||
|E2470SWDA, 2866973, AOC, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:9|LED|AOC|250 cd/m²|Speaker|TÜV-GS ISO 9241-307 NRTL GOST FCC CE|Black|16.7 Million Colours|||1,000:1|||||No|Yes|||['i-Menu', 'Screen+', 'Eco Mode', 'e-Saver', 'Security Lock']||['RoHS', 'ENERGY STAR 6.0', 'EPEAT Gold', 'EuP']|Yes|Yes|No|Yes||||170°|['110 V AC', '220 V AC']|3 Year|AOC|E2470SWDA||1920 x 1080|Wall Mountable||1||||"e2470Swda 61cm (24"") LED Monitor Power Cable D-Sub Cable DVI-D Cable Audio Cable Driver CD Warranty Card on CD-ROM"|||Twisted Nematic Film (TN Film)|||Value|e2470Swda|"e2470Swda 61cm (24"") LED Monitor"||LCD Monitor|||5 ms|Full HD|"61 cm (24"")"||||Yes|60 Hz|||||||||160°|Yes|100 x 100|Yes|No||||
|UM.WB6EE.A01, 8654T98, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|Acer|250 cd/m²|||Dark Grey|16.7 Million Colours|||100,000,000:1||221 mm||||Yes|||||"['ENERGY STAR', ""TCO '06""]"|Yes|Yes|||518.2 mm|||178°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.WB6EE.A01|150 mm|1920 x 1080|||1||250 mW|19.50 W|B226HQL Widescreen LCD Monitor1 x VGA Cable1 x DVI CablePower Cord|||Vertical Alignment (VA)||||B226HQL|B226HQL Widescreen LCD Monitor|B|LCD Monitor|||8 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare|||Yes|60 Hz|350 mW||60°|||-5°to35°|||178°|Yes|100 x 100|Yes||3.17 kg|5.81 kg|508 mm|
|LS22C45KMSV/EN, 2864335, Samsung, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|Samsung|250 cd/m²|Speaker|UL: UL 60950-1CSA: CSA C22.2 No. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM:IEC60950-1SASO: IEC60950-1FCC: FCC Part 15 Subpart B classACE: EN55022, EN55024VCCI: V-3 (CISPR22)KCC: KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC:GB 9254-2008, GB 17625.1-2003, GB 4943-2001|Matte Black|16.7 Million Colours|||1,000:1||55.5 mm|210 mm||No|Yes|||['MagicTune', 'MagicAngle', 'MagicRotation', 'MultiScreen', 'MagicBright3', 'Eco Saving', 'Off Timer']||['TCO', 'ENERGY STAR', 'EPEAT Gold', 'Eco-label']|||No||301.9 mm|425.35 mm||170°|['220 V AC', '110 V AC']|3 Year|Samsung|LS22C45KMSV/EN||1920 x 1080|Wall Mountable||1|2||24 W|S22C450M Widescreen LCD MonitorD-Sub CableDVI CableAudio CablePower Cable Length: (1.5m)E-manualCD-ROMQuick Setup Guide||||PC|||S22C450M|S22C450M Widescreen LCD Monitor|450|LCD Monitor|Yes|Plastic|5 ms|Full HD|"54.6 cm (21.5"")"||||Yes||100 mW||||||||160°|Yes|100 x 100|Yes||3.05 kg|4.50 kg|504.3 mm|504.30 mm
|274E5QHSB/00, 2711318, Philips, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|Philips|250 cd/m²|||Glossy Black||||20,000,000:1||||||No|||Mobile High-Definition Link (MHL)|||||Yes|||||178°|||Philips Electronics|274E5QHSB/00||1920 x 1080|||1|||||||In-plane Switching (IPS) Technology||||274E5QHSB|274E5QHSB Widescreen LCD Monitor||LCD Monitor|||7 ms|Full HD|"68.6 cm (27"")"||||||||||||||178°||||||||
|170S6FB/05, PHITFT170S6FB05, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||||Philips|250 cd/m²||CE Mark E2000 EMC FCC-B UL CSA SEMKO TÜV/GS TÜV Ergo|Black|16.2 Million Colours|||500:1||200 mm|||||||['Sync on Green', 'Security Lock']||"['RoHS', ""TCO '99"", 'ENERGY STAR']"|||||390 mm|||160°|['110 V AC', '220 V AC']|1 Year|Philips Electronics|170S6FB/05||1280 x 1024|||1||1 W|30 W|"LCD Monitor 17"" SXGA AC Power Cord VGA cable"||||PC|||170S6FB|"LCD Monitor 17"" SXGA"||LCD Monitor|||12 ms|SXGA|"43.2 cm (17"")"|Anti-glare||||60 Hz|||||||||155°|Yes|100 x 100|Yes||3.90 kg||375 mm|
|L-W24, AGLW24, AG Neovo, LCD Monitor, Kingsfield Computer Products Ltd||Yes||||LED|AG Neovo|250 cd/m²|Speaker|||16.7 Million Colours|||20,000,000:1||190 mm||||Yes||||||||Yes||395 mm|||170°|||AG Neovo Technology Corporation|L-W24||1920 x 1080|['Arm-mountable', 'Wall Mountable']||1|2|500 mW|33 W||||||||L-W24|L-W24 Widescreen LCD Monitor|L|LCD Monitor|||3 ms|Full HD|"61 cm (24"")"|Anti-glare|||Yes||500 mW||||||||160°|Yes|100 x 100|Yes||4.30 kg||566 mm|
|DS32SDI, VIGDS32SDI, Vigilant Vision, Ltd, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|Vigilant|450 cd/m²|Speaker|CE FCC|Black|16.7 Million Colours|||6,000:1|||||||||['Picture on Picture', 'Picture in Picture', 'Sleep Timer']||['ENERGY STAR', 'RoHS', 'WEEE']|Yes||Yes|||||176°|['220 V AC', '110 V AC']||Vigilant Vision, Ltd|DS32SDI||1920 x 1080|Desk Mountable||1|2||75 W|"32"" (16:9 ) LED Monitor Power Supply Kettle Lead VGA Cable Audio Cable User Manual Remote Control"|||||||DS32SDI|"32"" (16:9 ) LED Monitor"||LCD Monitor|||6.50 ms|Full HD|"81.3 cm (32"")"||Yes|HDSDI|Yes|75 Hz||Yes|||||||176°|Yes|200 x 200|Yes||19.10 kg|||
|LS24D300HS/XU, 3172337, Samsung, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Samsung|250 cd/m²|||High Glossy Black|16.7 Million Colours|||1,000:1||53.9 mm|197 mm||No|No|||['Off Timer', 'Game Mode', 'MagicAngle', 'Eco Saving', 'Magic Upscale']||['RoHS', 'ENERGY STAR 6.0']|Yes||Yes|No|342.1 mm|417.20 mm||170°|['230 V AC', '120 V AC']|2 Year|Samsung|LS24D300HS/XU||1920 x 1080|||1|||23 W|"24"" S24D300H Series 3 LED Monitor D-sub Cable Install CD-ROM (Manual) Quick Setup Guide"|||Twisted Nematic Film (TN Film)|['PC', 'Mac']|||S24D300H|"24"" S24D300H Series 3 LED Monitor"|300|LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||No||300 mW|||||-1°to20°|No||160°|||Yes||2.80 kg|3.15 kg|569 mm|569 mm
|FWD-S42H1, 1625962, Sony, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9||Sony|700 cd/m²|Speaker|||1.06 Billion Colors||Yes|1,000:1||124.5 mm||||Yes|||||||Yes|||577.9 mm|||178°|||Sony Corporation|FWD-S42H1||1920 x 1080|['Arm-mountable', 'Wall Mountable']||1|2||||||||||FWD-S42H1|FWD-S42H1 Widescreen LCD Monitor|FWD|LCD Monitor|||8 ms|Full HD|"106.7 cm (42"")"||||Yes|||Yes|||||||178°|||Yes||29.94 kg||984.3 mm|
|LS19D300NY/EN, 3087722, Samsung, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|Samsung|200 cd/m²|||High Glossy Black|16.7 Million Colours|||600:1||53.1 mm|177 mm||No|No|||['Off Timer', 'Eco Saving']|||||No|No|273.1 mm|347.50 mm|||['220 V AC', '110 V AC']||Samsung|LS19D300NY/EN||1366 x 768|Wall Mountable||1|||13 W||||Twisted Nematic Film (TN Film)|['Mac', 'PC']|||S19D300NY|S19D300NY Widescreen LCD Monitor|300|LCD Monitor|||5 ms|WXGA|"47 cm (18.5"")"||||No||300 mW||||||No|||Yes|75 x 75|Yes||1.75 kg|2 kg|444.9 mm|444.90 mm
|855-BBBC, DELE1715S, Dell, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||5:4|LED|Dell|250 cd/m²||||16.7 Million Colours|||1,000:1||46.5 mm|165.50 mm||Yes||||['Security Lock', 'PowerNap']||['ENERGY STAR', 'EPEAT Gold', 'TCO Certified Displays', 'China Energy Label (CEL)']|Yes||||306.9 mm|389.50 mm||178°|['220 V AC', '110 V AC']|3 Year|Dell, Inc|855-BBBC||1280 x 1024|Wall Mountable||1|||15 W|17 Monitor - E175S Stand Power Cables VESA Screw Cover VGA Cable Drivers and Documentation Media Quick Setup Guide Product Information Guide|||Twisted Nematic Film (TN Film)||||P1914S|17 Monitor - E175S||LCD Monitor|||5 ms|SXGA|"43.2 cm (17"")"|Anti-glare||||60 Hz|500 mW||||||||178°|Yes|100 x 100|Yes||2.08 kg||374.5 mm|374.50 mm
|60AAHAT1UK, S604LP3, Lenovo, Monitors (other), Kingsfield Computer Products Ltd||Yes|Yes|Yes||LED|Lenovo|250 cd/m²||TUV Green Mark ISO 9241-307|Black|16.7 Million Colours|||1,000:1||222 mm||||Yes|||||['TCO Certified Displays 6.0', 'China Energy Label (CEL)', 'ENERGY STAR 6.0', 'EPEAT Gold', 'ULE Gold', 'China RoHS', 'RoHS', 'TÜV', 'TCO Certified Edge Displays 1.1']|Yes|Yes|||378.2 mm|||||3 Year|Lenovo Group Limited|60AAHAT1UK|110 mm|1280 x 1024|||1|||||||In-plane Switching (IPS) Technology|PC||ThinkVision|LT1913p|LT1913p 19-inch Square IPS LED Backlit LCD Monitor (UK Power Cord )||LCD Monitor|Yes|85% Plastic|7 ms|SXGA|"48.3 cm (19"")"||||||||-45°|||-5°to-30°|||178°|||Yes||4.55 kg||411 mm|
|I2360PHU, 2669333, AOC, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|AOC|250 cd/m²|USB Hub|CEcCSAusFCCGOSTTÜV-BauartTÜV-GSISO 9241-307|Black|16.7 Million Colours|||1,000:1|||||No|Yes|||['Ambient Light Sensor', 'Eco Mode']||['TCO Displays 5.0', 'EPEAT Silver', 'ErP/EuP', 'ENERGY STAR 5.0', 'EPEAT Gold', 'RoHS']|Yes|Yes|Yes|Yes||||170°|['220 V AC', '110 V AC']|3 Year|AOC|I2360PHU||1980 x 1080|Wall Mountable||1||500 mW||"i2360Phu 58.5cm (23"") LED MonitorPower CableD-Sub CableDVI-D CableAudio CableDriver CDWarranty Card"|||In-plane Switching (IPS) Technology|||Professional|i2360Phu|"i2360Phu 58.5cm (23"") LED Monitor"||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"||||Yes|60 Hz|500 mW||||||Yes|USB 2.0|160°|Yes|100 x 100|Yes|||||
|17S4LSB/00, 2905226, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No||5:4|LED|Philips|250 cd/m²||BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV Ergo TUV/GS|Textured Black|16.7 Million Colours|||1,000:1||65 mm|194 mm|||Yes|||['SmartContrast', 'SmartControl', 'TrueVision', 'SmartPower', 'SmartImage', 'Eco Mode', 'Security Lock', 'Sync on Green']||['TCO Certified Displays 6.0', 'EPEAT Gold', 'WEEE', 'RoHS', 'ENERGY STAR 6.0']|Yes|Yes|||319 mm|393 mm||170°|['220 V AC', '110 V AC']||Philips Electronics|17S4LSB/00||1280 x 1024|||1||200 mW|11.90 W|||||['PC', 'Mac']|30%||17S4LSB|LCD Monitor, LED Backlight with SmartImage|S|LCD Monitor|Yes|Plastic|5 ms|SXGA|"43.2 cm (17"")"||||No|60 Hz|200 mW|||||-5°to20°|||160°|Yes|100 x 100|Yes||3.14 kg|3.54 kg|367 mm|367 mm
|E2411PU-BN, 4064349, LG Electronics, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|LG|250 cd/m²|['USB Hub', 'Speaker']|TÜV-GS|Matte Black|16.7 Million Colours|||5,000,000:1|||271 mm|||Yes|||||['ENERGY STAR', 'TCO Displays 5.0']|Yes|Yes||||432.60 mm||170°|['220 V AC', '110 V AC']||LG Electronics|E2411PU-BN||1920 x 1080|||1|2|300 mW|30 W||||||||E2411PU-BN|E2411PU-BN Widescreen LCD Monitor|E11|LCD Monitor|||5 ms|Full HD|"61 cm (24"")"|Anti-glare|||Yes||300 mW||||||Yes||160°|||Yes||3.67 kg|5.09 kg||569.10 mm
