3d compatibility|<page title>|ac adapter included|ac power in|active display area w x h|annual energy consumption|aspect ratio|audio input|audio output|audio system|backlight type|bezel width bottom|bezel width side|bezel width top|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable length|cable lock slot|cables included|camera included|card reader integrated|certification|child lock|color gamut|colour of product|common interface ci|common interface plus ci|compatibility|compatible memory cards|compatible operating systems|compliance industry standards|component video ypbprycbcr in|composite sync|composite video in|connection to pc|contrast ratio dynamic|contrast ratio typical|current rating|dcin jack|depth|depth max|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h with stand|dimensions wxdxh|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display type|display viewable area hxv|displayports quantity|dvi port|dvid ports quantity|effective viewing area|electromagnetic compatibility|energy efficiency class|energy star certified|epeat compliance|ethernet lan|ethernet lan data rates|ethernet lan rj45 ports|feet colour|full hd|glass thickness|glossy display|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|hdready|headphone connectivity|headphone out|headphone outputs|height|height adjustment|height adjustment range|height max|height with stand|horizontal scan range|input current|input frequency|input voltage|interface type|led backlight|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum analog resolution|maximum resolution|maximum screen size compatibility|maximum weight capacity|mean time between failures mtbf|megapixel|microphone in|mini displayport quantity|minimum screen size compatibility|mobile highdefinition link mhl|mounting interface|native resolution|nonoperating altitude|number of colours|number of displays supported|number of loudspeakers|number of osd languages|number of products included|number of simultaneous touchpoints windows 7|omnitapps multitouch compatibility|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pan range|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption active|power consumption average|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|power supply type|product type|quantity|quick start guide|recyclable material|relative humidity|response time|rms rated power|rohs compliance|rotating|rotation|rs232 ports|safety|screen format adjustments|screen saving functions|screen size compatibility|security features|separate hv sync|speakers|standby led|storage relative humidity hh|storage temperature tt|supported graphics resolutions|supported video modes|swivel angle|swivel angle range|swivel webcam|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|touch screen type|touch sensitive screen|touchscreen technology|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|usb powered|usb required|usb version|user guide on cdrom|vertical scan range|vesa mounting interfaces compatibility|vga dsub input ports|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle|viewing angle horizontal|viewing angle vertical|voltage tolerance|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported
No|Iiyama ProLite B2480HS - MBE||Yes|||16:9|Yes|||Edge-lit LED||||No|['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|['No', 'No', 'No']||['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']||['No', 'No']|CE, CU, TUV-GS, TCO|||['White', 'White']|||||||||||5000000:1|1000:1|||24.45 cm|||||||LED|300 cd/mÂ²|"59.94 cm (23.6"")"||16.77M|1920 x 1080 pixels|||TN+Film|||||1|||Unspecified|Yes||No||||||||Full HD|Yes||1|||||55.7 cm|['13 cm', 'Yes']||||24 - 80 kHz||50/60 Hz|100 - 240V||||||['Yes', 'Yes']||||||||||||||||['2', '2', '2']|['9', '9']||||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS']|||10 - 80%|['41 - 95 Â°F', '5 - 35 Â°C']||||||||||Yes|0 - 90Â°|0.2715 x 0.2715 mm||['Yes', 'Yes']||||||1W|22W||['Yes', 'Yes']|||||['Yes', 'Yes']|||2 ms|||||||||||Yes|||5 - 85%|-20 - 60 Â°C|1920 x 1080 (HD 1080)|1080p||-160 - 160Â°||Yes||No|Yes|-5 - 22Â°||||['No', 'No']|||||||56 - 75 Hz|100 x 100 mm||1|||52.128 cm|29.322 cm||170Â°|160Â°|||Yes|6.1 kg||57.15 cm|||
|ASUS PB248Q PROFESSIONAL RANGE  24.1 INCH IPS  LED  1920 X 1200  6MS  MULTIMEDIA  VGA  DVI  HDMI  DISPLAY - MBE|||||16:10|||||||||['No', 'No', 'No']|||||['Kensington', 'Kensington']||||Energy StarÂ®, BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, ISO-9241-307, J-MOSS, PSB, RoHS, TCO6.0, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7), NOM|||['Black', 'Black']|||||||||||80000000:1||||6.2 cm||23.5 cm||||||300 cd/mÂ²|"61.21 cm (24.1"")"||16.77M|1920 x 1200 pixels|||IPS|||1|Yes|1||||Yes||||||||||Full HD|Yes||1||||1|36.28 cm|Yes|||41.63 cm|||50/60 Hz|100 - 240V|||||||||||||||||||||||||||||||||||['29.2 cm', '29.2 cm']|['43.9 cm', '43.9 cm']|['68.1 cm', '68.1 cm']|||||||||||||||0.5W|65W||||||||||6 ms|||||||||||||||||||||||||||||['No', 'No']||4||||||100 x 100 mm||1||||||178Â°|178Â°|||Yes|6.6 kg||55.72 cm|55.72 cm||
No|Samsung S22C650D - MBE|||||16:9|||||||||['No', 'No', 'No']||['No', 'No', 'No']|||['No', 'No']|||||||['Black', 'Black']|||||||||||Mega Contrast|1000:1||Yes|5.545 cm||21 cm|||||LED|250 cd/mÂ²|"54.61 cm (21.5"")"|54.61 cm|16.77M|1920 x 1080 pixels|||AD-PLS|||1|Yes||||Unspecified|Yes|Gold|||||||||Full HD||||||||30.19 cm|['Yes', '13 cm']|||49.035 cm|||50/60 Hz|100 - 240V|||||||||||||||||||||||||||||['Yes', 'Yes']||10 - 80%|10 - 40 Â°C||['6.15 kg', '6.15 kg']|['18.5 cm', '18.5 cm']|['37.5 cm', '37.5 cm']|['57.7 cm', '57.7 cm']|||||Yes|-1 - 95Â°|0.2655 x 0.2655 mm|||||||28W|0.3W|38W||||||||||5 ms||||||||||||||||1920 x 1080 (HD 1080)|1080i, 1080p||-45 - 45Â°||||No||-3 - 25Â°||||['No', 'No']|2|||||||100 x 100 mm||1|||47.664 cm|26.811 cm||170Â°|160Â°|||Yes|3.2 kg|4.75 kg|50.43 cm|50.43 cm||
|Philips Smart All-in-One S221C4AFD - MBE|||||16:9||||||||No|['Yes', 'Yes']||Yes||||||Yes||||['Black', 'Black']||||SDHC|||||||||||7.8 cm||||||||250 cd/mÂ²|"54.61 cm (21.5"")"|||1920 x 1080 pixels||||||||||||||Yes||1||Yes|||||||1||||1|37.3 cm||||||||||Yes|||||||||||Yes||||||||||||||||||20 - 80%|0 - 40 Â°C||['6.4 kg', '6.4 kg']|13.7 cm|44.6 cm|58 cm|||||||||||||||||||||['PC', 'PC']||||||4W||||||||||||||-20 - 60 Â°C||||||||||12 - 54Â°||Yes|||2|||||||||||||||||||['Yes', 'Yes']|4.76 kg||52.4 cm||Yes|
No|Philips LCD monitor with SmartImage lite 284E5QHAD - MBE|||||16:9||||W-LED|||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']||||RoHS, Lead-free, Mercury Free|||['Black, Cherry', 'Black, Cherry']|||||||||||20000000:1|3000:1|||5.4 cm||23.7 cm|||663 x 485 x 237 mm||LCD|300 cd/mÂ²|"71.12 cm (28"")"|71.1 cm|16.77M|1920 x 1080 pixels|Yes||MVA||||No||['619.8 x 348.6 mm', '619.8 x 348.6 mm']||Unspecified|Yes|Silver|||||||||Full HD|Yes||1|||Yes||39 cm|No|||48.5 cm|30 - 83 kHz||50/60 Hz|100 - 240V|||||['Yes', 'Yes']|['Yes', 'Yes']|||||['30.000h', '30.000h']|||||Yes|||12192m|||['2', '2', '2']|||||['Yes', 'Yes']|['CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR', 'CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR']|['Yes', 'Yes']|3658m|20 - 80%|0 - 40 Â°C|711 x 542 x 116 mm|['6.6 kg', '6.6 kg']|['11.6 cm', '11.6 cm']|['54.2 cm', '54.2 cm']|['71.1 cm', '71.1 cm']||Yes|||||0.32 x 0.32 mm||['Yes', 'Yes']|['23.18W', '23.18W']||23.18W|0.3W||0.5W|||||||||||6.5 ms|['14W', '14W', '14W']||||||||||Yes||||-20 - 60 Â°C|1920 x 1080 (HD 1080)|1080p|||||Yes|No|Yes|-5 - 20Â°||||['No', 'No']|||||||56 - 75 Hz|100 x 100 mm||1||||||176Â°|176Â°|||Yes|4.21 kg|4.73 kg|66.3 cm|66.3 cm||['Yes', 'Yes']
|LG 22MB65PY - MBE|||||16:10|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']||||['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']||||||['Black', 'Black']|||||||||||5000000:1|1000:1|||||23.9 cm|30 - 83 kHz|56 - 75 Hz|||LED|250 cd/mÂ²|"55.88 cm (22"")"|55.88 cm|16.77M|1680 x 1050 pixels|||TN|||1|Yes|1|||Unspecified|Yes|||||['Black', 'Black']||||||Yes||||||||Yes|||37.9 cm|||47-63 Hz|90 - 264V||||||['Yes', 'Yes']||||||||||||||||['2', '2', '2']|['14', '14']||||['Yes', 'Yes']||||||||||||Yes|||Yes||0.282 x 0.282 mm||||||0.3W||0.4W|21W||||||||||5 ms|['2W', '2W', '2W']||||||||||||||||||||||No||||||['No', 'No']|1|||||['Yes', 'Yes', 'Yes']||||1|||47.386 cm|29.616 cm||170Â°|160Â°|||Yes||4.7 kg||50.6 cm||
No|Iiyama ProLite XU2390HS - MBE||Yes|||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI', 'AC, Audio (3.5mm), DVI']|||TCO, CE, TÃœV-Bauart, VCCI-B, EAC|||['Black', 'Black']|||||||||||5000000:1|1000:1|||18 cm|||24 - 80 kHz|56 - 75 Hz|||LED|250 cd/mÂ²|"58.42 cm (23"")"|58.42 cm|16.77M|1920 x 1080 pixels|||IPS||||Yes|1|||Unspecified|Yes||||||||||Full HD|Yes||1|||||38.75 cm|No||||||50/60 Hz|100 - 240V||||||||||||||||||||||['2', '2', '2']|['9', '9']||||['Yes', 'Yes']|['CHI (SIMPL), ENG, ESP, FRE, ITA, JPN, POR, RUS', 'CHI (SIMPL), ENG, ESP, FRE, ITA, JPN, POR, RUS']|['Yes', 'Yes']|||||||||||||No||0.265 x 0.265 mm||||||||0.5W|24W|||||||['Yes', 'Yes']|||5 ms|['4W', '4W', '4W']||||||||||Yes|||||1920 x 1080 (HD 1080)|1080p||||No||No|Yes|-4 - 20Â°||||['No', 'No']||||||||100 x 100 mm||1||58.42 cm|50.92 cm|28.64 cm||178Â°|178Â°|||Yes|4 kg||53.25 cm|||['Windows 2000, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64', 'Windows 2000, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64']
No|HP ProDisplay P17A - MBE|||||5:4|||||||||['No', 'No', 'No']||['No', 'No', 'No']||||||||||['Black', 'Black']||||||||||||1000:1|||5.7 cm||20.63 cm|||||LCD|250 cd/mÂ²|"43.18 cm (17"")"|43.2 cm|16.77M|1280 x 1024 pixels|||TN+Film||||No||||Unspecified|Yes||||||||||No|No|||||||31.66 cm||||38.72 cm|24 - 83 kHz||50/60 Hz|100 - 240V||||||||||||||||||||||||||||||||||||||||||||0.264 x 0.264 mm|||||||0.5W||15.2W||||||||||5 ms|||||||||||||||||||||||No|Yes|-5 - 25Â°||||['No', 'No']|||||||50 - 76 Hz|100 x 100 mm||1|||33.79 cm|27.03 cm||170Â°|160Â°|||Yes|3.23 kg|3.72 kg|37.72 cm|37.72 cm||
No|AOC E970SWN LED display - MBE||Yes|||16:9||||W-LED|||||['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']|['AC, VGA', 'AC, VGA']|||CE, FCC, GOST, RoHS, TÃœV-GS, ISO 9241-307, EuP, NRTL|||['Black', 'Black']|||||||||||20000000:1|700:1|||15.6 cm|||||||LED|200 cd/mÂ²|"46.99 cm (18.5"")"|47 cm|16.77M|1366 x 768 pixels|||||||No||||Unspecified|Yes|Silver||||||||||No|||||||33.68 cm|No||||30 - 60 kHz||50/60 Hz|90 - 240V||||||||||||||||||||||||||||||||||['2.8 kg', '2.8 kg']||||||||No||0.3 x 0.3 mm||||||0.3W||0.5W|15W||['Yes', 'Yes']||||||||5 ms|||||||||||||['Yes', 'Yes']|||1366 x 768|||||No||No|Yes|-5 - 15Â°||||['No', 'No']|||||||50 - 76 Hz|100 x 100 mm||1|||41 cm|23 cm||90Â°|50Â°|||Yes|2.15 kg||43.74 cm|||
|Promethean ActivTable - MBE|||||16:9|||||||||No||['Yes', 'Yes']|||||||['NRTL, CE, FCC, GOST, SABS', 'NRTL, CE, FCC, GOST, SABS']||||||||||||||||||75.2 cm|||||||||"116.84 cm (46"")"|||1920 x 1080 pixels||||LCD|1020 x 572 mm|||||||||||1||Yes|||||||||||4|72.5 cm||||||||100 - 240V||||||||||||||||||||||['2', '2']||||||||||5 - 30 Â°C||||||||||||||||||||36W|288W||||['AC', 'AC']|||||||['20W', '20W']||||||||||||||-20 - 60 Â°C|||||||||||['Table', 'Table']||Infrared||4|||||||||||||||||||No|69500g||120 cm|||
