3d compatibility|<page title>|ac adapter included|ac power in|analog signal format system|aspect ratio|audio input|audio output|backlight type|bezel width side|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable lock slot|cables included|card reader integrated|certification|colour of product|common interface ci|common interface plus ci|compatible memory cards|compliance industry standards|component video ypbprycbcr in|composite sync|composite video in|contrast ratio dynamic|contrast ratio typical|dcin jack|depth|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h with stand|dimensions wxdxh|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display viewable area hxv|displayports quantity|dvi port|dvid ports quantity|dvii ports quantity|effective viewing area|energy efficiency class|energy star certified|epeat compliance|ethernet lan|feet colour|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|headphone connectivity|headphone out|height|height adjustment|height with stand|horizontal scan range|input frequency|input voltage|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum resolution|mean time between failures mtbf|microphone in|mobile highdefinition link mhl|nonoperating altitude|number of loudspeakers|number of osd languages|number of products included|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|product type|quantity|quick start guide|relative humidity|response time|rms rated power|rs232 ports|safety|screen format adjustments|screen saving functions|separate hv sync|source datasheet|standby led|storage relative humidity hh|storage temperature tt|supported graphics resolutions|supported video modes|svideo inputs quantity|swivel angle range|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|vertical scan range|vesa mounting interfaces compatibility|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle horizontal|viewing angle vertical|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported
|Wortmann AG Terra 2212W DVI Greenline Plus - MediaShopUK||Yes||16:9|Yes|||||['No', 'No']||['Yes', 'Yes']|||['Audio (3.5mm), DVI', 'Audio (3.5mm), DVI']||CE, EN 60950|['Black', 'Black']||||||||20000000:1|||44 mm|220 mm|||||LCD|250 cd/m²|"546.1 mm (21.5 "")"|54.6 cm|16.77 M|1920 x 1080 pixels|||TN+Film|||Yes||||Unspecified|Yes|||||Full HD|Yes|||||314 mm|No|374 mm||50/60 Hz|100 - 240 V||||['Yes', 'Yes']|||||||||||||||||||||||No||0.248 x 0.248 mm||['Yes', 'Yes']||||0.5 W|16 W|['Yes', 'Yes']|['Yes', 'Yes']||||||5 ms||||||||['Yes', 'Yes']|||1920 x 1080 (HD 1080)|1080i, 1080p|||||No||0 - 20 °|No||||100 x 100 mm|1|||||170 °|160 °||Yes|2.7 kg|3 kg|508 mm|508 mm||
|Philips 273V5LHAB - MediaShopUK||Yes||16:9|||W-LED|||||['Yes', 'Yes', 'Yes']||['Kensington', 'Kensington']|||RoHS, Lead-free, Mercury Free|['Black', 'Black']||||BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TCO certified, TUV/ISO9241-307, cETLus, WEEE||||10000000:1|1000:1||57 mm|240 mm|||||LED|300 cd/m²|"685.8 mm (27 "")"|68.6 cm|16.77 M|1920 x 1080 pixels|Yes||LCD/TFT|||Yes|1|||Unspecified|Yes|Silver||||Full HD|||1||1|398 mm||471 mm|30 - 83 kHz|50/60 Hz|100 - 240 V|['Operation, Stand-by', 'Operation, Stand-by']|||||['30.000 h', '30.000 h']||||['2', '2', '2']|||['Yes', 'Yes']|['CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR', 'CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR']|['Yes', 'Yes']||20 - 80 %|0 - 40 °C||['6.17 kg', '6.17 kg']|['139 mm', '139 mm']|['482 mm', '482 mm']|['698 mm', '698 mm']|Yes|||||0.311 x 0.311 mm||['Yes', 'Yes']||0.3 W||0.5 W|19.65 W|||||['1', '1']|||5 ms|['4 W', '4 W', '4 W']|||||Yes|['.', '.']|||-20 - 60 °C||||||Yes||Yes|||||56 - 75 Hz|100 x 100 mm|1|||597.88 mm|336.31 mm|170 °|160 °||Yes|4 kg|4.53 kg|646 mm|646 mm||
No|iiyama ProLite B2780HSU-2 - MediaShopUK||||16:9|||||No|['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|['No', 'No', 'No']|['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, USB, VGA', 'AC, Audio (3.5mm), DVI, USB, VGA']|||['Black', 'Black']||||||||5000000:1|1000:1||250 mm||24 - 80 kHz|56 - 75 Hz|||LCD|300 cd/m²|"685.8 mm (27 "")"||16.77 M|1920 x 1080 pixels|||TN+Film||||1|||Unspecified||Silver|No|||Full HD|Yes||1|3.5 mm|1|438 mm|Yes|||50/60 Hz|100 - 240 V||||['Yes', 'Yes']||||||['2', '2', '2']|['9', '9']||['Yes', 'Yes']||||||||||||||Yes|0 - 90 °|0.3113 x 0.3113 mm||||||1 W|37 W||||||['Yes', 'Yes']||1 ms|['4 W', '4 W', '4 W']|||||Yes|['.', '.']||||1280 x 1024 (SXGA), 1920 x 1080 (HD 1080)|||-170 - 170 °|Yes|||Yes|-4 - 22 °||4|||100 x 100 mm|1|||336.2 mm|597.6 mm|170 °|160 °||Yes|8 kg||642 mm||No|
No|Samsung NS190 Thin Client Monitor - MediaShopUK||||16:10||||||['No', 'No', 'No']||['No', 'No', 'No']||['No', 'No']||||['Black', 'Black']|||||||||1000:1||49.5 mm|227 mm|||||LED|250 cd/m²|"482.6 mm (19 "")"||16.77 M|1440 x 900 pixels||||||||||||||||No|No||||1|301.9 mm||416.8 mm||50/60 Hz|100 - 240 V|||||||Yes|||||||||||||6.22 kg|||||||||||||||2.7 W|35 W||||||||5 ms||1|||||['.', '.']||||1440 x 900 (WXGA+)||||||Yes|||['No', 'No']||||100 x 100 mm|1|||||170 °|160 °||Yes|4.42 kg||443 mm|443 mm||
No|Wortmann AG TERRA LED 2770W - MediaShopUK||||16:9||||||['No', 'No']||['Yes', 'Yes']|||['AC, Audio (3.5mm), DVI', 'AC, Audio (3.5mm), DVI']||CE, EN 60950|['Black', 'Black']||||||||50000000:1|||48 mm|200 mm|||||LCD|400 cd/m²|"685.8 mm (27 "")"|68.6 cm|1070 M|2560 x 1440 pixels|||IPS||1|Yes|1|||Unspecified|Yes|||||Full HD|Yes||1||1|413 mm|No|475 mm||50/60 Hz|100 - 240 V||||['Yes', 'Yes']|||Yes||||||||||||||||||||No||0.2331 x 0.2331 mm||['Yes', 'Yes']||||0.5 W|52 W||||||||6 ms|||||||||||2048 x 1152, 2560 x 1440, 1920 x 1080 (HD 1080)||||||No|Yes|0 - 20 °|No||||100 x 100 mm|1|||||178 °|178 °||Yes|7.3 kg||650 mm|650 mm||
No|Samsung S27C590H - MediaShopUK|['Yes', 'Yes']|||16:9||Yes||||['No', 'No', 'No']||['No', 'No', 'No']||['Kensington', 'Kensington']|['VGA', 'VGA']|||['Black', 'Black']||||||||Mega Contrast|1000:1|Yes|48 mm|190 mm|||||LED|300 cd/m²|"685.8 mm (27 "")"||16.77 M|1920 x 1080 pixels||||||No||||B|Yes|||||Full HD|||1|||368.4 mm|No|461.9 mm||50/60 Hz|100 - 240 V|||['Yes', 'Yes']||||||||||['Yes', 'Yes']|||||||['6.6 kg', '6.6 kg']|['145 mm', '145 mm']|['443 mm', '443 mm']|['701 mm', '701 mm']||||||||||||0.35 W|35 W||||||['Yes', 'Yes']||5 ms|||||||['.', '.']||||1920 x 1080 (HD 1080)||||||No|Yes||['No', 'No']||||No|1|||||178 °|178 °||No|4.5 kg|4.9 kg|626.2 mm|626.2 mm||['Yes', 'Yes']
No|ASUS VS207DE LED display - MediaShopUK||||16:9||||||['No', 'No']||['No', 'No']||['Kensington', 'Kensington']|['VGA', 'VGA']|||['Black', 'Black']||||||||80000000:1|||185 mm||||||LED|200 cd/m²|"495.3 mm (19.5 "")"|49.5 cm|16.77 M|1600 x 900 pixels||||||No||||Unspecified|Yes|||||||||||355.5 mm|No||||||||['Yes', 'Yes']||||||||||||||||3.99 kg|115 mm|412 mm|530 mm||||||0.270 x 0.270 mm|||16.4 W|0.5 W|0.5 W|0.5 W|16.4 W||||||['Yes', 'Yes']||5 ms|||||||['.', '.']||||||||||No|Yes|-5 - 20 °|No||||75 x 75 mm|1|||||90 °|65 °||Yes|2.59 kg||468 mm|||
No|Wortmann AG Terra 2230W, Greenline Plus - MediaShopUK||Yes||16:10||||||['No', 'No']||['Yes', 'Yes']||['Yes', 'Yes']|['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']||CE, CB, TUV GS, ISO 9241-307, TCO Displays 6.0|['Black, Silver', 'Black, Silver']||||||||15000000:1|||52 mm|213 mm|30 - 82 kHz|56 - 76 Hz|||LED|250 cd/m²|"558.8 mm (22 "")"|55.9 cm|16.77 M|1680 x 1050 pixels|||TN+Film|||Yes||||Unspecified|Yes||||||Yes|||||343 mm|No|408 mm||50/60 Hz|100 - 240 V||||['Yes', 'Yes']|||||||||['Yes', 'Yes']||||||||||||||||0.282 x 0.282 mm||['Yes', 'Yes']||||0.5 W|16 W||||||||5 ms|||||||||||1680 x 1050 (WSXGA+)||||||No|Yes|-5 - 20 °|No||||100 x 100 mm|1|||||170 °|160 °||Yes|3.9 kg||518 mm|518 mm||['Yes', 'Yes']
No|ASUS VS228DE - MediaShopUK||Yes||16:9|Yes|No|||No|['No', 'No']||['No', 'No']||['Yes', 'Yes']|['AC, VGA', 'AC, VGA']||BSMI, CB, CCC, CE, C-Tick, EK, ErP, FCC, Gost-R, J-MOSS, PSB, PSE, RoHS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7)|['Black', 'Black']||||||||50000000:1|||200 mm||||||LED|200 cd/m²|"546.1 mm (21.5 "")"|54.6 cm|16.77 M|1920 x 1080 pixels||||||No||||Unspecified|Yes|Gold|No|||Full HD|No|||||386.3 mm|No||30 - 80 kHz|||||||||||||||||['Yes', 'Yes']|||||5.9 kg|130 mm|443 mm|556 mm||||No||0.248 x 0.248 mm||['Yes', 'Yes']||0.5 W||0.5 W|21.1 W|||||['1', '1']|['Yes', 'Yes']||5 ms||||['4:3, 16:9', '4:3, 16:9']|||['.', '.']||||1920 x 1080 (HD 1080)||||No||No|Yes|-5 - 20 °|No|||55 - 75 Hz|100 x 100 mm|1|||||90 °|65 °||Yes|3.8 kg||514.1 mm||No|['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64']
No|Acer G G236HLBbid - MediaShopUK||Yes||16:9|||||No|['No', 'No']||['No', 'No']|||['AC', 'AC']||MPR II|['Black', 'Black']||||||||100000000:1|||169.2 mm||||||LED|200 cd/m²|"584.2 mm (23 "")"|58.5 cm|16.77 M|1920 x 1080 pixels|||TN+Film||||1||||Yes||No|||Full HD|Yes|['Yes', 'Yes']|1|||383.7 mm|No||30 - 80 kHz|50/60 Hz|100 - 240 V|['Yes', 'Yes']|['Yes', 'Yes']|['Yes', 'Yes']|['Yes', 'Yes']||['30000 h', '30000 h']||||||['1 pcs', '1 pcs']|||['Yes', 'Yes']||0 - 40 %|10 - 80 °C|||||||||No||0.265 x 0.265 mm|['Horizontal', 'Horizontal']|['Yes', 'Yes']||||0.53 W|23.9 W||['Yes', 'Yes']||||['Yes', 'Yes']||5 ms|||||||['.', '.']|['Yes', 'Yes']|5 - 90 %|-20 - 60 °C|1920 x 1080 (HD 1080)|1080p, 720p|||No||No|Yes|-5 - 15 °|No|||55 - 75 Hz|No|1|||509.8 mm|286.8 mm|100 °|90 °|||2.4 kg||548 mm||No|['Yes', 'Yes']
