<page title>|adjustable display angle|adjustable display height|adjustable display pivot|antiglare|aspect ratio|assembly required|backlight technology|be comfortable|brand name|brightness|builtin devices|certifications  standards|color|color supported|compatibility|component video|composite video|contrast ratio|country of origin|customizable color|depth|depth with stand|diagonal screen size|dimensions|display orientation|displayport|dvi|ecolabel|features|full hd resolution|hd compatible|hdcp supported|hdmi|headphone jack|height|height with stand|horizontal viewable angle|input voltage|integrated speakers|item |manufacturer|manufacturer |maximum resolution|model name|monitor brightness|monitor color|mount type|multitouch screen|native resolution|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|panel technology|pixel pitch|platform supported|postconsumer recycled content|product line|product name|product series|product type|quantity|recycled|response time|screen mode|screen size|screen surface|screen type|signal input type|speakers|standard refresh rate|standby power consumption|stay versatile|superb performance|svideo|tilt angle|total recycled content|touchscreen|touchscreen type|tv tuner|typical response time|ultrawide viewing angle|usb|usb standard|versatile connections|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|viewable image size|viewing angle|wall mountable|warranty length|webcam|weight|weight with stand approximate|width|width with stand|work with ease stay entertained for hours
Samsung S23C570H 23 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Samsung|||||||||1,000:1|||||||||||||||Yes|||||||894953|Samsung|RL7432|1920 x 1080|S23C570H|||||||1|||||||||S23C570H Widescreen LCD Monitor|570|LCD Monitor|||5 ms|Full HD|"23"""|||||||||||||||||||||||Yes||||1-year limited||||||
Acer S230HL 23 Widescreen LED Monitor by Office Depot|||||||||Acer|||||||||1000:1 (native); 100,000,000:1 (max)|||||23 inches|"15.11""H x 21.58""W x 6.6""D"||||ENERGY STAR|||yes||||||170 degrees||no|124774|Acer, Inc.|S230HL ABD|1920 x 1080|S230HL|250 cd/m2|Black|||1000:1|||||||0.265 mm||||||||||||||VGA 15-pin D-sub; DVI-D (digital) with HDCP|||||||||||No|5 ms|||||||||23 inches||no|3-yr limited||||||
Viewsonic Extreme Wide EW1930 19 Edge LED LCD Monitor 163 by Office Depot|||||16:3||Edge LED||Viewsonic|1000 Nit||||||||1,600:1|||"1.5"""||||Landscape/Portrait||||||||||"6.9"""|||110 V AC; 220 V AC||589756|Viewsonic Corporation|KB8781|1680 x 350|EW1930|||||||1||||||PC||Extreme Wide|Extreme Wide EW1930 Widescreen LCD Monitor||LCD Monitor|||||"19"""|||||||||||||||||||||Yes|100 x 100|Yes||||3-year limited||5.07 lb||"15.7"""||
BenQ GW2255 215 LED LCD Monitor 169 6 ms by Office Depot|Yes||||16:9||LED||BenQ|250 Nit|||Glossy Black|16.7 Million Colors||||3,000:1|||"6.9"""||||||Yes|TCO Certified Displays 5.2; ENERGY STAR 5.2|Senseye 3; Eco Mode; Security Lock|||Yes|||"15.7"""|||110 V AC; 220 V AC||475947|BenQ Corporation|QV9863|1920 x 1080|GW2255|||Wall Mountable||||1|||21 W|||PC|||GW2255 Widescreen LCD Monitor|GW|LCD Monitor|||6 ms|Full HD|"21.5"""||||||300 mW||||||||||||||178°|Yes|100 x 100|Yes||178°||||8.16 lb||"20.7"""||
Newline Interactive TruTouch 460 46 Full HD LCD Multi Touch Monitor Black by Office Depot|||||||||Newline Interactive||||||||||||||46 inches|"32.31""H x 42.13""W x 4.25""D"||||UL Environment|||yes||||||||Yes|844292|Newline Interactive|EPR8A00046|1920 x 1080|TruTouch 460||Black||||||||||1 mm||0%|||||||||||flat panel LCD|||||||||0%||infrared|No||||||||||46 inches||yes|3-yr limited||||||
NEC Display MultiSync LCD175M BK LCD Monitor with VUKUNET free CMS by Office Depot|||||||||NEC Display|250 Nit|Speaker||Black|16.7 Million Colors (24-bit)||||1,000:1|||"2.4"""|"9.10"""|||||Yes|ENERGY STAR; TCO Displays 5.0; RoHS|||||||"12.6"""|"16.10"""||110 V AC; 220 V AC||753165|NEC Display Solutions|CE9760|1280 x 1024|LCD175M-BK|||Wall Mountable||||1||||||PC||MultiSync|MultiSync LCD175M-BK LCD Monitor||LCD Monitor|||5 ms|SXGA|"17"""||||Yes|75 Hz|||||||||||||||170°|||Yes||170°||||8.80 lb|14.30 lb|"14.5"""|"14.50"""|
Elo 3243L 32 LED Open frame LCD Touchscreen Monitor 169 650 ms by Office Depot|||||16:9||LED||Elo|350 Nit|||Black|16.7 Million Colors||||3,000:1||||"2.28"""|||||||Water Proof|||||||"17.44"""||||642565|Elo Touch Solutions, Inc|QC6374|1920 x 1080|3243L|||||||||300 mW|55 W|||PC|||3243L Multifunction 32-Inch Desktop Touchmonitor||Open-frame LCD Touchscreen Monitor|||6.50 ms|Full HD|"32"""||||||1.40 W||||||Yes|IntelliTouch Plus||||Yes|||178°|Yes|400 x 200|Yes||178°||||27.12 lb|||"28.95"""|
Samsung S22C150N 215 LED Monitor Black by Office Depot|||||16:9||||Samsung|||||||||1000:1 (static)|||||21.5 inches|"20.15"" x 12.24"" x 2.08"""|||||||no||||||90 degrees||no|361577|Samsung|S22C150N/S22D300NY|1920 x 1080|S22C150N|200 cd/m2|Black|||1920 x 1080|||||||0.248 mm||0%|||||||||||flat panel LCD|VGA 15-pin D-sub||||||||0%|||No|5 ms (gray-to-gray)|||||||||21.5 inches||no|1-yr limited||||||
Samsung S24C450DL 236 LED LCD Monitor 169 5 ms by Office Depot|Yes|Yes|Yes||16:9|No|LED||Samsung|250 Nit|||Black|||||1,000:1|Mexico|||||||Yes|Yes|ENERGY STAR|Eco Saving; Off Timer; MagicAngle; MagicBright 3|||||||||||894989|Samsung|QV9014|1920 x 1080|S24C450DL|||Wall Mountable||||1|||||||0%||S24C450DL Widescreen LCD Monitor|450|LCD Monitor|1|No|5 ms|Full HD|"23.6"""|||||||||||0%|||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||||||
Planar PXL2230MW 22 Edge LED LCD Touchscreen Monitor 169 5 ms by Office Depot|Yes||||16:9||Edge LED||Planar|250 Nit|Speaker|UL/cUL; FCC-B; CE||16.7 Million Colors||||1,000:1|||"2.8"""|"4.90"""|||||Yes|RoHS||||Yes|Yes||"12.9"""|"14.70"""||110 V AC; 220 V AC||656182|Planar Systems, Inc|QX6147|1920 x 1080|PXL2230MW||||Yes|||||||||PC|||PXL2230MW Touchscreen LCD Monitor||LCD Touchscreen Monitor|||5 ms|Full HD|"22"""||||Yes||||||||Yes|Optical||||Yes|||160°|Yes|100 x 100|Yes||170°||3-year limited||||"20.3"""|"20.30"""|
