3d capable|<page title>|aspect ratio|brightness|builtin devices|bundled with|character resolution|colour|colour support|compliant standards|contrast ratio|designed for|device type|diagonal size|diagonal size cm|digital tv tuner|dimensions wxdxh|display format|display position adjustments|energy class|energy consumption per year|environmental standards|features|hdcp compatible|hdmi ports qty|height rack units|image aspect ratio|input connectors|kvm switch|lcd backlight technology|localisation|manufacturer selling program|manufacturer warranty|microsoft certification|native resolution|panel type|pc interface|pixel pitch|power|power consumption operational|product description|product type|remote control|resolution|response time|screen coating|speaker system|speakers|targeting|technology|tv tuner|usb port|video interface|video wall components qty|weight
|OHC24 Shop : Monitor > Monitor search help > Epson A61B133111||690 cd/m2||||Cool white||FCC Class A certified, CSA, UL, TUV, VCCI Class A ITE|||Customer display||||16.5 cm x 5.1 cm x 6.9 cm||||||||||||||||||||||||Epson DMD110 - customer display||||||||||||||0.6 kg
|"OHC24 Shop : Monitor > Monitor search help > LG Electronics Monitor 22"" 22EA53VQ-P AH-IPS 22EA53VQ-P.AEU"|Widescreen - 16:9|250 cd/m2||||Textured black|16.7 million colours|FCC Class B certified, UL, TUV, cUL, DDC/CI, RoHS, TCO Displays 6.0|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 21.5"""||||50.8 cm x 18.1 cm x 38.5 cm - with stand||Tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA|||||||FullHD 1920 x 1080|AH-IPS||0.248 mm|||"LG 22EA53VQ-P - LED monitor - 21.5"""||||5 ms|Anti-glare, 3H Hard Coating|||||||||2.8 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 1517L AccuTouch Zero-Bezel E144246|4:3|250 cd/m2|Touch-screen|||Black|16.2 million colours|UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, S Mark, China RoHS|700:1||"LED-backlit LCD monitor - 15"""||||35.8 cm x 19.7 cm x 31.9 cm - with stand|||||||||||VGA|||Worldwide||3 years warranty||1024 x 768 at 75 Hz||||||"Elo Desktop Touchmonitors 1517L AccuTouch Zero-Bezel - LED monitor - 15"""||||16 ms|Anti-glare|||||||||4.3 kg
|"OHC24 Shop : Monitor > Monitor search help > Philips 242G5DJEB/24"" LED 1920x1080 2ms 242G5DJEB/00"|Widescreen - 16:9|350 cd/m2||||Textured black|16.7 million colours|Plug and Play, FCC Class B certified, TUV GS, BSMI, GOST, SASO, SEMKO, TUV Ergo, PSB, DDC/CI, RoHS, Lead-Free, WEEE, TCO Certified Edge|1000:1 / 80000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||56.5 cm x 22 cm x 51.7 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||2xHDMI, DVI-D, VGA, DisplayPort|||||3 years warranty||1920 x 1080 at 60 Hz|TN||0.277 mm|||"Philips Brilliance 242G5DJEB - LED monitor - 24"""||||5 ms (typical); 1 ms (grey-to-grey)||||||||||6.27 kg
|"OHC24 Shop : Monitor > Monitor search help > EIZO CX270 27IN LCD BLACK 68.6 cm (27 "")/ 1.920 21374"|Widescreen - 16:9|320 cd/m2|USB Hub|||Black|1.07 billion colours||1000:1||"LCD monitor - 27"""||||- with stand||Height, pivot (rotation), swivel, tilt|||||||||HDMI, DVI-I, DisplayPort|||||5 years warranty||2560 x 1440|||0.2331 mm|||"EIZO ColorEdge CX270 - LCD monitor - 27"""||||6 ms (grey-to-grey)||||||||||13.6 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Open-Frame Touchmonitors - 1739L CarrollTouch E964551||276 cd/m2|Touch-screen|||Black, steel|16.7 million colours|MPR II, UL, VCCI, C-Tick, BSMI, cUL, CCC, MIC, FCC, RoHS|1000:1||"LCD monitor - 17"""||||36.8 cm x 4.9 cm x 30.6 cm|||||||||||VGA|||Worldwide||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo Open-Frame Touchmonitors 1739L CarrollTouch - LCD monitor - 17"""||||30 ms|Anti-glare|||||||||4 kg
|OHC24 Shop : Monitor > Monitor search help > LG Electronics FLATRON 24MB35PM-B LED 60CM24I 61 cm|Widescreen - 16:9|250 cd/m2||||Anthracite dark|16.7 million colours|Plug and Play, FCC Class B certified, CSA, UL, TUV GS, EN 61000-3-3, EN55024, EN55022 Class B, TUV Ergo, DDC/CI, ISO 9241-307, EN 61000-3-2:2006, TCO Displays 6.0, EN 60950-1:2006|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||56.9 cm x 27.1 cm x 43.2 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty||1920 x 1080 at 60 Hz|AH-IPS||0.274 mm|||"LG 24MB35PM-B - LED monitor - 24"""||||5 ms (grey-to-grey)|Anti-glare, 3H Hard Coating||Integrated|||||||5.1 kg
|"OHC24 Shop : Monitor > Monitor search help > Philips 234E5QHAW LED >  23"" Wide >  234E5QHAW/00"|Widescreen - 16:9|250 cd/m2||||Glossy white|16.7 million colours|Plug and Play, FCC Class B certified, TUV, BSMI, GOST, SASO, SEMKO, DDC/CI, RoHS, Lead-Free, ISO 9241-307, WEEE|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 23"""||||53.2 cm x 21.3 cm x 41.4 cm - with stand||Tilt|||ENERGY STAR Qualified||||||2xHDMI, VGA|||||3 years warranty||FullHD 1920 x 1080 at 60 Hz|AH-IPS||0.265 mm|||"Philips 234E5QHAW - LED monitor - 23"""||||5 ms (grey-to-grey)|||Integrated|||||||3.46 kg
|OHC24 Shop : Monitor > Monitor search help > BenQ - EW2440L 9H.LAGLB.QBE|Widescreen - 16:9|250 cd/m2|||||16.7 million colours||3000:1 / 20000000:1 (dynamic)||LED-backlit LCD monitor||||54.566 cm x 19.132 cm x 42.16 cm||Tilt|||||||||2xHDMI, VGA|||||||FullHD 1920 x 1080|VA||0.276 mm|||BenQ EW2440L - LED monitor||||12 ms (typical); 4 ms (grey-to-grey)||||||||||3.74 kg
|OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard EliteDisplay E190i 18.9IN LED HP E4U30AA#UUZ|5:4|250 cd/m2|USB Hub|||Black|16.7 million colours|Plug and Play, CSA, UL, TUV, VCCI, GS, CCC, FCC, ISO 9241-307, KCC, CISPR, MEPS, KC, CECP, EuP, TCO Displays|1000:1 / 3000000:1 (dynamic)||"LED-backlit LCD monitor - 18.9"""||||41.7 cm x 4.7 cm x 34.7 cm - without stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||DVI-D, VGA, DisplayPort|||German, French, Italian / Switzerland||3 years warranty||1280 x 1024 at 60 Hz|IPS||0.2928 mm|||"HP EliteDisplay E190i - LED monitor - 18.9"""||||14 ms (grey-to-grey)|Anti-glare, anti-static|||||||||3 kg
