<page title>|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|color|color supported|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|features|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|manufacturer website address|maximum adjustable height|maximum resolution|mount type|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|panel technology|pccanadacom|platform supported|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
C9E49AA#ABA - Hp Prodisplay P221 21.5-inch Led Backlit Monitor - PC-Canada.com|Yes|||16:9|LED|HP|250 cd/mÂ²|Speaker||Black||1,000:1||"1.9"" (47.5 mm)"|"6.3"" (160 mm)"|||Yes|Security Lock||TCO Certified Displays, ENERGY STAR, EPEAT Gold|Yes|Yes|||"12.4"" (315.2 mm)"|"14.9"" (379 mm)"|170Â°|110 V AC, 220 V AC|3 Year|Hewlett-Packard|C9E49AA#ABA|http://www.hp.com/ca||1920 x 1080||1|||28 W|ProDisplay P221 21.5-Inch LED Backlit MonitorVGA CableDVI CableAC Power CablePrinted Documentation and CD||does not accept phone orders.||Essential|P221|ProDisplay P221 21.5-Inch LED Backlit Monitor||LCD Monitor|||5 ms|Full HD|"21.5"""|Anti-glare|Yes||500 mW||||||160Â°|||Yes||4 kg||"20.4"" (518 mm)"|"20.4"" (518 mm)"
VS248H-P - Asus Vs248h-p Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|250 cd/mÂ²||CELUL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSS|Glossy Black|16.7 Million Colors|50,000,000:1||"8.1"" (205.5 mm)"||||Yes|||ENERGY STAR, RoHS, WEEE|Yes|Yes|Yes|Yes|"16.2"" (412.3 mm)"||170Â°||3 Year|ASUS Computer International|VS248H-P|http://www.asus.com||1920 x 1080|Wall Mountable|1||500 mW|32 W|VS248H-P Widescreen LCD MonitorDVI CableVGA CablePower CordQuick Start GuideWarranty Card||does not accept phone orders.|PC||VS248H-P|VS248H-P Widescreen LCD Monitor|VS|LCD Monitor|||2 ms|Full HD|"24"""|||76 Hz|500 mW||||||160Â°|Yes|100 x 100|Yes||4.10 kg||"22.6"" (573.2 mm)"|
VX2880ML - Viewsonic Vx2880ml Widescreen Lcd Monitor - PC-Canada.com|Yes||||LED|Viewsonic|300 cd/mÂ²|||Black|1.07 Billion Colors|50,000,000:1|China|"2"" (52 mm)"|"9.4"" (240 mm)"||Yes|Yes|Mobile High-Definition Link (MHL), Flicker-free|||||Yes||"16.2"" (412.5 mm)"|"20.1"" (510.6 mm)"|170Â°|120 V AC, 230 V AC||Viewsonic Corporation|VX2880ML|http://www.viewsonic.com||3840 x 2160|Wall Mountable|1|2||||Twisted Nematic Film (TN Film)|does not accept phone orders.|PC||VX2880ml|VX2880ml Widescreen LCD Monitor|VX|LCD Monitor|||5 ms|QFHD|"28"""|Anti-glare|Yes|||||-5Â°to20Â°|||160Â°|Yes|100 x 100|||||"26"" (660 mm)"|"26"" (660 mm)"
UM.BV6AA.002 - Acer V176l Lcd Monitor - PC-Canada.com|Yes|No|No|5:4|LED|Acer|250 cd/mÂ²|||Black|16.7 Million Colors|100,000,000:1||"2.2"" (55 mm)"|"7.5"" (191 mm)"||||||EPEAT Gold, TCO Certified Displays 6.0|Yes||||"12.2"" (308.7 mm)"|"15.5"" (394.5 mm)"|170Â°|110 V AC, 220 V AC||Acer, Inc|UM.BV6AA.002|http://www.acer.ca||1280 x 1024||1||350 mW|13 W|V176L LCD Monitor1 x VGA CablePower Cord|Twisted Nematic Film (TN Film)|does not accept phone orders.|||V176L|V176L LCD Monitor|V|LCD Monitor|||5 ms|SXGA|"17"""|Anti-glare||75 Hz|450 mW||||||160Â°|||Yes||2.20 kg|2.60 kg|"14.5"" (369 mm)"|"14.5"" (369 mm)"
"C3Z94AA#ABA - Hp Pavilion 23xi 58.4 Cm (23"") Diagonal Ips Led Backlit Monitor - PC-Canada.com"|Yes|||16:9|LED|HP|250 cd/mÂ²|||||1,000:1||||||Yes|Security Lock||||Yes|Yes||||178Â°|||Hewlett-Packard|C3Z94AA#ABA|http://www.hp.com/ca||1920 x 1080||1|||||In-plane Switching (IPS) Technology|does not accept phone orders.||Pavilion|23xi|"Pavilion 23xi 58.4 cm (23"") Diagonal IPS LED Backlit Monitor"||LCD Monitor|||7 ms|Full HD|"23"""|Anti-glare|||||||||178Â°|||Yes|||||
UM.WV6AA.A03 - Acer V226hql Widescreen Lcd Monitor - PC-Canada.com||||16:9|LED|Acer|250 cd/mÂ²|||Black|16.7 Million Colors|100,000,000:1||"8.1"" (206.8 mm)"|||Yes|Yes|||TCO '06, ENERGY STAR|Yes|Yes|||"15.4"" (390.4 mm)"||178Â°|110 V AC, 220 V AC||Acer, Inc|UM.WV6AA.A03|http://www.acer.ca||1920 x 1080||1||250 mW|19.50 W|V226HQL Widescreen LCD Monitor1 x VGA Cable1 x DisplayPort Cable1 x DVI CablePower Cord|Vertical Alignment (VA)|does not accept phone orders.|||V226HQL|V226HQL Widescreen LCD Monitor|V|LCD Monitor|||8 ms|Full HD|"21.5"""|Anti-glare|Yes|60 Hz|350 mW||||||178Â°|||Yes||3.24 kg|3.66 kg|"20"" (508 mm)"|
24MP55HQ-P - Lg 24mp55hq-p Widescreen Lcd Monitor - PC-Canada.com||||16:9|LED|LG||||||||"2.2"" (55 mm)"|"7.4"" (188 mm)"|||||||||Yes||"13.1"" (332 mm)"|"17.3"" (440 mm)"||||LG Electronics|24MP55HQ-P|http://www.lg.com/ca||1920 x 1080|Wall Mountable|1||300 mW|22 W||In-plane Switching (IPS) Technology|does not accept phone orders.|||24MP55HQ-P|24MP55HQ-P Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"23.8"""|Anti-glare|||300 mW|||-3Â°to20Â°||||Yes|100 x 100|Yes||3.10 kg||"21.4"" (544 mm)"|"21.4"" (544 mm)"
D7R00A8#ABA - Hp Business Z27x Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:9|LED|HP|300 cd/mÂ²|USB Hub|EC CB KC KCC NOM PSB ICE TUV-S CCC SEPA ISC VCCI FCC BSMI||1.07 Billion Colors|1,000:1||"9.5"" (242.5 mm)"|"14.9"" (379.2 mm)"|Portrait|Yes||Security Lock||TCO Certified Displays, China Energy Label (CEL), EPA, REACH, ENERGY STAR|Yes|Yes|Yes||"9.5"" (242.5 mm)"|"25.8"" (655 mm)"|178Â°|120 V AC, 230 V AC|3 Year|Hewlett-Packard|D7R00A8#ABA|http://www.hp.com/ca|"4.7"" (120 mm)"|2560 x 1440||1|||110 W|Business Z27x Widescreen LCD Monitor CD and Printed Documentation DisplayPort Cable AC Power Cord HP Display Assistant Software|In-plane Switching (IPS) Technology|does not accept phone orders.||Business|Z27x|Business Z27x Widescreen LCD Monitor|Z|LCD Monitor|||12 ms|WQHD|"27"""|Anti-glare|No||||45Â°|-5Â°to20Â°|Yes|USB 3.0|178Â°|||||8.80 kg||"25.2"" (641 mm)"|"25.2"" (641 mm)"
60B3HAR2US - Lenovo Thinkvision Lt1713p 17-inch Square Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|5:4||Lenovo|250 cd/mÂ²||KC (Korea) cTUVus NEMKO Green Guard(USA VOC) SDO C(Korea) PC Green Label(Japan) TUV Green Mark TUV-Ergo ISO9241-307 KCC FCC B (USA) IC (Canada) CE (Europe) VCCI (Japan) BSMI (Taiwan) CCC (China) SABS-CoC AAA-RSO (Serbia) cTUVus IEC950 CB Report NEMKO TUV-GS (Germany) CCC (China) BSMI NOM (Mexico) ICCP (Saudi Arab) EAC (Russia) PSB (Singapore) ISC (Cambodia) AAA-S(Serbia) JEITA (Japan) SABS-LoA KC E-Standby|Business Black|16.7 Million Colors|1,000:1||"6.5"" (165.2 mm)"||||Yes|Security Lock||ENERGY STAR 6.0, EPEAT Gold, CECP, China RoHS, WEEE, Ukraine RoHS, TCO Certified Displays 6.0, TCO Certified Edge Displays 1.2, ULE Gold, China Energy Label (CEL), RoHS, MEPS|Yes||||"14.6"" (370 mm)"||170Â°||3 Year|Lenovo Group Limited|60B3HAR2US|http://www.lenovo.com/ca/en|"4.3"" (110 mm)"|1280 x 1024||1||||ThinkVision LT1713p 17-Inch Square LCD Monitor VGA Cable DVI Cable Power Cord CD (multilingual user's guide, setup test pattern, and Windows installation file) Quick start and safety poster|Twisted Nematic Film (TN Film)|does not accept phone orders.|PC|ThinkVision|LT1713p|ThinkVision LT1713p 17-Inch Square LCD Monitor||LCD Monitor|||5 ms|SXGA|"17"""|||||||-3Â°to22Â°|||160Â°|Yes|100 x 100|Yes||3.60 kg||"16"" (405.7 mm)"|
C4M77AA - Hp U160 15.6-inch Led Backlit Monitor - PC-Canada.com|Yes|No||16:9|LED|HP|180 cd/mÂ²|||Black||500:1||"0.6"" (14.5 mm)"|||||||ENERGY STAR, EPEAT Silver|Yes|No|||"10.7"" (271.3 mm)"||90Â°||3 Year|Hewlett-Packard|C4M77AA|http://www.hp.com/ca||1366 x 768||1|||5 W|U160 15.6-inch LED Backlit Monitor USB Y CablePrinted Documentation and CD||does not accept phone orders.||Business|U160|U160 15.6-inch LED Backlit Monitor||LCD Monitor|||12 ms|HD|"15.6"""|Anti-glare|No||500 mW||||Yes|USB 2.0|65Â°|No|||No|1.54 kg||"14.8"" (374.9 mm)"|
"PA242W-BK - Nec Display 24"" Professional Wide Gamut Graphics Desktop Monitor - PC-Canada.com"|Yes|Yes|Yes|16:10|LED|NEC Display|340 cd/mÂ²|USB Hub||Black|1.07 Billion Colors|1,000:1||"3.3"" (83.8 mm)"|"9"" (228.6 mm)"||Yes|Yes|Sync on Green, Cable Management, AmbiBright, CableComp||RoHS, ENERGY STAR|Yes|Yes|Yes||"14.3"" (363.2 mm)"|"20.8"" (528.3 mm)"|178Â°||4 Year|NEC Display Solutions|PA242W-BK|http://www.necdisplay.com||1920 x 1200|Desk Mountable|1|||56 W|"24"" Professional Wide Gamut Graphics Desktop Monitor Power cord DisplayPort cable Mini DisplayPort cable DVI-D cable USB A to B cable"|Advanced High Performance In-plane Switching (AH-IPS) Technology|does not accept phone orders.|||PA242W-BK|"24"" Professional Wide Gamut Graphics Desktop Monitor"||LCD Monitor|||8 ms|WUXGA|"24.1"""|||85 Hz|200 mW||||Yes||178Â°|Yes|100 x 100|||7.39 kg|10.61 kg|"21.9"" (556.3 mm)"|"21.9"" (556.3 mm)"
UM.RB6AA.001 - Acer B296cl Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|21:9|LED|Acer|300 cd/mÂ²|USB Hub||Black|16.7 Million Colors|100,000,000:1|||||Yes|Yes|||EPEAT Gold, TCO Certified Displays 6.0, ENERGY STAR|Yes||Yes||||178Â°|110 V AC, 220 V AC||Acer, Inc|UM.RB6AA.001|http://www.acer.ca||2560 x 1080||1||||B296CL LCD Monitor1 x DVI Cable1 x Displayport Cable1 x HDMI Cable1 x USB 3.0 CablePower Cord|In-plane Switching (IPS) Technology|does not accept phone orders.|||B296CL|B296CL Widescreen LCD Monitor|B|LCD Monitor|||8 ms|Full HD|"29"""|Anti-glare|Yes|60 Hz|||||Yes|USB 3.0|178Â°||||||||
UM.XG6AA.002 - Acer G196hql Widescreen Lcd Monitor - PC-Canada.com|Yes|No|No|16:9|LED|Acer|200 cd/mÂ²|||Black|16.7 Million Colors|100,000,000:1||"1.3"" (33.5 mm)"|"6.7"" (169.2 mm)"||||||MPR II|Yes||||"10.9"" (277.3 mm)"|"12.9"" (327.5 mm)"|90Â°|110 V AC, 220 V AC||Acer, Inc|UM.XG6AA.002|http://www.acer.ca||1366 x 768||1||400 mW|15 W|G196HQL Widescreen LCD Monitor1 x VGA CablePower Cord||does not accept phone orders.|||G196HQL|G196HQL Widescreen LCD Monitor|G|LCD Monitor|||5 ms|WXGA|"18.5"""|Anti-glare||60 Hz|450 mW||||||65Â°|||Yes||1.70 kg|2.23 kg|"17.6"" (446.4 mm)"|"17.6"" (446.4 mm)"
VW2430H - Benq Vw2430h Widescreen Lcd Monitor - PC-Canada.com|Yes|No||16:9|LED|BenQ|250 cd/mÂ²|||White|16.7 Million Colors|3,000:1||"7.5"" (190.5 mm)"||||Yes|Security Lock, Senseye 3, Eco Mode||TCO Certified Displays 6.0|Yes|Yes|Yes|Yes|"16.8"" (426.7 mm)"||178Â°|110 V AC, 220 V AC|3 Year|BenQ Corporation|VW2430H|http://www.benq.ca||1920 x 1080|Wall Mountable|1|||40 W|||does not accept phone orders.|PC, Mac||VW2430H|VW2430H Widescreen LCD Monitor|VW|LCD Monitor|||4 ms|Full HD|"24"""||No||300 mW||||||178Â°|Yes|100 x 100|Yes||4.50 kg||"22.3"" (566.4 mm)"|
MX241W-BK - Eizo Radiforce Mx241w Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:10||Eizo|320 cd/mÂ²|USB Hub||Black, Gray|16.7 Million Colors (24-bit)|1,000:1|||||Yes|Yes|||RoHS, TCO '03, ENERGY STAR|Yes||||||178Â°|110 V AC, 220 V AC||Eizo Nanao Tech|MX241W-BK|http://www.eizo.com||1920 x 1200|Wall Mountable|1||||||does not accept phone orders.||RadiForce|MX241W|Radiforce MX241W Widescreen LCD Monitor||LCD Monitor|||13 ms|WUXGA|"24.1"""|||61 Hz|900 mW||||Yes||178Â°|Yes|100 x 100|||7.10 kg|10.70 kg||
VS228H-P - Asus Vs228h-p Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|250 cd/mÂ²||UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBEKJ-MOSSWHQL|Black|16.7 Million Colors|50,000,000:1|||"7.9"" (200 mm)"||||||WEEE, ENERGY STAR, RoHS|Yes|Yes|Yes|Yes||"15.2"" (385.5 mm)"|170Â°||3 Year|ASUS Computer International|VS228H-P|http://www.asus.com||1920 x 1080|Wall Mountable|1||500 mW|25 W|VS228H-P Widescreen LCD MonitorDVI CableVGA CablePower CordQuick Start GuideWarranty Card||does not accept phone orders.|PC||VS228H-P|VS228H-P Widescreen LCD Monitor|VS|LCD Monitor|||5 ms|Full HD|"21.5"""|||75 Hz|500 mW||||||160Â°|Yes|100 x 100|Yes||3.10 kg|||"20.2"" (514.1 mm)"
PB298Q - Asus Pb298q Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|21:9|LED|Asus|300 cd/mÂ²|Speaker|BSMI CB CCC CE C-Tick CU FCC PSE UL/cUL VCCI WHQL|Black|16.7 Million Colors|80,000,000:1|||"8.6"" (218 mm)"||Yes|Yes|Splendid Video Intelligence Technology, Security Lock||ENERGY STAR 6.0, EPEAT Gold, ErP, RoHS, TCO Certified Displays 6.0, WEEE|Yes|Yes|Yes|Yes||"14.8"" (376 mm)"|178Â°|110 V AC, 220 V AC|3 Year|ASUS Computer International|PB298Q|http://www.asus.com||2560 x 1080||1|2|500 mW|31.70 W|PB298Q Widescreen LCD Monitor Cable Clamp Dual-link DVI cable Audio cable Power cord DisplayPort cable Quick start guide HDMI cable Warranty Card|Advanced High Performance In-plane Switching (AH-IPS) Technology|does not accept phone orders.|PC||PB298Q|PB298Q Widescreen LCD Monitor||LCD Monitor|||5 ms|UW-UXGA|"29"""||Yes|76 Hz|500 mW||||||178Â°|Yes|100 x 100|||8.50 kg|||"27.6"" (700 mm)"
MB168B - Asus Mb168b Portable Usb-powered Monitor - PC-Canada.com||||16:9|LED|Asus|200 cd/mÂ²||BSMI CB CCC CE C-Tick CU FCC PSE UL/cUL VCCI|Black, Silver||500:1||"0.3"" (8 mm)"||Landscape/Portrait|||Ambient Light Sensor||WEEE, RoHS|Yes||||"9.3"" (236 mm)"||90Â°||3 Year|ASUS Computer International|MB168B|http://www.asus.com||1366 x 768||1||0 mW|5 W|MB168B Portable USB-powered Monitor ASUS Smart Case USB 3.0 Cable Quick Start Guide Support CD|Twisted Nematic Film (TN Film)|does not accept phone orders.|PC||MB168B|MB168B Portable USB-powered Monitor||LCD Monitor|||11 ms|HD|"15.6"""|Anti-glare|||0 mW||||Yes|USB 3.0|65Â°|||||800 g||"14.9"" (379 mm)"|
GW2760HS - Benq Gw2760hs Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|BenQ|300 cd/mÂ²|Speaker||Glossy Black|16.7 Million Colors|20,000,000:1||"7.5"" (191 mm)"||||Yes|Eco Mode, Senseye 3, Flicker-free, Security Lock|Click to view|ENERGY STAR 6.0, TCO Certified Displays 6.0|Yes|Yes|Yes|Yes|"18.6"" (472 mm)"||178Â°|120 V AC, 230 V AC||BenQ Corporation|GW2760HS|http://www.benq.ca||1920 x 1080|Wall Mountable|1|2||27 W||Vertical Alignment (VA)|does not accept phone orders.|PC||GW2760HS|GW2760HS Widescreen LCD Monitor|GW|LCD Monitor|||4 ms|Full HD|"27"""||Yes|||||-5Â°to15Â°|||178Â°|Yes|100 x 100|Yes||4.50 kg||"24.5"" (623 mm)"|
G2460PQU - Aoc Professional G2460pqu Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:9|LED|AOC|350 cd/mÂ²|Speaker, USB Hub|CE FCC GOST ISO 9241-307 TÃV-Bauart TÃV-GS|Black|16.7 Million Colors|80,000,000:1||"9.6"" (243.5 mm)"|||Yes|Yes|Eco Mode, Security Lock, i-Menu, e-Saver||ENERGY STAR 5.0, TCO Certified Displays, EPEAT Gold, RoHS, EuP, TÃV|Yes|Yes|Yes|Yes|"15.5"" (393.6 mm)"||170Â°|110 V AC, 220 V AC|3 Year|AOC|G2460PQU|http://us.aoc.com||1920 x 1080|Wall Mountable|1|2|500 mW|33 W|Professional G2460PQU Widescreen LCD Monitor Foot stand Power Cord VGA Cable Audio cable DVI cable USB cable Media (Drivers, AOC Software, User's Manual, Warranty)||does not accept phone orders.|PC|Professional|G2460PQU|Professional G2460PQU Widescreen LCD Monitor||LCD Monitor|||1 ms|Full HD|"24"""||Yes|120 Hz|500 mW|||-4Â°Up to22Â°|Yes||160Â°|Yes|100 x 100|Yes||6.29 kg||"22.3"" (565.4 mm)"|
"e2260Swda - Aoc Led Monitor - E2260swda Professional 54.7cm (21.5"") - PC-Canada.com"|Yes|No|No|16:9|LED|AOC|250 cd/mÂ²|Speaker||Black|16.7 Million Colors|1,000:1||"7.3"" (185 mm)"|||No|Yes|Security Lock||ENERGY STAR|Yes|Yes|No||"14.7"" (373 mm)"||170Â°||1 Year|AOC|E2260SWDA|http://us.aoc.com||1920 x 1080|Wall Mountable|1||||||does not accept phone orders.|PC|Professional|e2260Swda|"LED Monitor - e2260Swda Professional 54.7cm (21.5"")"||LCD Monitor|||5 ms|Full HD|"21.5"""||Yes||||||||160Â°|Yes|100 x 100|Yes||||"20.1"" (511 mm)"|
