<page title>|actual weight|attributes|brightness lumens|brightness nitscdm2|color|color support|compatibility notes|compliant standards|connector|connector type|contents|contrast ratio|diagonal size|digital video standard|display position adjustments|display size|display technology|display type|dot pitch|energy star qualified|energy star version|form factor|horizontal frequency khz|image aspect ratio|image brightness|image size max|image size min|internal resolution max|lamp type|native resolution|os notes|physical dimensions|portsconnectors|power notes|product type|projector type|refurbished type|resolution modes|response timerate|returns policy|screen distance min|speakers included|system requirements|target use|vertical frequency hz|viewing angle hv degrees|warranty  labor|warranty  parts|warranty details|weight
"Buy LG 24"" MB35DM-B Full HD LED-LCD Monitor, Black Monitors - LED-LCD 24MB35DM-B today at PC Connection"||||||||['TUV GS', 'TUV Ergo', 'Plug and Play', 'CUL', 'TCO Displays 6.0', 'ISO 13406-2', 'DDC/CI', 'ISO 9241-307']|||||||Tilt|24 in|||0.275 mm|Yes|||||250 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
"Buy Fellowes 19"" LCD Screen Protector Glare Filters & Privacy Screens 9689401 today at PC Connection"|||||Clear||For use with 19-inch LCD screens (measured diagonally)||||Protector, documentation||||||||||||||||||||||||Screen protector(s)|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
Buy ELO Touch Solutions Wall Mounting Kit for 5501L Stands & Mounts - AV E000802 today at PC Connection|||||||||||brackets, mounting hardware, documentation||||||||||||||||||||||||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||Call for Warranty|Call for Warranty||
Buy Ergotron 200 Series Single Extension Wall Mount Arm Extension, Stands & Mounts - AV 45-233-200 today at PC Connection|0.00 lb(s)||||Black||||||Wall mount arm, bracket, extension, screws, documentation||||||||||||||||||||||||Wall mount arm|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||5 Years|5 Years||
Buy Dell Dell. All-in-One Stand for OptiPlex 790, 790 N-Series Stands & Mounts - AV 469-1487 today at PC Connection|||||Black||Compatible with the OptiPlex 790, 790 N-Series.||||Stand, documentation||||||||||||||||||||||||Monitor stand|||||Due to manufacturer restrictions, all sales on this item are final.||||Monitor|||Call for Warranty|Call for Warranty||
"Buy 3M 20-20.1"" Widescreen LCD Privacy Filter Glare Filters & Privacy Screens PF320W today at PC Connection"|9.70 oz||||||"This Lightweight Privacy Filter is designed for widescreen formatted desktop LCD monitors with a 20-20.1"" diagonal widescreen viewing area.
Actual filter viewing area dimensions excluding the frame are 17.75"" wide x 10.9"" high.
This filter is designed for widescreen desktop monitors with screens that appear more rectangular than square.
Lightweight framed filter will not change monitor position."||||Framed filter, adhesive strips, hanger arms, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
Buy 3M Privacy Filter for Compaq Pro 6300 Glare Filters & Privacy Screens 98-0440-5612-9 today at PC Connection|||||Tinted clear||Custom made for HP Compaq Pro 6300 All-in-One PC.||||filter, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
Buy Ergotron Notebook Tray Stands & Mounts - AV 50-193-200 today at PC Connection|3.00 lb(s)||||Black||"Creates an ergonomic workstation for your notebook computer.
Adjustable, open-sided mounting plate accommodates the size of virtually all notebooks.
Can be used with or without docking stations.
Easy attachment
Weight Capacity: When combined with the LX LCD Arm, the arm will hold notebooks weighing 2.5–12 lbs (1.1–5.4 kg); when combined with other arms, contact Ergotron regarding load limitations"||||Tray, documentation||||||||||||||||||||||||Tray|||||This product is subject to our return policy. Please see our complete return policy for details.||||Notebook|||5 Years|5 Years||
Buy Siig 1x2 Dual-Link DVI Splitter, Black Video Extenders & Splitters CE-D20211-S1 today at PC Connection|||||Black||||||Splitter, documentation||||||||||||||||||||||||Video splitter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
Buy Elite VMax Series Electric Projector Screen, 16:9, 120in Projector Screens VMAX120UWH2 today at PC Connection|||||White||Mounting brackets sold separately.||||Screen in black case, IR and RF remote control, wall switch, 12v trigger adapter, IR sensor, documentation|||||||||||||||||||||"72.3""h x 108.6""w"|||Projection screen (motorized)|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
