<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altitudine di funzionamento|altitudine di nonfunzionamento|altoparlante  cuffia  spinotto di uscita|altoparlanti incorporati|altre caratteristiche|altre caratteristiche quantità 1 source datasheet|altre caratteristiche source datasheet|angolo di rotazione|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|angolo visuale|area di visualizzazione effettiva|blocco cavo|bluetooth|cable lock slot type|capacità totale hard disk|cavi inclusi|cavo alimentazione incluso|certificati di sicurezza|certificati di sicurezza certificazione energy star si|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del piede|colore del prodotto|colori del display|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|condizioni ambientali|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connessioni audio|consumi|consumi modalità attivo|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico max|consumo energia modalità economica|contenuto dellimballo cavi inclusi ac vga|controllo del volume|convenienza|dcin jack|design colore del prodotto nero|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni altoparlante centrale l x a x p|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni schermo|dimensioni schermo cm|display surface|dot pitch|dot rate video|famiglia processore|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|ingresso segnale|intel antitheft technology|intel hyperthreading technology|intel identity protection technology|intel my wifi technology|intel rapid start technology|intel small business advantage sba|intel smart connect technology|intel smart response technology|intel turbo boost technology|intel visual technologies|intel vpro technology|intel wireless display technology|interfaccia comune|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità schermo|lunghezza cavo|manuale dellutente|materiale riciclabile|materiali della confezione riciclabili|megapixel|megapixel totali|mhl specification|microfono incorporato|microfono spinotto dingresso|miglioramento dellimmagine|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mouse incluso|mtbf|networking connessione wlan n collegamento ethernet lan n|numero di altoparlanti|numero di core del processore|numero di lingue osd|numero di prodotti inclusi|on screen display osd|performance|peso|peso contenzione inclusa|peso incluso imballo|peso prodotto con supporto|peso schermo con supporto|pictureinpicture|pivot angle|plug  play|porta dvi|posizionamento supportato|potenza in uscita rms|processore|prodotto senza piedistallo kg|profondità|profondità con supporto|profondità imballo|quantità|quantità displayports|quantità porte dvid|quantità porte ethernet lan rj45|quantità porte hdmi|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|ram installata|range di scansione orizzontale|range di umidità di funzionamento|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regulatory approvals|retroilluminazione a led|risoluzione|risoluzione consigliata|risoluzione massima|risoluzioni grafiche supportate|rotazione|schermo srgb|segnale ingresso sincronizz video|sicurezza|sintonizzatore tv integrato|sistema operativo incluso|sistema operativo linux supportato|sistema operativo windows supportato|smartcontrast|smartresponse|source datasheet|specificazioni ambientali|subwoofer incorporato|supporto di memoria|supporto lingue|sync hv separato|syncongreen sog|tecnologia display|tecnologia touch|tempo di risposta|thin client|thin client installato|thin client thin client installato n|thin client thin client installato no|tipi schede di memoria|tipo di prodotto|tipo di ram|tipologia di retroilluminazione|tipologia display|tipologia hd|touch screen|umidità|umidità relativa|uscita audio|velocità processore|voltaggio di ingresso|webcam girevole|wifi
Lg Electronics LG 24M35A-B 24M35A-B.AEU Planet Computer.it|Si|||31,4 cm|43,8 cm|41,4 cm||||No|||||170°|160°|||Si||||AC||||UL(cUL), FCC-B, CE, EPA Gold, TUV-Type||Non specificato||||Nero|16,77M||75 x 75 mm|No|||||||||19W|||0,3W|0,3W|||||||||||||||"59,94 cm (23.6"")"|||0,2715 x 0,2715 mm|||16:9|No|||||||Si||No||3 - 20°|Si|Si||||||||||||||||||Si|56 - 75 Hz|||55,6 cm|55,6 cm|62,5 cm|Si|||200 cd/m²||Si||||||||||1080p|Si||||||||||2,7 kg||4,2 kg|3 kg||||Si|No|||||9,8 cm|21,5 cm|14,3 cm||||||||1||30 - 83 kHz||1000:1|5000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||||No|||Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64||||||||||TN||5 ms||No||"Performance
Sistema operativo Windows supportato Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64"|||||LED|Full HD||||||100 - 240V||
Hp Hewlett Packard HP Z24i D7P92AT ABB Planet Computer.it||||365 mm|525 mm|||||N||||-45 - 45 °|178 °|178 °||||||||||||Si|Non specificato||||Nero|||||||||Oro||||36 W||||0.5 W|||||||||||||||61 cm|||0.27 x 0.27 mm|||16:10|N||||||Si|||Si||-5 - 30 °|Si||||||||||||||||||||50 - 76 Hz|||559.4 mm|559.4 mm|||||300 cd/m²|||||||||||||Si||||||||||4.73 kg|||6.96 kg|||0 - 90 °||Si|||||64.5 mm|237.9 mm|||1|1|||5||1||24 - 94 kHz||1000:1|5000000:1|['120 mm', 'Si']|||1920 x 1200 Pixels||||Si||||N||||||.|||||||IPS||8 ms||N|"Altre caratteristiche
Source data-sheet ."||||||LCD|||||||||
Philips Philips 241B4LPYCS Display Full HD B-line 61 cm  24   Monitor LCD||||352 mm|403 mm|405 mm|||1|Si||||-65 - 65 °|170 °|160 °||531.4 x 298.9 mm|Si||||||||Regulatory Approvals: BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE, RoHS|Si||||||16.77 M||100 x 100 mm|N|||||||||21.44 W||12 W||0.1 W|||||||||||||||61 cm|||0.276 x 0.276 mm|||16:9|N|50/60 Hz|30 - 83 kHz|56 - 75 Hz||||||Si||-5 - 20 °||Si|||Si|||||||||||||||||-20 - 60 °C|0 - 40 °C|565 mm|565 mm|624 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²||||||||||||1080p|Si||30000 h||2||||Si||4.3 kg||8.3 kg|6.3 kg||||Si|||3 W|||55 mm|227 mm|172 mm||1|1|||2||1||||1000:1|20000000:1|100 mm|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|Si|||||||||.|||||Si|Si|||5 ms|||||||||LCD|Full HD|||20 - 80 %|||100 - 240 V||
Aoc AOC I2473PWY I2473PWY Planet Computer.it|||||||||||||||178°|178°||||||||||||||||||16,77M|||No||||||||||||||||||||||||||||"60,45 cm (23.8"")"|60,5 cm||0,2745 x 0,2745 mm|||16:9|||30 - 83 kHz|50 - 76 Hz||||||Si||||||||||||||||||||||||||||||||250 cd/m²|||||||||||Si|||||||||||||||||||||||||||||||||||||||1000:1|50000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||||5 ms|||||||||LED|Full HD||||||||
Samsung Samsung S24C450F LS24C45UFS EN Planet Computer.it||||33,32 cm|49,175 cm|40,7 cm||||No|||"Thin Client
Thin client installato No"||170°|160°||||No|||||||TCO, UL 60950-1CSA, CSA C22.2 No. 60950-1 TUV, EN60950-1NEMKO, EN60950-1 KC, K60950-1 CCC, GB 4943-2001PSB, IEC60950-1GOST, IEC60950-1, EN55022SIQ, IEC60950-1, EN55022PCBC, IEC60590-1, EN55022NOM, NOM-019-SCFI-1993IRAM, IEC60950-1SASO, IEC60950-1|Si||No||Nero|Nero|16,77M||100 x 100 mm|No|||||Oro||||30W||20W||0,3W|||||||||53,136 cm|29,889 cm|||||61 cm|||0,27 x 0,27 mm|||16:9|No|50/60 Hz||||||Si|Si|||-3 - 25°|Si||Si|||||||||||||||||Si|||10 - 40 °C|56,54 cm|56,54 cm|63,9 cm||No||250 cd/m²||Si||||||||||1080p|Si||||||||||3,34 kg||6,55 kg|5,04 kg|||-1 - 95°||Si|||||5,67 cm|22,4 cm|18,8 cm|||||1|1||1|||10 - 80%||Contrasto Mega|['Si', '13 cm']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si||||No|||Si||||||||||TN||5 ms||No|||||||LED|Full HD||||||100 - 240V||No
Aoc AOC E2260PWDA LED display E2260PWDA Planet Computer.it||||394.7 mm||||||Si|||||170 °|160 °|||Kensington||||DVI, VGA|Si|||CE, EuP, FCC, GOST, ISO 9241-307, NRTL, RoHS, TCO 5.0, TÜV-GS|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N|||||Oro||||17.7 W|||0.2 W|0.3 W||||||||546 mm|477.5 mm|268.5 mm|||||54.6 cm|||0.248 x 0.248 mm|||16:9|N|50/60 Hz|||||Si|||Si||-5 - 15 °|Si||||||||||||||||||||55 - 75 Hz|||511 mm||||||250 cd/m²|||||||||||||Si||||1||||Si||2.7 kg||||||90 °|Si|Si|||||244.5 mm|||||1|||||1||30 - 83 kHz||1000:1|20000000:1|['Si', '130 mm']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si||||N||||||.|||||||||5 ms|Thin client installato N|N||||||W-LED|LED|Full HD||||||90 - 240 V||
Aoc AOC E2060PWDA LED display E2060PWDA Planet Computer.it|Si|||377.9 mm||||||Si|||||170 °|160 °|||Kensington|N|||||||cCSAus, EuP, CE, FCC, GOST, ISO 9241-307, RoHS, TCO´06, TÜV-GS,|Si|Non specificato|N|||Nero|16.77 M||100 x 100 mm|N|||||Oro||N||26 W|||0.2 W|0.3 W|||||||||432 mm|239.8 mm|||||49.5 cm|||0.27 x 0.27 mm|148.5 MHz||16:9|N|50/60 Hz|30 - 83 kHz|55 - 75 Hz|||Si|||Si||-5 - 15 °|Si|||||||||||||||||||Si||||477.6 mm||||N||250 cd/m²|||||||||N||||Si||||1||||Si||4.7 kg|||5.95 kg||||Si||||||244.5 mm|||||1|||||1||||1000:1|20000000:1|['Si', '130 mm']|||1600 x 900 Pixels|||1600 x 900|Si||||N|||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64|||.|||||||||5 ms||N|||N||||LED|||||||90 - 240 V||
Hp Hewlett Packard HP ENVY 24 23.8-inch Diagonal IPS Monitor with Beats Audio E5H53AA ABB Planet Computer.it|||Alimentatore esterno; Consumo energetico: 54 W massimo, 26 W tipico; Modalità standby:||||||||||||||178 in orizzontale; 178 in verticale|||||||||||||||||||||||||||||||||||||||||||||646 x 131 x 481 mm|539.4×160.7×428.5 mm||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Lenovo Lenovo ThinkVision LT2013p 60A0MAT1IT Planet Computer.it||||336.5 mm||||||N||||45 - 45 °|160 °|170 °|||N|N|||USB, VGA|Si||||Si|B||||Nero|16.77 M||100 x 100 mm|N|||||Oro||N||17 W|||0.5 W|1 W|||||||"Dimensioni e peso
Larghezza 467 mm
Altezza 336.5 mm
Peso 4.4 kg
Profondità (con supporto) 200 mm
Bezel width (side) 16.8 mm"||433 mm|239.76 mm|||||"495.3 mm (19.5 "")"|||0.27 x 0.27 mm|||16:9|N||||||Si|Si||N||5 - 30 °|Si||||||||||||||||||||||0 - 40 °C|467 mm||||N||250 cd/m²||||||||N|||||Si||||||8||Si||4.4 kg||||||90 - 90 °||N||||||200 mm|||1|||1|4||1|||10 - 80 %|1000:1|10000000:1|N|||1600 x 900 Pixels|||640 x 350, 720 x 400, 832 x 624, 1600 x 900, 1024 x 768 (XGA), 1360 x 768 (WXGA), 1366 х 768, 1440 x 900 (WXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)|Si||||N||||||.|||||||LCD||5 ms||N|||||||LED|||||||||
Philips Philips 240B4LPYCS 240B4LPYCS 00 Planet Computer.it||||388 mm|543 mm|487 mm|||1|Si||||65 - 65 °|170 °|160 °||518.4 x 324 mm|Kensington|||||||||N||||Nero|Argento|16.77 M||100 x 100 mm|||||BSMI, CE Mark, FCC Class B, GOST, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL, WEEE|Oro||||13.4 W|20.1 W|||0.2 W|20.1 W||||||||518.4 mm|324 mm||615 x 487 x 180 mm|||61 cm|||0.270 x 0.270 mm|||16:10||50/60 Hz|||||Si|||Si||5 - 20 °|Si|||Si|Si||||||||||||||||56 - 76 Hz|-20 - 60 °C|0 - 40 °C|555 mm|555 mm|615 mm|||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²|||25 %||||||||||||30.000 h||||||||3.97 kg||8.56 kg|5.83 kg|||90 - 90 °|Si|Si|||||65 mm|227 mm|180 mm||||||2||1||30 - 83 kHz|20 - 80 %|1000:1|20000000:1|['Si', '110 mm']|||1920 x 1200 Pixels|||1920 x 1200 (WUXGA)|Si|Si|||||||||.|||||Si|Si|TFT||5 ms||||||||W-LED|LCD|Full HD||||||100 - 240 V||
