3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|color|color supported|compatibility|component video|composite video|contrast ratio|country of origin|depth|depth with stand|digital zoom|display orientation|displayport|dvi|features|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|image sensor|input voltage|interfacesports|limited warranty|manufacturer|manufacturer part number|manufacturer website address|maximum adjustable height|maximum resolution|mount type|multitouch screen|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|resolution|response time|screen mode|screen size|screen surface|serial port|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|tilt angle|touchscreen|touchscreen type|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|"Lenovo Thinkvision Lt1952p 19"" Led Lcd Monitor - 16:10 - 5 Ms - Adjustable Display Angle - 1440 X 900 - 250 Cd/mÂ² - 1,000:1 - Wxga+ - Dvi - Vga - Displayport - 26 W - Black - Energy Star, Weee, Rohs, Tco Certified Edge Displays 1.1, Tco Certified Displays 5.2, Epeat Gold, Mpr Ii - (2448MB6) - SoftwareCity.ca - Canada"||Yes|Yes||16:10|LED|Lenovo|250 cd/mÂ²||ULE GoldISO 9241-307FCC Class B|Black|||||1,000:1||"6.7"" (171.3 mm)"||||Yes|Yes|||ENERGY STAR, WEEE, RoHS, TCO Certified Edge Displays 1.1, TCO Certified Displays 5.2, EPEAT Gold, MPR II|Yes|Yes|||"15.7"" (397.7 mm)"|||170Â°||||3 Year|Lenovo Group Limited|2448MB6|http://www.lenovo.com/ca/en||1440 x 900|Wall Mountable, Desk Mountable|||1|||26 W|ThinkVision LT1952p Widescreen LCD MonitorAttached StandCable CoverSetup PosterSafety and Warranty InformationCD with Multilingual User's GuideMonitor Installation FilesAnalog Signal CableDVI-D CablePower Cord||||PC||ThinkVision|LT1952p|ThinkVision LT1952p Widescreen LCD Monitor||LCD Monitor||||5 ms|WXGA+|"19"""|Anti-glare, Anti-reflective||||500 mW||||||||160Â°|Yes|100 x 100|Yes||4.30 kg||"17.4"" (440.9 mm)"|
|"3m Microtouch Ct150 15"" Lcd Touchscreen Monitor - 16 Ms - Capacitive - 1024 X 768 - 16.7 Million Colors (24-bit) - 500:1 - 225 Cd/mÂ² - Usb - Vga - Rohs - 3 Year - (11-71315-225-01) - SoftwareCity.ca - Canada"|Slimline Bezel||||||3M|225 cd/mÂ²||||16.7 Million Colors (24-bit)||||500:1||"2"" (49.8 mm)"||||||||RoHS|Yes||||"10.9"" (277.4 mm)"|||170Â°||12 V DC||3 Year|3M|11-71315-225-01|http://www.3m.com||1024 x 768|Wall Mountable|||||||||||||MicroTouch|CT150|MicroTouch CT150 Touch Screen Monitor||LCD Touchscreen Monitor||||16 ms|XGA|"15"""|||||||||Yes|Capacitive|Yes||170Â°|||Yes||4.20 kg||"13.8"" (350.5 mm)"|
|"Eizo Radiforce Mx215 21.3"" Led Lcd Monitor - 4:3 - 20 Ms - Adjustable Display Angle - 1200 X 1600 - 1.07 Billion Colors - 420 Nit - 1,500:1 - Uxga - Dvi - Displayport - Usb - 48 W - Black - (MX215-BK) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|4:3|LED|Eizo|420 cd/mÂ²|USB Hub||Black|1.07 Billion Colors||||1,500:1||||||Yes|Yes|PowerSensor, Digital Uniformity Equalizer (DUE), Integrated Front Sensor (IFS)||||||||||178Â°|||||Eizo Nanao Tech|MX215-BK|http://www.eizo.com||1200 x 1600||||1|||48 W||||In-plane Switching (IPS) Technology|||RadiForce|MX215|RadiForce MX215 LCD Monitor||LCD Monitor||||20 ms|UXGA|"21.3"""|||||500 mW||||||Yes|USB 2.0|178Â°|Yes|100 x 100|||5.40 kg|8 kg||
|"Nec Display Pa242w-bk 24.1"" Led Lcd Monitor - 16:10 - 8 Ms - Adjustable Display Angle - 1920 X 1200 - 1.07 Billion Colors - 340 Cd/mÂ² - 1,000:1 - Wuxga - Dvi - Hdmi - Displayport - Usb - 56 W - Black - Rohs, Energy Star - (PA242W-BK) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:10|LED|NEC Display|340 cd/mÂ²|USB Hub||Black|1.07 Billion Colors||||1,000:1||"3.3"" (83.8 mm)"|"9"" (228.6 mm)"|||Yes|Yes|Sync on Green, Cable Management, AmbiBright, CableComp||RoHS, ENERGY STAR|Yes|Yes|Yes||"14.3"" (363.2 mm)"|"20.8"" (528.3 mm)"|118.40 kHz|178Â°||||4 Year|NEC Display Solutions|PA242W-BK|http://www.necdisplay.com||1920 x 1200|Desk Mountable, Arm-mountable|||1|||56 W|"24"" Professional Wide Gamut Graphics Desktop Monitor Power cord DisplayPort cable Mini DisplayPort cable DVI-D cable USB A to B cable"|||Advanced High Performance In-plane Switching (AH-IPS) Technology||||PA242W-BK|"24"" Professional Wide Gamut Graphics Desktop Monitor"||LCD Monitor||||8 ms|WUXGA|"24.1"""||||85 Hz|200 mW||||||Yes||178Â°|Yes|100 x 100|||7.39 kg|10.61 kg|"21.9"" (556.3 mm)"|"21.9"" (556.3 mm)"
|"Compaq Business L5009tm 15"" Lcd Touchscreen Monitor - 4:3 - 17 Ms - Acoustic Pulse Recognition - 1024 X 768 - Adjustable Display Angle - 400:1 - 230 Nit - Vga - Black - Energy Star, Rohs, Weee - 3 Year - (VK202AA#ABA) - SoftwareCity.ca - Canada"||Yes|||4:3||Compaq|230 cd/mÂ²||CSAULNOMFCCIT ECOMICCCCC-TickS-Mark|Black|||||400:1||"2.2"" (55.9 mm)"|"6.9"" (175.3 mm)"|||||||ENERGY STAR, RoHS, WEEE|Yes||||"11"" (279.4 mm)"|"12.2"" (309.9 mm)"||120Â°||110 V AC, 220 V AC||3 Year|Hewlett-Packard|VK202AA#ABA|http://www.hp.com/ca||1024 x 768||||||1.99 W|30 W|Business L5009tm Touchscreen LCD MonitorVGA CableAC Power CordDocumentation KitUser CD||||PC||Business|L5009tm|Business L5009tm Touchscreen LCD Monitor||LCD Touchscreen Monitor||||17 ms|XGA|"15"""||||60 Hz|||||Yes|Acoustic Pulse Recognition|||100Â°|Yes|75 x 75|Yes||4.81 kg||"13.8"" (350.5 mm)"|"13.8"" (350.5 mm)"
|"Hp Business Z27i 27"" Led Lcd Monitor - 16:9 - 8 Ms - Adjustable Display Angle - 2560 X 1440 - 350 Nit - 5,000,000:1 - Wqhd - Dvi - Hdmi - Vga - Displayport - Usb - 75 W - Black - Energy Star, Epeat Gold, Tco Certified Displays 6.0 - (D7P92A4#ABA) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:9|LED|HP|350 cd/mÂ²|USB Hub|CE CB KCC CCC FCC|Black|||||5,000,000:1||"2.6"" (65.5 mm)"|"9.5"" (242.4 mm)"|||Yes|Yes|Security Lock||ENERGY STAR, EPEAT Gold, TCO Certified Displays 6.0|Yes|Yes|Yes||"14.9"" (379.2 mm)"|"16.6"" (420.4 mm)"|94 kHz|178Â°||110 V AC, 220 V AC||3 Year|Hewlett-Packard|D7P92A4#ABA|http://www.hp.com/ca||2560 x 1440|Wall Mountable, Arm-mountable|||1|||75 W|Z Display Z27i 27-inch IPS LED Backlit Monitor (ENERGY STAR) (D7P92A4) USB cable DVI-D cable DisplayPort cable AC Power cable Documentation CD HP Display Assistant software|||In-plane Switching (IPS) Technology|PC||Business|Z27i|Z Display Z27i 27-inch IPS LED Backlit Monitor (ENERGY STAR) (D7P92A4)||LCD Monitor||||8 ms|WQHD|"27"""|Anti-glare|||60 Hz|500 mW||45Â°|-5Â°to20Â°|||Yes|USB 3.0|178Â°|||Yes||5.31 kg|7.60 kg|"25.2"" (641 mm)"|"25.2"" (641 mm)"
|"Nec Display Multisync P232w 23"" Led Lcd Monitor - 16:9 - 8 Ms - Adjustable Display Angle - 1920 X 1080 - 1.07 Billion Colors - 250 Nit - 1,000:1 - Full Hd - Dvi - Hdmi - Vga - Displayport - Usb - 29 W - Black - Rohs, Energy Star 5.0, Tco Certified Displays 5.2 - (P232W-BK) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:9|LED|NEC Display|250 cd/mÂ²|USB Hub||Black|1.07 Billion Colors||||1,000:1||"2.9"" (73.7 mm)"|"9"" (228.6 mm)"||Landscape/Portrait|Yes|Yes|Digital Uniformity Compensation, Ambient Light Sensor, Carbon Footprint Meter, CableComp+, TileComp, TileMatrix Support||RoHS, ENERGY STAR 5.0, TCO Certified Displays 5.2|Yes|Yes|Yes||"12.7"" (322.6 mm)"|"20.8"" (528.3 mm)"||178Â°||||4 Year|NEC Display Solutions|P232W-BK|http://www.necdisplay.com||1920 x 1080||||1|||29 W|"23"" Widescreen Professional Graphics Desktop MonitorPower Cord15-pin D-sub CableDVI-D CableDisplayPort CableUSB CableMounting Screws"|||In-plane Switching (IPS) Technology|PC||MultiSync|P232W|"23"" Widescreen Professional Graphics Desktop Monitor"|P|LCD Monitor||||8 ms|Full HD|"23"""||||85 Hz|300 mW||||||Yes||178Â°|Yes|100 x 100|Yes|||9.20 kg|"21.4"" (543.6 mm)"|"21.4"" (543.6 mm)"
|"Hp Business Z27i 27"" Led Lcd Monitor - 16:9 - 8 Ms - Adjustable Display Angle - 2560 X 1440 - 350 Cd/mÂ² - 5,000,000:1 - Wqhd - Dvi - Hdmi - Vga - Displayport - Usb - 75 W - Black - Energy Star, Epeat Gold, Tco Certified Displays 6.0, China Energy Label (cel), Cecp, Epa, Reach - (D7P92A8#ABA) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:9|LED|HP|350 cd/mÂ²|USB Hub|CE CB KC KCC NOM PSB ICE TUV-S CCC SEPA ISC VCCI FCC HSMI WHQL|Black|||||5,000,000:1||"2.6"" (65.5 mm)"|"9.5"" (242.4 mm)"|||Yes|Yes|Security Lock, Cable Management||ENERGY STAR, EPEAT Gold, TCO Certified Displays 6.0, China Energy Label (CEL), CECP, EPA, REACH|Yes|Yes|Yes||"14.9"" (379.2 mm)"|"16.6"" (420.4 mm)"||178Â°||110 V AC, 220 V AC||3 Year|Hewlett-Packard|D7P92A8#ABA|http://www.hp.com/ca|"4.7"" (120 mm)"|2560 x 1440||||1|||75 W|Z Display Z27i 27-inch IPS LED Backlit Monitor (ENERGY STAR) (D7P92A4) USB cable DVI-D cable DisplayPort cable AC Power cable Documentation CD HP Display Assistant software|||In-plane Switching (IPS) Technology|PC||Business|Z27i|Z Display Z27i 27-inch IPS LED Backlit Monitor (ENERGY STAR)||LCD Monitor||||8 ms|WQHD|"27"""|Anti-glare||No|76 Hz|500 mW||45Â°|-5Â°to20Â°|||Yes|USB 3.0|178Â°|Yes||Yes||5.31 kg|7.60 kg|"25.2"" (641 mm)"|"25.2"" (641 mm)"
|"Pioneer Pos Tom-m5 15"" Lcd Touchscreen Monitor - Resistive - 1024 X 768 - 16.2 Million Colors - 250 Nit - Dvi - Usb - Vga - Black, Dark Gray - 1 Year - (1M3000R1B1) - SoftwareCity.ca - Canada"|||||||Pioneer POS|250 cd/mÂ²|USB Hub||Black, Dark Gray|16.2 Million Colors||||||"3.3"" (83.8 mm)"|||||Yes|||RoHS|Yes||||"12.3"" (311.2 mm)"|||140Â°||110 V AC, 220 V AC||1 Year|Pioneer POS, Inc|1M3000R1B1|http://www.pioneerpos.com||1024 x 768|Wall Mountable||||||||||||||TOM-M5|TOM-M5 Touchscreen LCD Monitor||LCD Touchscreen Monitor|||||XGA|"15"""|||||||||Yes|Resistive|Yes||125Â°|Yes|75 x 75|Yes||4.99 kg|9.98 kg|"14.6"" (371.6 mm)"|
|"Nec Display Multisync Pa302w-bk-sv 29.8"" Gb-r Led Lcd Monitor - 16:10 - 6 Ms - Adjustable Display Angle - 2560 X 1600 - 1.07 Billion Colors - 340 Nit - 1,000:1 - Wqxga - Dvi - Hdmi - Displayport - Usb - 87 W - Black - Rohs - (PA302W-BK-SV) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:10|GB-R LED|NEC Display|340 cd/mÂ²|USB Hub||Black|1.07 Billion Colors||||1,000:1||"3.2"" (82 mm)"|"11.9"" (301.6 mm)"|||Yes|Yes|DisplaySync Pro, Digital Uniformity Correction, Black eQualizer, Tiled Matrix, CableComp, AmbiBright, Eco Mode, Cable Management, Carbon Footprint Meter||RoHS|Yes|Yes|Yes||"17.6"" (446.8 mm)"|"24.3"" (616.4 mm)"|98.70 kHz|178Â°||||4 Year|NEC Display Solutions|PA302W-BK-SV|http://www.necdisplay.com||2560 x 1600|Arm-mountable|||1|||87 W|"30"" Color Critical Desktop Monitor with SpectraViewII (Black) Power Cable DisplayPort Cable Mini DisplayPort to DisplayPort Cable DVI Cable USB Cable Mounting Screws SpectraView II USB drive (SVIISOFT) Color calibration sensor (MDSVSENSOR3)"|||Advanced High Performance In-plane Switching (AH-IPS) Technology|||MultiSync|PA302W-BK-SV|"30"" Color Critical Desktop Monitor with SpectraViewII (Black)"||LCD Monitor||||6 ms|WQXGA|"29.8"""||||85 Hz|1.40 W||||||Yes||178Â°|Yes|200 x 100|||8.89 kg|17.01 kg|"27.1"" (688 mm)"|"27.1"" (688.3 mm)"
