3d compatibility|<page title>|ac adapter included|ac power in|annual energy consumption|anschlüsse|aspect ratio|audio input|audio output|auflösung empfohlen|backlight type|bezel width bottom|bezel width side|bezel width top|bildformat|blickwinkel horizontal|blickwinkel vertikal|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable lock slot|cables included|camera included|card reader integrated|certification|colour|colour of product|common interface ci|common interface plus ci|compatible memory cards|compatible with vesawall mounting system|compliance industry standards|composite sync|composite video in|connection to pc|contrast ratio dynamic|contrast ratio typical|dcin jack|depth|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h|dimensions w x d x h with stand|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display type|display viewable area hxv|displaygröße|displayports quantity|dvi port|dvid ports quantity|dvii ports quantity|effective viewing area|eigenschaften|electromagnetic compatibility|energy efficiency class|energy star certified|epeat compliance|ethernet lan|ethernet lan connection|farbe allgemein|farbe herstellerspezifisch|feet colour|full hd|gewicht netto|glossy display|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|hdready|headphone connectivity|headphone out|headphone outputs|height|height adjustment|height with stand|helligkeitleuchtstärke|horizontal scan range|input frequency|input voltage|io ports|kontrastverhältnis|lcd paneltechnologie bzw tm |led backlight|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum resolution|mean time between failures mtbf|megapixel|microphone in|mobile highdefinition link mhl|netzteil|nonoperating altitude|number of colours|number of loudspeakers|number of osd languages|number of products included|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating relative humidity range|operating temperature range tt|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption|power consumption active|power consumption average|power consumption economy mode|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|product type|prüfzeichenzertifikatezulassungen|quantity|quick start guide|reaktionszeit|relative humidity|response time|rms rated power|rotating|safety|screen saving functions|separate hv sync|signalart|standby led|storage relative humidity hh|storage relative humidity range|storage temperature range tt|storage temperature tt|strahlungsnorm|supported graphics resolutions|supported video modes|svideo in|svideo inputs quantity|swivel|swivel angle|swivel angle range|swivel webcam|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|usb powered|user guide on cdrom|vertical scan range|vesa bohrung|vesa mounting interfaces compatibility|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle horizontal|viewing angle vertical|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported|wireless lan connection
N|D7Z72AA#ABB - Hewlett Packard E271I 27IN - Xpcpro.com|||||16:9||||||||||||N||N||Kensington|AC|||CE, CB ,KC, KCC, NOM, PSB, ICE, TUV-S, CCC, CEL Grade 1, CECP, SEPA, TCO, EPA, ISC, VCCI ,FCC, BSMI||Black|||||||||5000000:1|1000:1||52.2 mm|278.5 mm|||||LED|250 cd/m²|"['27 ""', '68.58 cm']"||16.77 M|1920 x 1080 pixels|||IPS|||||Y|1|||||Unspecified|Y|||N||||||||Full HD|Y|||||||387.3 mm|Y|532.1 mm|||50/60 Hz|100 - 240 V|||||Y|Y||Y||||||||||||Y||Y|||20 - 80 %|5 - 35 °C||||||||||Y|0 - 90 °|||Y|||||40 W|||0.5 W|35 W||Y|||||Y|||7 ms|||||||Y||5 - 90 %|-20 - 60 °C|||1920 x 1080 HD 1080|1080p|||||0 - 360 °||Y||N|Y|-5 - 30 °|N|3|||||||1|||||178 °|178 °|||4900 g|7700 g|642 mm|642 mm||Y|N
N|223V5LHSB/00 - Philips V-line 223V5LHSB LED - Xpcpro.com||Y|||16:9|||||||||||N|N||N||Kensington|||N|RoHS, BSMI, CE, FCC B, GOST, PSB, SASO, SEMKO, TCO, TUV/ISO9241-307, cETLus, WEEE|N|Black|||N||||||10000000:1|1000:1||50 mm|213 mm|30 - 83 kHz|56 - 76 Hz||503 x 213 x 376 mm|LED|250 cd/m²|"21.5 """|54.6 cm|16.77 M|1920 x 1080 pixels|Y|||||||N|||476.64 x 268.11 mm|||Unspecified|Y|Silver|N|||||||||Full HD|Y||1|||||316 mm|N|376 mm|||50/60 Hz|100 - 240 V|||||Y||Y|||30000 h|||||0 - 12192 m|||19||Y|CZE, DEU, DUT, ENG, ESP, FIN, FRE, HUN, ITA, JPN, KOR, POL, POR, SWE, TUR, UKR|Y|0 - 3658 m|20 - 80 %|||0 - 40 °C|555 x 107 x 414 mm|3870 g|107 mm|414 mm|555 mm|||N|N||0.248 x 0.248 mm||Y||||||0.5 W||0.5 W|15.85 W||Y||||||||5 ms|||||Y||Y||||-20 - 60 °C||1920 x 1080 HD 1080||||||||N|Y|N|Y|-5 - 20 °|N|||||||100 x 100 mm|1||546 mm|476.64 mm|268.11 mm|170 °|160 °||Y|2350 g|2610 g|503 mm|503 mm|N|Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64|
N|23ET63V - LG FLATRON Monitor 23ET63V LED 58CM 23IN - Xpcpro.com|||||16:9|||||||||||||||||USB, VGA|||ULcUL, FCC-B, CE||Black, White|||||||||5000000:1|||53 mm|53 mm|||||IPS|250 cd/m²|"23 """||16.77 M|1920 x 1080 pixels||||LED|||||||||||||||||||||||Y||1|||||338 mm|N|338 mm||30 - 83 kHz||100 - 240 V||||||||||||||||16.7 M|||||||||||||5700 g|||||||||0.2652 x 0.2652 mm||Y|||||||0.3 W|0.3 W|25 W||||||||||5 ms|||||||||||||1920 x 1080 HD 1080||||||||||||15 - 58 °||1||||56 - 75 Hz||75 x 75 mm|1|||||178 °|178 °||Y||4400 g|555 mm||||
|247E4LHAB/00 - Philips E-line 247E4LHAB, LED - Xpcpro.com|||||16:9|||||||||||||||||||||N|||||||||||1000:1|||||||557 x 434 x 193 mm||250 cd/m²|||||Y||||521.28 x 293.22 mm|||||||||||||||||||||||||||||||||||||||||||||30.000 h||||||||||||||||0 - 40 °C||605 x 505 x 104 mm||||||||||0.272 x 0.272 mm||||17.2 W||||0.3 W||0.5 W||||||||||20 - 80 %|5 ms||||||||||-20 - 60 °C|||||||||||||||||||||||||||||||||||||||
N|"60003491 - NEC MultiSync PA242W LED monitor 24.1"", - Xpcpro.com"|||||16:10||||RGB-LED||||||||N||N||Kensington|DVI, Mini DisplayPort|||||White||||||||||1000:1||227.6 mm||31.5 - 91.1 kHz|50 - 85 Hz|||LED|340 cd/m²|"['24 ""', '61.1 cm']"||1073.7 M|1920 x 1200 pixels|Y||IPS||||1|Y|1|||||Unspecified||||||||||||Full HD|N||1|||||528 mm|Y|||||100 - 240 V||||||||Y|||||||||||||||||||||||||||||||||||||56 W|||1 W||||||||Y|||6 ms|||||||||||||720 x 400, 720 x 480, 720 x 576, 832 x 624, 1152 x 870, 1280 x 960, 1024 x 768 XGA, 1152 x 864 XGA, 1280 x 1024 SXGA, 1280 x 720 HD 720, 1600 x 1200 UXGA, 1920 x 1080 HD 1080, 1920 x 1200 WUXGA, 640 x 480 VGA, 800 x 600 SVGA||||||-45 - 45 °||Y||N|Y|-5 - 30 °|N|||||||100 x 100, 200 x 100 mm|1|||||178 °|178 °||Y|7400 g||556.8 mm||||
N|"E2460PDA - AOC E2460PDA,  LED monitor  24"",  1920 - Xpcpro.com"|||||16:9||Y||W-LED|||||||N||||N|Kensington|AC, Audio 3.5mm, DVI, VGA||N|Energy Star 5.0||Black|||||||||20000000:1|1000:1||244.58 mm||30 - 83 kHz|55 - 75 Hz|||LED|250 cd/m²|"['61 cm', '24 ""']"||16.77 M|1920 x 1080 pixels|||||||||1|||||Unspecified|Y|Gold||||||Y|||||Y|N||||1||523.6 mm|Y||||50/60 Hz|90 - 240 V||||||||Y||||||||||||||||||||||||||||Y||0.276 x 0.276 mm|Horizontal/Vertical|||||||0.3 W||0.5 W|32 W||||||||||5 ms|||||||||||||1920 x 1080 HD 1080|1080p|||||||Y|||Y|-5 - 15 °||||||||100 x 100 mm|1|148.5 MHz||531.36 mm|298.89 mm|170 °|160 °||Y|6540 g||565.4 mm||||
N|"E2470SWHE - AOC E2470SWHE LED monitor 23.6"" 1920 x - Xpcpro.com"|||||16:9||||||||||||N||N||Kensington|HDMI, VGA|||||Black|||||||||20000000:1|1000:1|Y|78.2 mm||||||LED|250 cd/m²|"23.6 """|59.9 cm|16.77 M|1920 x 1080 pixels|||LCD|||||N||||||Unspecified|Y|Gold|||||Black||||N|Full HD|N||2|||||396.9 mm|N||||50/60 Hz|110 - 240 V||||||||||||||||||||Y||||||||||||||||||0.276 x 0.276 mm||||||||0.5 W||0.5 W|26 W||||||||||5 ms|||||||||||||||||||||||N|||N|||||||100 x 100 mm|1|||||170 °|160 °||Y|3580 g||551.4 mm||||
N|"E719SDA - AOC e719Sda LED monitor 17"" 1280 x 1024 - Xpcpro.com"||Y|||5:4||Y||||||||||N||Y||Kensington||||CE, EuP, GOST, RoHS, TCO´06, TÜV-Bauart||Black, Silver|||||||||20000000:1|1000:1||58.9 mm||30 - 83 kHz|50 - 76 Hz|||LED|250 cd/m²|"17 """|43.2 cm|16.77 M|1280 x 1024 pixels||||||||Y|1|||||Unspecified||Silver||||||||||N|Y|||||||326.7 mm|N||||50/60 Hz|110 - 240 V|||||||||||||||||1|||Y|||||||||4610 g|||||||N||0.264 x 0.264 mm||||||||0.5 W||0.5 W|25 W||||||||||5 ms|||||||||||||1280 x 1024 SXGA||||||||N||N|Y|-5 - 20 °|N|||||||100 x 100 mm|1|140 MHz|432 mm|337.9 mm|270.3 mm|170 °|160 °||Y|3060 g||371.6 mm||||
N|LS24C45KBL/EN - Samsung S24C450BL, LED monitor - Xpcpro.com|||||16:9|||||||||||N|N||Y|||AC, VGA||N|TCO 6 CE||Black|||||||||Mega Contrast|1000:1||45 mm|224 mm|||||LED|250 cd/m²|"['59.94 cm', '24 ""']"||16.77 M|1920 x 1080 pixels|||||||||1|||||Unspecified|Y|Gold||||||||||Full HD|Y|Y||||||330.5 mm|Y|352.4 mm||||||||||||Y|||||||||2 pcs|||||||||||||||||||Y|-1 - 95 °|0.272 x 0.272 mm|Horizontal/Vertical|Y|||||||20 W|0.1 W|30 W|||||||Y|||5 ms|||||||||||||1920 x 1080 HD 1080|1080p||||-45 - 45 °|||Y|||Y|-3 - 25 °|N|||||||100 x 100 mm|1|||||170 °|160 °||Y|5400 g|6850 g|664.6 mm|554.6 mm|||
N|"24M35H - LG  Monitor FLATRON 24M35H LED  23.6"" - Xpcpro.com"||Y|||16:9|||||||||||N|||||||||EPA, FCC-B, CE, ULcUL, TUV-Type||Black|||||||||5000000:1|1000:1||98 mm|215 mm|||||LED|200 cd/m²|"23.6 """|60 cm|16.77 M|1920 x 1080 pixels|||TN|||||||||||Unspecified||Gold|N|||||||||Full HD|Y||1||||1|314 mm||438 mm|||50/60 Hz|100 - 240 V|||||Y|||||||||||||||Y||Y||||||||||||||||0.2715 x 0.2715 mm||Y||||||0.3 W||0.3 W|19 W||Y||||||||5 ms|||||||Y||||||1920 x 1080 HD 1080|1080p|||||||||N|Y|-3 - 20 °||||||||Y mm|1|||||170 °|160 °||Y|2700 g|3000 g|556 mm|556 mm|N||
